Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
acorn pochette,,,NA,Yes,NFS,2400,201,Brown,Green,1x1,NA,NA,Crafting,,acorns and pine cones,Yes,All Year,All Year,Free,Cute,Cute,fairy tale,1,No,Not for sale,1.0.0,Yes,BagShoulderAcorn0,980,7492,XiC7bNzTBAdb8zWwr
apparel-shop paper bag,NA,,Pink,No,720,180,23,White,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,1,No,For sale,2.0.0,Yes,ToolBagPaperfashion0,1510,14870,4ufLamXovvb7SbwKh
apparel-shop paper bag,NA,,Light blue,No,720,180,23,White,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,2,No,For sale,2.0.0,Yes,ToolBagPaperfashion1,1510,306,WAxwLb5yJpatBDRrp
Asian-style clasp purse,,,Black,No,960,240,23,Black,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,everyday,1,No,For sale,2.0.0,Yes,BagShoulderGamaguchiAsian0,1490,14859,JEshZRB4MsJjn6qR7
Asian-style clasp purse,,,Blue,No,960,240,23,Blue,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,everyday,2,No,For sale,2.0.0,Yes,BagShoulderGamaguchiAsian1,1490,352,HQ2Lj5h3pYiKavNAp
basket bag,NA,,Light brown,No,1120,280,23,Beige,Beige,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,fairy tale; vacation,1,No,For sale,2.0.0,Yes,ToolBagBasket0,1503,14791,JgJwc8Wr2evdQxpRi
basket bag,NA,,Brown,No,1120,280,23,Brown,Brown,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,fairy tale; vacation,2,No,For sale,2.0.0,Yes,ToolBagBasket2,1503,369,6oX353Da7NJdAsHuo
basket bag,NA,,White,No,1120,280,23,White,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,fairy tale; vacation,3,No,For sale,2.0.0,Yes,ToolBagBasket1,1503,368,7rKZmcoHLonmJD6N3
basket pack,,,NA,Yes,NFS,2400,103,Green,Green,1x1,NA,NA,Crafting,,young spring bamboo,Yes,All Year,All Year,Free,Simple,Simple,outdoorsy; work,1,No,Not for sale,1.0.0,Yes,BagBackpackBasket0,995,7506,BW764rj9aH3QL6GRH
beaded clasp purse,,,Purple,No,960,240,23,Purple,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,1,No,For sale,2.0.0,Yes,BagShoulderGamaguchiBijou0,1492,14861,RLmEKHTmqpSNx3JaH
beaded clasp purse,,,Pink,No,960,240,23,Pink,Beige,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,2,No,For sale,2.0.0,Yes,BagShoulderGamaguchiBijou1,1492,355,yw7dxwmwsqjbPhXvv
beaded clasp purse,,,Navy blue,No,960,240,23,Black,Gray,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,3,No,For sale,2.0.0,Yes,BagShoulderGamaguchiBijou2,1492,356,FrNRJhxm9pffD3eG4
bear backpack,,,Brown,No,1300,325,23,Beige,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,1,No,For sale,2.0.0,Yes,BagBackpackBear0,1238,12877,yadG76uHehTnHavwc
bear backpack,,,White,No,1300,325,23,White,Blue,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,2,No,For sale,2.0.0,Yes,BagBackpackBear1,1238,339,QGqP8WkBA4HYaqknA
bear backpack,,,Pink,No,1300,325,23,Pink,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,3,No,For sale,2.0.0,Yes,BagBackpackBear2,1238,714,QJNEepzqmHiqS28Lp
bear backpack,,,Light blue,No,1300,325,23,Aqua,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,4,No,For sale,2.0.0,Yes,BagBackpackBear3,1238,718,GqPuKvErbpXQSjNqL
