Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
acid-washed jeans,,,Black,No,1320,330,51,Black,Black,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Simple,Simple,everyday; outdoorsy,1,No,For sale,1.0.0,Yes,BottomsTexPantsNormalChemical1,649,11385,a7HNjgRFkCznkDLLH
acid-washed jeans,,,Blue,No,1320,330,51,Blue,Blue,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,All Year,Free,Simple,Simple,everyday; outdoorsy,2,No,For sale,1.0.0,Yes,BottomsTexPantsNormalChemical0,649,5286,QaecPktemD3XuFdwy
animal-stripes skirt,,,Zebra,No,1100,275,51,Gray,Black,1x1,990,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Womanly,Cool,Gorgeous,everyday,1,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxStripe1,1093,12067,4mDRmSG3scfXh3oon
animal-stripes skirt,,,Tiger,No,1100,275,51,Yellow,Black,1x1,990,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Womanly,Cool,Gorgeous,everyday,2,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxStripe0,1093,9842,qmtHwBmtJDvtNntTs
apron skirt,,,Blue,No,700,175,51,White,Aqua,1x1,630,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Simple,Simple,work,1,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxApron1,847,8921,cfzi35RpY8onR3hra
apron skirt,,,Purple,No,700,175,51,White,Purple,1x1,630,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Simple,Simple,work,2,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxApron0,847,5710,MtsvEMQ9Z9damsycd
apron skirt,,,Beige,No,700,175,51,White,Beige,1x1,630,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Simple,Simple,work,3,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxApron2,847,8922,AmWS5iMbatqDr2eLs
athletic pants,,,Black,No,880,220,51,Black,White,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,outdoorsy; comfy; sporty,1,No,For sale,1.0.0,Yes,BottomsTexPantsNormalJersey2,127,11296,8NcTmEpkckocYvTf2
athletic pants,,,Berry red,No,880,220,51,Red,White,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,outdoorsy; comfy; sporty,2,No,For sale,1.0.0,Yes,BottomsTexPantsNormalJersey4,127,11298,HSgcZgAkXCBroWboG
athletic pants,,,Red,No,880,220,51,Red,White,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,outdoorsy; comfy; sporty,3,No,For sale,1.0.0,Yes,BottomsTexPantsNormalJersey0,127,3311,iL9vd8DerEEJDJQbA
