Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Kit Type,Cyrus Customize Price,Stack Size,Buy,Sell,Source,Source Notes,Season/Event,Season/Event Exclusive,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
bamboo lattice fence,,NA,NA,Yes,No,NA,None,NA,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceBamboo,NA,3403,XaLnmQsQ47HfHQ9g5
bamboo-slats fence,,NA,NA,Yes,No,NA,None,NA,50,NFS,48,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceSandProtection,NA,14757,ziM6qEMjHMDPruzz6
barbed-wire fence,,NA,NA,Yes,No,NA,None,NA,50,NFS,198,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceBarbedWire,NA,5213,dNgibaR9jFqaDwuDZ
block fence,,NA,NA,Yes,No,NA,None,NA,50,NFS,270,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceConcreteBlock,NA,4355,mKD2vgrBbXSNNPGJ4
brick fence,,NA,NA,Yes,No,NA,None,NA,50,NFS,120,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceWallRenga,NA,3080,WAzanA7e5MREzJdMh
Bunny Day fence,,NA,NA,Yes,No,NA,None,NA,50,NFS,240,Crafting,,Bunny Day (days before); Bunny Day,Yes,Not for sale,1.1.0,Yes,ItemFenceEgg,NA,12630,CLQGhAfSNykpxrh3a
corral fence,,NA,NA,Yes,No,NA,None,NA,50,NFS,72,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceHorizontalWood,NA,4349,rqwqYy7Aphvh5zBSA
corrugated iron fence,,Gray,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_0_0,0_0,14758,sbRoLarfMrE5YkCL9
corrugated iron fence,,Yellow,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_1_0,1_0,14758,tH2nZ6dspXXTRZ65A
corrugated iron fence,,Green,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_2_0,2_0,14758,bxWiSjQEdzwvHJGXH
corrugated iron fence,,Blue,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_3_0,3_0,14758,ZNwYpAk3yKtvcYb5t
