Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Size,Surface,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
brick pillar,,Red,Brick color,NA,NA,Yes,Yes,No,2,Normal,1700,NFS,800,Red,Brown,NA,NA,0.5x0.5,No,Crafting,,NA,NA,103,None,None,None,None,None,No,Pillar,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallPillarBrick_Remake_0_0,0_0,14596,vKhroLoma4RWAqc38
brick pillar,,White,Brick color,NA,NA,Yes,Yes,No,2,Normal,1700,NFS,800,White,Beige,NA,NA,0.5x0.5,No,Crafting,,NA,NA,103,None,None,None,None,None,No,Pillar,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallPillarBrick_Remake_1_0,1_0,14596,6ntCK44tpEZ76T77a
brick pillar,,Gray,Brick color,NA,NA,Yes,Yes,No,2,Normal,1700,NFS,800,Gray,Gray,NA,NA,0.5x0.5,No,Crafting,,NA,NA,103,None,None,None,None,None,No,Pillar,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallPillarBrick_Remake_2_0,2_0,14596,8MCJkAqEindE3FP2C
concrete pillar,,NA,NA,NA,NA,Yes,No,No,NA,None,NA,NFS,1200,Gray,Gray,NA,NA,0.5x0.5,No,Crafting,,NA,NA,103,None,None,None,None,None,No,Pillar,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallPillarConcrete,NA,14602,Scz7WHrn8zJqdESLF
golden pillar,,NA,NA,NA,NA,Yes,No,No,NA,None,NA,NFS,40000,Yellow,Yellow,NA,NA,0.5x0.5,No,Crafting,,NA,NA,103,None,None,None,None,None,No,Pillar,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallPillarGold,NA,14600,97Zm9hRj3BQDLQM3H
low brick island counter,,Red,Brick color,NA,NA,Yes,Yes,No,2,Normal,1700,NFS,800,Red,Brown,NA,NA,1x1,Yes,Crafting,,NA,NA,103,None,None,None,None,None,No,Counter,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallCounterBrickS_Remake_0_0,0_0,13901,ZAA4zjnJGQDpPnNpe
low brick island counter,,White,Brick color,NA,NA,Yes,Yes,No,2,Normal,1700,NFS,800,White,Brown,NA,NA,1x1,Yes,Crafting,,NA,NA,103,None,None,None,None,None,No,Counter,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallCounterBrickS_Remake_1_0,1_0,13901,uaziCiTaLxWgvx3p3
low brick island counter,,Gray,Brick color,NA,NA,Yes,Yes,No,2,Normal,1700,NFS,800,Gray,Brown,NA,NA,1x1,Yes,Crafting,,NA,NA,103,None,None,None,None,None,No,Counter,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallCounterBrickS_Remake_2_0,2_0,13901,ek3qyESiioFjp8Tv9
low concrete island counter,,NA,NA,NA,NA,Yes,No,No,NA,None,NA,NFS,1200,Gray,Gray,NA,NA,1x1,Yes,Crafting,,NA,NA,103,None,None,None,None,None,No,Counter,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallCounterConcreteS,NA,13898,xt8pEhjXJrR4gKWeY
low golden island counter,,NA,NA,NA,NA,Yes,No,No,NA,None,NA,NFS,40000,Yellow,Yellow,NA,NA,1x1,Yes,Crafting,,NA,NA,103,None,None,None,None,None,No,Counter,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallCounterGoldS,NA,14333,6sKWwLgkQRj23WFP7
low marble island counter,,Gray,Color,NA,NA,Yes,Yes,No,2,Normal,1700,NFS,1200,Gray,Gray,NA,NA,1x1,Yes,Crafting,,NA,NA,103,None,None,None,None,None,No,Counter,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallCounterMarbleS_Remake_0_0,0_0,14337,6Z5cNgANBAyaLuRWe
low marble island counter,,White,Color,NA,NA,Yes,Yes,No,2,Normal,1700,NFS,1200,White,White,NA,NA,1x1,Yes,Crafting,,NA,NA,103,None,None,None,None,None,No,Counter,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallCounterMarbleS_Remake_1_0,1_0,14337,rLYobhs2h4PpW4KjE
low marble island counter,,Black,Color,NA,NA,Yes,Yes,No,2,Normal,1700,NFS,1200,Black,Black,NA,NA,1x1,Yes,Crafting,,NA,NA,103,None,None,None,None,None,No,Counter,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallCounterMarbleS_Remake_2_0,2_0,14337,nF2aG9ZmfoTAE9Nkh
low simple island counter,,White,Color,NA,NA,Yes,Yes,No,1,Normal,1000,NFS,700,White,White,NA,NA,1x1,Yes,Crafting,,NA,NA,103,None,None,None,None,None,No,Counter,No,No lighting,Not in catalog,2.0.0,Yes,FtrWallCounterPlainS_Remake_0_0,0_0,14308,hNyMCjtHztETRswEJ
