Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Stack Size,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Food Power,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
1-Up Mushroom,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,2000,500,Green,White,1x1,No,NA,NA,Nook Shopping Promotion,Not available before March 1st 2021,NA,NA,201,fancy,child's room,Mario,None,None,Yes,Mario,Yes,Does not play music,No lighting,NA,Not in catalog,1.8.0,Yes,FtrMarioRoundB,NA,13828,FjDhwLaDCxmTvcJmR
accessories stand,,White,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1500,375,White,Colorful,1x1,No,1400,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,stylish,apparel shop,None,None,SmallGoods,No,Shop,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrJewelrystand_Remake_0_0,0_0,3948,GWNqLnfaoEkGSFFkF
accessories stand,,Pink,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1500,375,Pink,Colorful,1x1,No,1400,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,stylish,apparel shop,None,None,SmallGoods,No,Shop,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrJewelrystand_Remake_1_0,1_0,3948,Sg24qRStpGERdwjyn
accessories stand,,Black,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1500,375,Black,Colorful,1x1,No,1400,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,stylish,apparel shop,None,None,SmallGoods,No,Shop,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrJewelrystand_Remake_2_0,2_0,3948,e5hQbi4JvpYYtRSM7
accessories stand,,Brown,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1500,375,Brown,Colorful,1x1,No,1400,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,stylish,apparel shop,None,None,SmallGoods,No,Shop,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrJewelrystand_Remake_3_0,3_0,3948,BXBsfGQsnNfJqkQjm
accessories stand,,Light blue,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1500,375,Aqua,Colorful,1x1,No,1400,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,stylish,apparel shop,None,None,SmallGoods,No,Shop,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrJewelrystand_Remake_4_0,4_0,3948,jfpXGQCTjbg65PCD9
ACNH Nintendo Switch,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,35960,8990,Green,Aqua,1x1,No,32400,Poki,Nintendo; Nook Shopping Daily Selection,Mailed to players using the limited edition ACNH Nintendo Switch after the 1.1.0 update in a letter from Nintendo,NA,NA,51,child's room,living room,None,None,Appliance,No,Game Console,No,Does not play music,No lighting,NA,For sale,1.1.0,Yes,FtrSwitchAC,NA,12579,4AgPRnxhoQ922pQ4M
afternoon-tea set,,Silver,Stand color,NA,NA,No,No,No,NA,1,NA,None,1000,2600,650,Colorful,White,1x1,No,2300,Poki,Nook's Cranny; HHP Office,,NA,NA,103,café,fancy,None,None,Food,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrAfternoonteaset_Remake_0_0,0_0,12775,HEqYNM29e4wDpBahx
afternoon-tea set,,Gold,Stand color,NA,NA,No,No,No,NA,1,NA,None,1000,2600,650,Colorful,Blue,1x1,No,2300,Poki,Nook's Cranny; HHP Office,,NA,NA,103,café,fancy,None,None,Food,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrAfternoonteaset_Remake_1_0,1_0,12775,CLL3BYtziSrXkf9Lg
afternoon-tea set,,White,Stand color,NA,NA,No,No,No,NA,1,NA,None,1000,2600,650,Colorful,White,1x1,No,2300,Poki,Nook's Cranny; HHP Office,,NA,NA,103,café,fancy,None,None,Food,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrAfternoonteaset_Remake_2_0,2_0,12775,MbpszWotPgENgtkhN
agrias butterfly model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,9000,Pink,Purple,1x1,No,NA,NA,Flick,Trade 3 insects to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Insect,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrInsectMiirotatehaToy,NA,7080,6SKoKnXhrf2dk6JZb
air circulator,,White,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,White,White,1x1,No,990,Poki,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Summer (shopping),No,151,living room,office,None,None,AC,Yes,Office,Yes,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrCirculator_Remake_0_0,0_0,3821,J4inuBziPCSGZNEPM
air circulator,,Black,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,Black,Gray,1x1,No,990,Poki,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Summer (shopping),No,151,living room,office,None,None,AC,Yes,Office,Yes,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrCirculator_Remake_1_0,1_0,3821,E2dZPSD94isFZWd2F
air circulator,,Pink,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,Pink,Pink,1x1,No,990,Poki,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Summer (shopping),No,151,living room,office,None,None,AC,Yes,Office,Yes,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrCirculator_Remake_2_0,2_0,3821,uAY6FFGdXWeAG9gMa
air circulator,,Green,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,Green,Gray,1x1,No,990,Poki,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Summer (shopping),No,151,living room,office,None,None,AC,Yes,Office,Yes,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrCirculator_Remake_3_0,3_0,3821,bGCQ9bA27ftHoLoKb
air circulator,,Yellow,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,Yellow,Gray,1x1,No,990,Poki,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Summer (shopping),No,151,living room,office,None,None,AC,Yes,Office,Yes,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrCirculator_Remake_4_0,4_0,3821,5pBqNZaZWveKR6K5s
aji fry,,NA,NA,NA,NA,Yes,No,No,NA,1,NA,None,NA,NFS,540,Yellow,Brown,1x1,No,NA,NA,Cooking,,NA,NA,103,restaurant,None,None,None,Food,No,DishFood,No,Does not play music,No lighting,5,Not for sale,2.0.0,Yes,FtrFishdishHorsemackere,NA,14163,Ny5vq5NZYAjqz9GGS
aloha-edition carrying case,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,620,Green,White,1x1,No,60,Nook Points,NookLink,Mailed to players once ordered from NookLink within the Nintendo Switch Online app,NA,NA,431,child's room,living room,None,None,None,No,Game Console,No,Does not play music,No lighting,NA,Not for sale,1.9.0,Yes,FtrSwitchcaseAC,NA,14298,Xst6pYcpfnfw3WKx2
