Name,Image,DIY,Buy,Sell,Color 1,Color 2,Size,Size Category,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
acorn rug,,Yes,NFS,2400,Brown,Beige,3x3,Medium,NA,NA,Crafting,,acorns and pine cones,Yes,201,nature,None,tree's bounty or leaves,Park Rugs,Not for sale,2.0.0,Yes,RugOtherAcornM00,12335,Y2BtGdBHjHDAZ5aMi
aluminum rug,,No,1500,375,Gray,Gray,3x2,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,garden,outdoors,None,Slender Rugs,For sale,1.0.0,Yes,RugRectAluminumM00,7356,vFkuGbx8Sh2MDLEsq
apple rug,,Yes,NFS,1200,Red,Red,3x3,Medium,NA,NA,Crafting,,NA,NA,103,fancy,child's room,fruits,Fruit Rugs,Not for sale,1.0.0,Yes,RugOtherAppleM00,7327,5GsjYsaz9NDtQ6QFB
Bell-bag rug,,No,NFS,6000,Yellow,Yellow,3x3,Medium,1200,Nook Miles,Nintendo; Nook Miles Redemption,Mailed to players after the 1.2.0 update in a letter from Bank of Nook,NA,NA,151,expensive,None,None,Park Rugs,Not for sale,1.2.0,Yes,RugOtherBellM00,12214,KfRapmYKpizqQWzCg
black blocks rug,,No,1500,375,Black,Gray,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,None,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquareBlockM03,11104,4kj8FXzMTqvZvqEra
black wooden-deck rug,,No,1500,375,Black,Black,3x2,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,outdoors,garden,None,Wood Rugs,For sale,1.0.0,Yes,RugRectDeckM03,7382,kQDKkEGfdAjqPxd4w
black-design kitchen mat,,No,1000,250,Black,Orange,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,Yes,RugRectNativeKitchenS03,7594,G7CAPiAEpYv6QKbsL
blue argyle rug,,No,2000,500,Blue,Green,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,expensive,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectArgyleL02,8467,uw8DvCwwBia7ozA72
blue blocks rug,,No,1500,375,Blue,Blue,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,None,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquareBlockM01,11102,Mjxd8kenDFZgTFXcm
blue dotted rug,,No,2000,500,Blue,Blue,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectDotL03,7467,JAAx9zSMrjXKKw2ij
blue exercise mat,,No,1500,375,Blue,Blue,3x2,Medium,NA,NA,Saharah's Co-op,,NA,NA,137,sports,school,None,Slender Rugs,For sale,2.0.0,Yes,RugRectMatM01,12387,DdiGJyEREa2QAMXRM
blue Hawaiian quilt rug,,No,2000,500,Aqua,White,4x4,Large,NA,NA,Saharah's Co-op,,NA,NA,253,None,None,None,Pattern Rugs,For sale,2.0.0,Yes,RugSquareHawaiianL00,12391,L3nBtt43WwHPYTpDE
blue kilim-style carpet,,No,2000,500,Blue,Black,5x5,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,None,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquareKirimL01,9316,MhvdxvmyKtddid2G2
blue kitchen mat,,No,1000,250,Blue,Blue,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,Yes,RugRectKitchenS02,8394,SLBDbK365pHRnKE5k
blue medium round mat,,No,1500,375,Blue,Blue,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,Yes,RugRoundSimpleM02,9546,JfLKCbWRz4CozZYpH
blue message mat,,No,1000,250,Blue,Blue,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,child's room,None,None,Message Mats,For sale,1.0.0,Yes,RugOtherMessageS01,9310,5grLuDzGkNL4DYk4r
blue Persian rug,,No,2000,500,Blue,Beige,5x5,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,expensive,living room,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquarePersianL01,8035,CDY97qjWg4xG6egyS
blue shaggy rug,,No,2000,500,Blue,Blue,5x5,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,None,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquareShaggyL02,9564,v4ZJPY2ToZPHXp6KH
blue small round mat,,No,1000,250,Blue,Blue,2x2,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,Yes,RugRoundSimpleS02,9549,BxaqCsC7TqwGdHpib
blue stripes rug,,No,2000,500,Blue,White,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectBorderL02,7533,dAHzKeTqwA9wD2yfa
blue vinyl sheet,,No,1500,375,Blue,Colorful,3x2,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,ocean,resort,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectVinylM01,7404,b8xZjiyqLPWJsgt73
blue wavy rug,,No,2000,500,Blue,Aqua,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,child's room,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectWaveL02,7458,SbRQxAyR7EZSRBb4j
