Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
antique boots,,,Black,No,2640,660,51,Black,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Elegant,everyday; fairy tale,1,No,For sale,1.0.0,Yes,ShoesKneeAntique1,776,11689,hpTunJzb4CJPueMW7
antique boots,,,Brown,No,2640,660,51,Brown,Brown,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Elegant,everyday; fairy tale,2,No,For sale,1.0.0,Yes,ShoesKneeAntique0,776,5523,jQ9MMJXSCde9q8NPP
antique boots,,,Greige,No,2640,660,51,Beige,Beige,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Elegant,everyday; fairy tale,3,No,For sale,1.0.0,Yes,ShoesKneeAntique2,776,11690,ngk8sGuhSHQoBmwqv
armor shoes,,,NA,Yes,NFS,3000,103,Gray,Gray,1x1,NA,NA,Crafting,,NA,NA,All Year,All Year,NA,Free,Cool,Gorgeous,fairy tale; goth,1,No,Not for sale,1.0.0,Yes,ShoesKneeKnightIron,763,5472,osBLFxSiCDnRf8eXR
babouches,,,Gray,No,560,140,23,Gray,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,1,No,For sale,1.0.0,Yes,ShoesSandalBaboush4,925,10112,N9jHqLCE8WsfZxJHo
babouches,,,Red,No,560,140,23,Red,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,2,No,For sale,1.0.0,Yes,ShoesSandalBaboush7,925,10115,EZKKTpCAN4CEvJJwC
babouches,,,Pink,No,560,140,23,Pink,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,3,No,For sale,1.0.0,Yes,ShoesSandalBaboush2,925,10110,KrfcX2z6gFKZziGwx
babouches,,,Orange,No,560,140,23,Orange,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,4,No,For sale,1.0.0,Yes,ShoesSandalBaboush1,925,10109,hzHj4PYSRpa8fkQey
babouches,,,Yellow,No,560,140,23,Yellow,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,5,No,For sale,1.0.0,Yes,ShoesSandalBaboush3,925,10111,BRTZYzjci4T3qodP8
babouches,,,Mint,No,560,140,23,Green,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,6,No,For sale,1.0.0,Yes,ShoesSandalBaboush6,925,10114,okW9rusWLMPm4bcDz
babouches,,,Blue,No,560,140,23,Aqua,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,7,No,For sale,1.0.0,Yes,ShoesSandalBaboush0,925,6043,AvkHgWmEW5vTs4Ckc
babouches,,,Purple,No,560,140,23,Purple,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,8,No,For sale,1.0.0,Yes,ShoesSandalBaboush5,925,10113,sth7EXmjdbwzk439A
ballet slippers,,,Black,No,2200,550,23,Black,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,1,No,For sale,1.0.0,Yes,ShoesLowcutBallet4,791,10158,oQNLiop5Do6CH5eTu
ballet slippers,,,Pink,No,2200,550,23,Pink,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,2,No,For sale,1.0.0,Yes,ShoesLowcutBallet0,791,5608,uABG45ozFPCwrBXuS
ballet slippers,,,Red,No,2200,550,23,Orange,Orange,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,3,No,For sale,1.0.0,Yes,ShoesLowcutBallet7,791,10161,CpLSLkvz3Jo982p6e
ballet slippers,,,Yellow,No,2200,550,23,Yellow,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,4,No,For sale,1.0.0,Yes,ShoesLowcutBallet6,791,10160,Qv7eADgLwdsNuSBZZ
ballet slippers,,,Mint,No,2200,550,23,Aqua,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,5,No,For sale,1.0.0,Yes,ShoesLowcutBallet1,791,10155,bE4c36LYqcRmkajHL
ballet slippers,,,Blue,No,2200,550,23,Blue,Blue,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,6,No,For sale,1.0.0,Yes,ShoesLowcutBallet2,791,10156,jJ565rnrzozyhRNYP
ballet slippers,,,Purple,No,2200,550,23,Purple,Purple,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,7,No,For sale,1.0.0,Yes,ShoesLowcutBallet3,791,10157,kuEQdTi7ZXLw5AZgR
ballet slippers,,,White,No,2200,550,23,Beige,Beige,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,8,No,For sale,1.0.0,Yes,ShoesLowcutBallet5,791,10159,cQt3ftJejYwuPrqWS
basic pumps,,,Black,No,1080,270,51,Black,Beige,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; formal; party; work,1,No,For sale,2.0.0,Yes,ShoesLowcutNomalpumps0,1453,14765,ud4W2GgrLhDcxMJxh
