Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
aerobics leggings,,,Red & pink,No,700,175,23,Pink,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,1,No,For sale,1.0.0,Yes,SocksTexAerobics0,621,5197,Smui8G3P6D8WgqK9G
aerobics leggings,,,Light blue & salmon pink,No,700,175,23,Pink,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,2,No,For sale,1.0.0,Yes,SocksTexAerobics3,621,9796,nYBBFZjyvYjTSN4fD
aerobics leggings,,,Purple & orange,No,700,175,23,Orange,Purple,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,3,No,For sale,1.0.0,Yes,SocksTexAerobics2,621,9795,jWvfpeefbhQpHQFoM
aerobics leggings,,,Emerald & lime,No,700,175,23,Green,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,4,No,For sale,1.0.0,Yes,SocksTexAerobics1,621,9794,eZKx89GvGsXcSDiMk
aerobics leggings,,,Yellow & blue,No,700,175,23,Blue,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,5,No,For sale,1.0.0,Yes,SocksTexAerobics4,621,9797,gYqiyt5aP9KjqNnXQ
Aran-knit socks,,,White,No,720,180,51,White,White,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,1,No,For sale,1.0.0,Yes,SocksTexAlan1,536,9058,XX9wX5KzyENyLGa5e
Aran-knit socks,,,Black,No,720,180,51,Black,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,2,No,For sale,1.0.0,Yes,SocksTexAlan5,536,9062,pLZq39rKg8rn454r4
Aran-knit socks,,,Red,No,720,180,51,Red,Red,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,3,No,For sale,1.0.0,Yes,SocksTexAlan2,536,9059,7xkmotJQfLFN6Rohx
Aran-knit socks,,,Green,No,720,180,51,Green,Green,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,4,No,For sale,1.0.0,Yes,SocksTexAlan3,536,9060,NH6u8astq42zMebAa
Aran-knit socks,,,Blue,No,720,180,51,Blue,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,5,No,For sale,1.0.0,Yes,SocksTexAlan4,536,9061,Gardfqrryv6SLZSQB
Aran-knit socks,,,Beige,No,720,180,51,Beige,Beige,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,6,No,For sale,1.0.0,Yes,SocksTexAlan0,536,4742,stTCJiLMdhmZ2ztyw
