Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Kit Type,Cyrus Customize Price,Uses,Stack Size,Buy,Sell,HHA Base Points,HHA Concept 1,HHA Concept 2,Color 1,Color 2,Size,Set,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Villager Equippable,Food Power,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
axe,,NA,NA,Yes,No,NA,None,NA,100,1,2500,625,0,None,None,Beige,Black,1x1,None,NA,NA,Crafting; Nook's Cranny,,NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolAxe,NA,2100,iR9zzEhzpbXTGdkR4
bamboo wand,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,3900,201,None,None,Green,Beige,1x1,None,NA,NA,Crafting,,young spring bamboo,Yes,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickBamboo,NA,7590,YLjDYt9NhwTgoXhLD
bean-tossing kit,,NA,NA,No,No,NA,None,NA,Unlimited,1,800,200,201,harmonious,None,Beige,Beige,1x1,None,NA,NA,Nook Shopping Seasonal,,Setsubun,Yes,No,NA,No lighting,Seasonal,1.7.0,Yes,ToolSoy0,NA,13914,Nn7qqRaw3SrP3Fd5H
berry-vanilla soft serve,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Pink,Beige,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolIcesoft3,NA,325,cPjiuP5KFRtkjWQqe
bitter-orange folding fan,,NA,NA,No,No,NA,None,NA,Unlimited,1,NFS,200,0,None,None,Yellow,White,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,NA,No lighting,Not for sale,2.0.0,Yes,ToolSensu2,NA,322,MqK2fS94eHu36fnFL
blue balloon,,NA,NA,No,No,NA,None,NA,Unlimited,1,600,150,0,None,None,Blue,Blue,1x1,None,500,Bells,Redd's Raffle; Nook's Cranny,Available from Redd's Raffle during Fireworks Shows; Available from Nook's Cranny rotating cabinet stock outside of August,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),No,No,NA,No lighting,For sale,1.4.0,Yes,ToolBalloonNormal,NA,7869,wZi9GW6MbpePQpvKY
blue sparkler,,NA,NA,No,No,NA,None,NA,1,10,600,150,0,None,None,Blue,Colorful,1x1,None,500,Bells,Redd's Raffle; Nook's Cranny,Available from Redd's Raffle during Fireworks Shows; Available from Nook's Cranny rotating cabinet stock outside of August,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),No,No,NA,No lighting,For sale,1.4.0,Yes,ToolFireworks1,NA,12974,nX6tAkPNA4xgzbhon
boba coffee,,NA,NA,No,No,NA,None,NA,3,1,600,150,0,None,None,Brown,Black,1x1,None,500,Bells,Redd's Raffle,,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),Yes,No,1,No lighting,Not for sale,1.11.0,Yes,ToolTapioca4,NA,14742,jvf8uw5Mm44Q86cE2
boba green tea,,NA,NA,No,No,NA,None,NA,3,1,600,150,0,None,None,Green,Orange,1x1,None,500,Bells,Redd's Raffle,,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),Yes,No,1,No lighting,Not for sale,1.11.0,Yes,ToolTapioca2,NA,14747,c3bvzqk8C5iuuEbpo
boba mango tea,,NA,NA,No,No,NA,None,NA,3,1,600,150,0,None,None,Orange,Purple,1x1,None,500,Bells,Redd's Raffle,,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),Yes,No,1,No lighting,Not for sale,1.11.0,Yes,ToolTapioca3,NA,14746,m7BfnhqvLKr8Ybb6Z
boba milk tea,,NA,NA,No,No,NA,None,NA,3,1,600,150,0,None,None,Beige,Green,1x1,None,500,Bells,Redd's Raffle,,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),Yes,No,1,No lighting,Not for sale,1.11.0,Yes,ToolTapioca0,NA,14628,PbsfbtksDomE4a3Tp
boba strawberry tea,,NA,NA,No,No,NA,None,NA,3,1,600,150,0,None,None,Pink,Blue,1x1,None,500,Bells,Redd's Raffle,,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),Yes,No,1,No lighting,Not for sale,1.11.0,Yes,ToolTapioca1,NA,14745,WNeTxBFbMvah9kNyX
bubble blower,,NA,NA,No,No,NA,None,NA,1,10,150,37,0,None,None,Pink,Pink,1x1,None,500,Bells,Redd's Raffle; Nook's Cranny,Available from Redd's Raffle during Fireworks Shows; Available from Nook's Cranny rotating cabinet stock outside of August,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),No,No,NA,No lighting,For sale,1.4.0,Yes,ToolBubblesNormal,NA,4386,CQmL5dEmhYEGkCJCF
bug wand,,NA,NA,No,No,NA,None,NA,Unlimited,1,NFS,1500,501,None,None,Pink,Yellow,1x1,None,NA,NA,Flick,,Bug-Off (1); Bug-Off (2); Bug-Off (3); Bug-Off (4),Yes,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStcikInsect,NA,8769,vqp4KBeWgZjYbFj7Z
Bunny Day wand,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,11100,351,None,None,Colorful,Yellow,1x1,None,NA,NA,Crafting,,Bunny Day,Yes,No,NA,No lighting,Not for sale,1.1.0,Yes,ToolStickEgg,NA,12578,26wk773sY75rKY2P4
canned apple juice,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Red,White,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolCanPlayer2,NA,14776,5RAGMWT54pZrdvXei
canned coffee,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Brown,Beige,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolCanPlayer5,NA,14779,Kpi895thJ6Bfr4syt
canned grape juice,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Purple,White,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolCanPlayer1,NA,14775,giyxqEHWEGh4xDekh
canned green tea,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Green,Green,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolCanPlayer3,NA,14777,FFQfhzfqxvaobcXRR
canned orange juice,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Orange,White,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolCanPlayer0,NA,14638,PM5ED38yRZQXdPZtP
canned soda,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Pink,Pink,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolCanPlayer7,NA,14781,yMkHtMPf5gyX2ee2f
canned sports drink,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Blue,White,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolCanPlayer6,NA,14780,3MjBbTJtBegKirMmi
canned tea,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Yellow,Beige,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolCanPlayer4,NA,14778,oimu26EsBYzL7gw3o
cherry-blossom wand,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,2700,0,None,None,Pink,Brown,1x1,None,NA,NA,Crafting,,cherry-blossom petals,Yes,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickCherryblossom,NA,7589,WHHbg5ZqTMu4J2wm5
chitose ame,,NA,NA,No,No,NA,None,NA,Unlimited,1,1000,250,201,None,None,White,Aqua,1x1,None,NA,NA,Nook Shopping Seasonal,,Shichi-Go-San,Yes,No,NA,No lighting,Seasonal,1.11.0,Yes,ToolChitoseame,NA,14285,xySaM5pikyagoJnPP
chocolate cone,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Brown,Beige,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolIcecream1,NA,14836,EMCmQBq4xFau27fyD
