Name,Image,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
abstract wall,,No,NA,No,1560,390,White,Colorful,1400,Poki,Nook's Cranny,,NA,NA,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,151,restaurant,facility,None,Cloth Walls,For sale,1.0.0,Yes,RoomTexWallAbstract00,4873,FpdbDr4PMe5WdEZkA
airplane wall,,Yes,Synchro,No,3000,750,White,White,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Cloth,451,facility,None,None,Special Walls,Not for sale,2.0.0,Yes,RoomSpWallAirplane00,5497,Z62odoapxLDBurx9r
ancient wall,,No,NA,No,3000,750,Beige,Brown,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,ancient,None,None,Asia,Not for sale,1.0.0,Yes,RoomTexWallEgypt00,4936,Y2pykQMhqbEoGGa62
antique brick wall,,No,NA,No,3000,750,Brown,Black,NA,NA,Saharah's Co-op,,NA,NA,Four Pane,Dark Wood,Glass,None,NA,Stone,451,café,restaurant,None,Brick,Not for sale,2.0.0,Yes,RoomTexWallAntique00,13331,ETTnjcgHmkCL56GxD
apparel-shop wall,,No,NA,No,3000,750,Colorful,White,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,apparel shop,None,None,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallDisplay00,12911,njfAsLH73QkJBxgg5
apple wall,,No,NA,Yes,NFS,4000,Red,Red,NA,NA,Crafting,,NA,NA,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,103,fancy,child's room,fruits,Fruit Walls,Not for sale,1.0.0,Yes,RoomTexWallApple00,4916,roJZFWataeLQK6vqa
aqua tile wall,,No,NA,No,1420,355,Aqua,Aqua,1300,Poki,Nook's Cranny,,NA,NA,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151,bathroom,public bath,None,Tile Walls,For sale,1.0.0,Yes,RoomTexWallTile01,4930,6NXvjsdpxJLbd96RM
arched-window wall,,Yes,NA,No,2150,537,Brown,Aqua,1900,Poki,Nook's Cranny,,NA,NA,None,NA,NA,None,NA,Wood,151,restaurant,European,None,Special Walls,For sale,1.0.0,Yes,RoomSpWallGlass00,5482,TzS5oe6a7KyBezmLS
aurora wall,,Yes,Synchro,No,7000,1750,Blue,Aqua,NA,NA,Nook Shopping Seasonal,,Winter Solstice,Yes,None,NA,NA,None,NA,Plain,201,freezing cold,None,None,Special Cool Nature Walls,Seasonal,1.6.0,Yes,RoomSpWallAurora00,13609,9FGZqwB77ofG4cC8k
autumn wall,,Yes,Random,Yes,NFS,4700,Brown,Orange,NA,NA,Crafting,,maple leaves,Yes,None,NA,NA,None,NA,Wood,201,garden,nature,tree's bounty or leaves,Special Warm Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallAutumun00,4905,KfLqJKhWtys8v86ig
backyard-fence wall,,Yes,Synchro,No,3000,750,Aqua,White,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Plain,451,garden,local,None,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallBackyard00,5481,oPYWjEfm7BqHTYipq
bamboo wall,,No,NA,Yes,NFS,2400,Green,Beige,NA,NA,Crafting,,NA,NA,None,NA,NA,None,NA,Wood,103,harmonious,retro,bamboo,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallBamboo00,4833,MYpD6DoNCPDw6d9t3
bamboo-grove wall,,No,NA,Yes,NFS,4300,Green,Green,NA,NA,Crafting,,young spring bamboo,Yes,None,NA,NA,None,NA,Wood,201,harmonious,garden,bamboo,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallChikurin00,4853,LbsrED9Rwg6SHTCpa
bamboo-screen wall,,No,NA,No,1770,442,Brown,Brown,1600,Poki,Nook's Cranny,,NA,NA,None,NA,NA,None,NA,Stone,151,heritage,harmonious,None,Wood Walls,For sale,1.0.0,Yes,RoomTexWallRattan00,4836,MZt39wkPG6P7iWG2M
bank-vault wall,,No,NA,No,3000,750,Gray,Gray,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Tile,451,facility,expensive,None,Iron Walls,Not for sale,1.0.0,Yes,RoomTexWallSafeBox00,4839,HrgjLfo8tPzP2zpbE
basic wall,,Yes,NA,No,600,150,White,White,540,Poki,Nook's Cranny,,NA,NA,None,NA,NA,None,NA,Tile,151,office,facility,None,Special Walls,For sale,1.0.0,Yes,RoomSpWallSimplePanel00,5559,FJxKPu5W2sd2YWQfA
bathhouse wall,,No,NA,No,3000,750,Aqua,Aqua,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,bathroom,public bath,None,Neta Walls,Not for sale,2.0.0,Yes,RoomTexWallPublicBath00,4829,x5kZ8HpHrN5mXe8wX
beaded-curtain wall,,No,NA,No,1720,430,White,Orange,1500,Poki,Nook's Cranny,,NA,NA,Four Pane,Natural Wood,Glass,Curtains,White Lace,Wood,151,shop,kitchen,None,Cloth Walls,For sale,1.0.0,Yes,RoomTexWallBeadsCurtain00,4877,M3mNZS2vSaHaiujcH
beige art-deco wall,,No,NA,No,2780,695,Beige,Beige,2500,Poki,Nook's Cranny,,NA,NA,Arch,Wood,Glass,None,NA,Wood,151,European,living room,None,Art Deco Walls,For sale,1.0.0,Yes,RoomTexWallArtDeco00,4817,2zmJaMB2B9i8gLTKt
beige blossoming wall,,No,NA,No,1760,440,Beige,Brown,1600,Poki,Nook's Cranny,,NA,NA,Four Pane,Natural Wood,Glass,Curtains,Red Checkered,Wood,151,fancy,living room,None,Country,For sale,1.0.0,Yes,RoomTexWallCountry00,4831,CF5325jZx7pNsqb6Z
beige Moroccan wall,,No,NA,No,2440,610,Beige,Beige,2200,Poki,Nook's Cranny,,NA,NA,Sliding Pane,White Metal,Glass,None,NA,Stone,151,bathroom,public bath,Moroccan,Morocco,For sale,1.0.0,Yes,RoomTexWallMorocco00,4834,qZrgjoMjxz9ehXqa4
black botanical-tile wall,,No,NA,No,1240,310,Black,Black,1100,Poki,Nook's Cranny,,NA,NA,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Stone,151,facility,expensive,None,Wood Tile Walls,For sale,1.0.0,Yes,RoomTexWallWoodTile03,6877,PEcX9J774Ffd6Gn8S
black European-style wall,,Yes,NA,No,3000,750,Black,Aqua,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,European,restaurant,None,Special Walls,Not for sale,2.0.0,Yes,RoomSpWallFrench01,13866,sQ5tk8wwoJhvHBj44
black hallway wall,,No,NA,No,2000,500,Black,Black,1800,Poki,Nook's Cranny,,NA,NA,None,NA,NA,None,NA,Wood,151,facility,music,None,Hall Walls,For sale,1.0.0,Yes,RoomTexWallHall03,6862,pQrYRHsmovBApejNJ
black perforated-board wall,,No,NA,No,1180,295,Black,Black,1100,Poki,Nook's Cranny,,NA,NA,None,NA,NA,None,NA,Tile,151,music,facility,None,Pegboard Walls,For sale,1.0.0,Yes,RoomTexWallPegboard02,4922,7fMiJATy4fWP4DpoC
