#,Name,Image,Type,Source,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Prevents Tan,Catalog Keyword,Name (Japanese),Name (Spanish),Name (French),Name (German),Name (Italian),Name (Korean),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
01,3D glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,Sci-Fi / Toy Shop,-,red,blue,flashy,Unisex,-,No,,3Dめがね,gafa 3D,monture 3D,3D-Brille,montatura 3-D,3D안경,2860,290A,acc_glass_3D,Yes,,-,,,-
02,aviator shades,,Glasses,GracieGrace,No,"4,800",-,"1,200",-,60,251,-,Trendy,-,brown,brown,rock 'n' roll,Unisex,-,No,,グラデーションサングラス,gafa aviador,monture aviateur,Spiegelbrille,montatura a specchio,그라데이션 선글라스,2882,292C,acc_glass_gradation,Yes,,-,,,-
03,bad bro's stache,,Glasses,Fortune,No,-,-,210,-,10,151,-,Toy Shop,-,red,black,flashy,Male,-,No,,ワリオのひげ,bigote Wario,moustache Wario,Wario-Schnauzer,baffo Wario,와리오 수염,2871,291B,acc_mustache_wario,Yes,,-,,,-
04,ballroom mask,,Glasses,GracieGrace,No,"4,800",-,"1,200",-,60,251,dancer,Antique / Fairy Tale,-,white,white,iconic,Unisex,-,No,,ぶとうかいのかめん,máscara de baile,masque de bal,Karnevalsmaske,mascherina bianca,무도회 가면,2861,290B,acc_mask_masquerade,Yes,,-,,,-
05,bandage,,Glasses,Able Sisters,Yes,80,-,20,16,1,3,-,-,-,brown,brown,sporty,Unisex,-,No,,ばんそうこう,tirita,pansement,Pflaster,set cerotti,반창고,2879,2923,acc_tape_adhesive,No,,bandage,,,-
06,beak,,Glasses,Able Sisters,Yes,640,-,160,128,8,3,-,-,-,yellow,yellow,cute,Unisex,Animal,No,,くちばし,pico,bec,Schnabel,becco,부리,2876,2920,acc_bill_waterimp,No,,beak,,,beak
07,big bro's mustache,,Glasses,Fortune,No,-,-,210,-,10,151,-,Toy Shop,-,brown,brown,cute,Male,-,No,,ゆうめいなヒゲ,bigote Mario,moustache Mario,Mario-Schnauzer,baffo fratellone,유명한 수염,2870,291A,acc_mustache_bigbro,Yes,,-,,,-
08,blue frames,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,blue,blue,basic,Unisex,-,No,,あおめがね,montura azul,monture bleue,Azurbrille,montatura blu,파란 안경,284B,28F5,acc_glass_blu,No,,blue frames,,,blue frames
09,brown glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,brown,brown,basic,Unisex,-,No,,ちゃいろめがね,montura marrón,monture marron,Streberbrille,montatura marrone,갈색 안경,2851,28FB,acc_glass_brw,No,,brown glasses,,,brown glasses
10,cucumber pack,,Glasses,Able Sisters,Yes,360,-,90,72,4,3,-,-,-,green,green,flashy,Female,-,Yes,,きゅうりパック,mascarilla pepino,masque concombre,Gurkenmaske,trucco cetriolo,오이 팩,2878,2922,acc_pack_cucumber,No,,cucumber pack,,,-
11,curly mustache,,Glasses,Able Sisters,Yes,160,-,40,32,2,3,-,-,-,black,black,official,Male,-,No,,まきヒゲ,bigote artista,moustache élégante,Schnauzbart,baffo arricciato,꼬부랑 수염,2872,291C,acc_mustache_curly,No,,curly mustache,,,-
12,cyber shades,,Glasses,Able Sisters,Yes,640,-,160,128,8,3,-,Trendy / Sci-Fi,-,black,gray,flashy,Unisex,-,No,,サイバーサングラス,cibergafa,monture futuriste,Cyberbrille,visore ciberspazio,사이버 선글라스,287D,2927,acc_glass_cyber,Yes,,-,,,-
13,doctor's mask,,Glasses,Able Sisters,Yes,80,-,20,16,1,3,-,Sci-Fi,-,white,white,basic,Unisex,-,No,,マスク,máscara cirujano,masque,Mundschutz,mascherina,마스크,2874,291E,acc_mask_nml,No,,doctor's mask,,,doctor's mask
14,doctor's mirror,,Glasses,Able Sisters,Yes,600,-,150,120,7,3,doctor,Sci-Fi / Quirky,-,white,white,official,Unisex,-,No,,はいしゃさん,espejo de doctor,monture docteur,Arztspiegel,specchio medico,치과 의사,2868,2912,acc_mirror_doctor,No,,doctor's mirror,,,-
15,eye mask,,Glasses,Able Sisters,Yes,160,-,40,32,2,3,-,-,-,green,green,flashy,Unisex,-,No,,アイマスク,antifaz para dormir,masque repos,Augenmaske,copriocchi,아이마스크,2865,290F,acc_mask_eye,No,,eye mask,,,-
16,eye patch,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,pirate,Toy Shop / Quirky,-,black,black,rock 'n' roll,Male,-,No,,アイパッチ,parche,cache-œil,Augenklappe,benda pirata,검정 안대,2869,2913,acc_patch_eye,No,,eye patch,,,eye patch
17,facial mask,,Glasses,Able Sisters,Yes,400,-,100,80,5,3,-,-,-,white,white,flashy,Female,-,Yes,,パック,mascarilla facial,masque de beauté,Kosmetikmaske,maschera idratante,팩,2883,292D,acc_pack,Yes,,-,,,-
18,funky glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,purple,purple,rock 'n' roll,Unisex,-,No,,さんかくめがね,montura mariposa,monture funky,Omabrille,montatura funky,삼각 안경,2856,2900,acc_glass_funky,No,,funky glasses,,,funky glasses
19,funny glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,black,brown,flashy,Unisex,-,No,,をかしなめがね,gafa graciosa,monture farceuse,Scherzbrille,montatura simpatica,코믹한 안경,287F,2929,acc_glass_eyes,Yes,,-,,,funny glasses
20,gas mask,,Glasses,Able Sisters,Yes,600,-,150,120,7,3,-,Quirky,-,gray,gray,flashy,Unisex,-,Yes,,ガスマスク,máscara de gas,masque à gaz,Gasmaske,maschera antigas,가스 마스크,286B,2915,acc_mask_gas,No,,gas mask,,,-
21,goggles,,Glasses,Able Sisters,Yes,280,-,70,56,3,3,-,-,-,aqua,aqua,sporty,Unisex,-,No,,すいえいゴーグル,gafa piscina,monture piscine,Schwimmbrille,montatura nuoto,물안경,2863,290D,acc_goggle,No,,goggles,,,-
22,Gracie glasses,,Glasses,GracieGrace,No,"6,200",-,"1,550",-,77,251,-,Trendy,-,blue,colorful,modern,Unisex,-,No,,グレースグラス,gafa Graciela,monture Carla,Graziabrille,montatura Griffa,그레이스 안경,2858,2902,acc_shade_grace,No,,Gracie glasses,,,-
23,green glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,green,green,basic,Unisex,-,No,,みどりめがね,montura verde,monture verte,Smaragdbrille,montatura verde,초록 안경,2850,28FA,acc_glass_grn,No,,green glasses,,,-
24,heart shades,,Glasses,GracieGrace,No,"4,800",-,"1,200",-,60,251,-,Fairy Tale,-,black,pink,cute,Female,-,No,,ハートのサングラス,gafa corazón,monture cœur,Herzchenbrille,montatura cuori,하트 선글라스,285E,2908,acc_shade_heart,No,,heart shades,,,-
25,HMD,,Glasses,Able Sisters,Yes,"1,800",-,450,360,22,3,-,Sci-Fi / Toy Shop,-,gray,gray,flashy,Unisex,-,No,,HMD,visor 3D,visiocasque,Cyberhelm,visore,HMD,2866,2910,acc_HMD,No,,HMD,,,-
