#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,DLC Exclusive,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,Name (NH),Name (HHD),Name (PC)
001,acid-washed pants,,Pants,GracieGrace,-,No,"3,600",-,900,-,45,251,-,-,-,blue,gray,rock 'n' roll,Male,-,,No,-,ケミカルデニム,pantalón desteñido,pantalón desteñido,pantalon délavé,Bleichjeanshose,paio jeans chiari,물빠진 데님 바지,1.0,26DD,275C,btms_denim_chemi,,,acid-washed pants
002,aloha shorts,,Short,Souvenir Shop,Summer,No,-,15,187,149,9,99,-,-,-,brown,white,iconic,Unisex,Nature,,No,-,アロハパンツ,bermuda aloha,bermuda aloha,short Hawaï,Aloha-Hose,paio bermuda aloha,알로하 바지,1.0,26E6,2765,btms_aloha,,,-
003,arctic-camo pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,gray,gray,rock 'n' roll,Unisex,Nature,,No,-,かんれいめいさいズボン,pantalón polar,pantalón polar,pantalon motif glace,Arktik-Hose,pantal. mimetico blu,흐릿한 밀리터리 바지,1.0,268E,270D,btms_camo_cold,,,arctic-camo pants
004,armor pants,,Pants,Able Sisters,Fall,Yes,800,-,200,160,10,3,knight,Antique / Quirky,-,gray,gray,historical,Male,-,,No,-,てつのすねあて,greba,greba,pantalon de plates,Silberrüstungshose,pantalone armatura,철갑 정강이 보호대,1.0,2689,2708,btms_armor,,,armor pants
005,baseball pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,white,blue,sporty,Male,-,,No,-,やきゅうのズボン,pantalón béisbol,pantalón béisbol,pantalon baseball,Baseballhose,pantalone baseball,야구 바지,1.0,268C,270B,btms_baseball,,,-
006,basketball shorts,,Short,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,black,yellow,sporty,Unisex,-,,No,-,バスケパンツ,bermuda básquet,bermuda básquet,short basketball,Basketballhose,paio bermuda basket,농구복 하의,1.0,26EB,276A,btms_basket,,,-
007,bear-costume pants,,Pants,Able Sisters,-,Yes,600,-,150,120,7,3,bear,-,-,brown,brown,cute,Unisex,Animal,,No,-,クマなズボン,pantalón oso,pantalón oso,bas ours,Bärenhose,pantalone orso,곰 바지,1.0,2697,2716,btms_cstm_bear,,,-
008,black formal pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,black,black,official,Unisex,-,,No,-,くろいフォーマルパンツ,pantalón lino negro,pantalón lino negro,pantalon chic noir,Bürohose,pantal. formale nero,검정 정장 바지,1.0,26D3,2752,btms_formal_blk,,,black formal pants
009,black formal skirt,,Skirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,black,black,basic,Female,-,,No,-,くろのスカート,falda lino negra,falda lino negra,jupe chic noire,Schwarzrock,gonna formale nera,검정 치마,1.0,26F0,276F,btms_formal_skt_blk,,,black formal skirt
010,black track pants,,Pants,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,black,black,sporty,Unisex,-,,No,-,スポーツジャージのズボン,pantalón sport negro,pantalón sport negro,pantalon survêt gris,Aufwärmhose,pantalone tuta nera,스포츠 트레이닝복 바지,1.0,26CF,274E,btms_jersey_sport,,,-
