#,Name,Image,Icon,Availability,Availability 1,Time 1,Availability 2,Time 2,Availability 3,Time 3,Availability 4,Time 4,Location,Tortimer Island Time,Spawn in Island Tour,Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Season (Encyclopedia),Time (Encyclopedia),Size Range (Encyclopedia),Furniture Size,HHA Base Points,Furniture Image,When HHA Lucky,Source Group,Museum Description,Catch Quote,Catch Quote 2,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French),Name (German),Name (Italian),Name (Korean),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH)
1,common butterfly,,,Mar - Jun; Sep,Mar - Jun,4 AM - 7 PM,Sep,8 AM - 4 PM,-,-,-,-,Flying near flowers,-,Yes,90,72,4,Spring,Morning-Evening,,1x1,3,,Feb 25 - May 31,75,"Seen flapping in the sun, common butterflies can be identified by black spots on their white wings. To the human eye, both males and females look white, but there are actually subtle differences. On closer inspection, the males' wings look black while the females' wings look white. The caterpillars have been known to cause damage to farmers' crops.",I caught a common butterfly! How could I resist?,-,モンシロチョウ,mariposa común,mariposa común,piéride de la rave,Kohlweißling,farfalla comune,배추흰나비,2286,228E,int_ins_monsiro,,,,,common butterfly
2,yellow butterfly,,,Mar - Jun; Sep,Mar - Jun,4 AM - 7 PM,Sep,8 AM - 4 PM,-,-,-,-,Flying near flowers,-,Yes,90,72,4,Spring,Morning-Evening,,1x1,3,,Feb 25 - May 31,75,"The yellow butterfly is similar to the common butterfly, with the two easily mistaken for one another. Males are more often a yellowish color, and females are more often white. The larvae feed on plants of the Fabaceae family, such as milk vetch or white clover.",I caught a yellow butterfly! Now to catch a toastfly!,-,モンキチョウ,mariposa colias,mariposa colias,citrin,Zitronenfalter,farfalla gialla,노랑나비,2287,228F,int_ins_monki,,,,,yellow butterfly
3,tiger butterfly,,,Mar - Sep,Mar - Jun,4 AM - 7 PM,Jul - Aug,8 AM - 5 PM,Sep,8 AM - 4 PM,-,-,Flying near red and pink flowers,8 AM - 5 PM,No,160,128,8,Spring-Summer,Morning-Evening,,1x1,3,,Feb 25 - May 31,75,"The larvae of tiger butterflies feed on leaves of orange trees until they metamorphose. When they're threatened, they emit a foul smell from their antennae to protect themselves. The dusting you see on your fingers whenever you touch their wings is actually from their scales. These scales form the wing pattern as well as repel rainwater, making them very important for survival.",I caught a tiger butterfly! Looks like I pounced first!,-,アゲハチョウ,mariposa tigre,mariposa tigre,machaon,Schwalbenschwanz,farfalla tigre,호랑나비,2288,2290,int_ins_ageha,,,,,tiger butterfly
4,peacock butterfly,,,Mar - Sep,Mar - Jun,4 AM - 7 PM,Jul,4 AM - 5 PM,Aug,8 AM - 5 PM,Sep,8 AM - 4 PM,"Flying near blue, purple, and black flowers",8 AM - 5 PM,No,220,176,11,Spring-Summer,Morning-Evening,,1x1,3,,-,0D,"The back of the wings of a peacock butterfly is black, while the front is blue or green. The males have black, velvet hair on their forewings and are easy to spot because of their beauty. Sometimes you may see a group of male peacock butterflies drinking water together.",I caught a peacock butterfly! Is it a bird or a bug?!,-,カラスアゲハ,mariposa bianor,mariposa bianor,papilio bianor,Pfaufalter,farfalla vanessa io,제비나비,2289,2291,int_ins_karasu,,,,,peacock butterfly
5,monarch butterfly,,,Sep - Nov,Sep - Oct,4 AM - 5 PM,Nov,8 AM - 5 PM,-,-,-,-,Flying near flowers,8 AM - 5 PM,No,140,112,7,Fall,Morning-Evening,,1x1,3,,-,0D,"Monarch butterflies are known for their lengthy southward migrations in the winter. Once spring rolls around, they return to their original homes until the weather turns cold again. In their southern habitat during winter, you may see thousands of them covering the trees.",I caught a monarch butterfly! Who rules now? I rule now!,-,オオカバマダラ,mariposa monarca,mariposa monarca,monarque,Monarchfalter,farfalla monarca,왕나비,228A,2292,int_ins_ookaba,,,,,monarch butterfly
6,emperor butterfly,,,Jun - Sep,Jun - Sep,5 PM - 8 AM,-,-,-,-,-,-,Flying near flowers,7 PM - 8 AM,No,"2,500","2,000",125,Summer,Night-Morning,,1x1,3,,-,0D,"Emperor butterflies are easily recognized because of their lovely, iridescent blue wings. Pigmentation isn't actually what causes the color, but rather the reflections on their wing scales. Since their wings shimmer when moving, noticing them is much easier when they are midflight.","I caught an emperor butterfly! Feeling blue, Your Majesty?",-,モルフォチョウ,mariposa celeste,mariposa celeste,morpho bleu,Himmelsfalter,farfalla morfo blu,몰포나비,228B,2293,int_ins_morpho,,,,,emperor butterfly
7,agrias butterfly,,,Jun - Sep,Jun - Sep,8 AM - 5 PM,-,-,-,-,-,-,Flying near flowers,8 AM - 5 PM,No,"3,000","2,400",150,Summer,Morning-Evening,,1x1,3,,-,0D,"Agrias butterflies are argued to have the most beautiful wings of all butterfly species. They're capable of flying quite fast, making them more difficult to catch than a number of their peers. Their wings sport three colors—red, blue, and black—but many have different patterns and shapes.",I caught an agrias butterfly! I guess this one agreed with me!,-,ミイロタテハ,mariposa narciso,mariposa narciso,agrias,Agrias-Falter,farfalla agrias,아그리스나비,228C,2294,int_ins_miiro,,,,,agrias butterfly
8,Raja B. butterfly,,,May - Sep,May - Sep,8 AM - 5 PM,-,-,-,-,-,-,Near freshwater,-,Yes,"2,500","2,000",125,Summer,Morning-Evening,,1x1,3,,-,0D,"Raja Brooke butterflies have red heads and a red strip around their necks, giving the look of a collar. They are known to drink hot-spring water and often hang around water flowing up from the ground. While males are vibrantly green, females are much more commonly seen with brown wings.",I caught a Raja Brooke butterfly! It's worth about as much as royalty!,-,アカエリアゲハ,mariposa alas Brooke,mariposa alas Brooke,brookiana,Rajah Brooke,farfalla Raja Brooke,부르키아나나비,228D,2295,int_ins_akaeri,,,,,Rajah Brooke's birdwing
9,birdwing butterfly,,,Jun - Sep,Jun - Sep,8 AM - 4 PM,-,-,-,-,-,-,Flying near flowers,8 AM - 4 PM,No,"4,000","3,200",200,Summer,Morning-Afternoon,,1x1,3,,-,0D,"The world's largest butterflies, birdwing butterflies, have wings that can measure 30 cm long. The females have longer wings than the males, while the males' wings have a deeper blue color. Though they are extremely popular with collectors, international trading is either limited or fully banned.",I caught a birdwing butterfly! Wow! It's about the size of a bird!,-,アレクサンドラアゲハ,mariposa alas pájaro,mariposa alas pájaro,ornithoptère,Vogelflügler,farfalla cobra,알렉산드라제비나비,228E,2296,int_ins_alex,,,,,Queen Alexandra's birdwing
10,moth,,,May - Sep,May - Sep,7 PM - 4 AM,-,-,-,-,-,-,Flying near light sources,-,No,60,48,-,Summer,Night,,1x1,3,,-,0D,"Moths are related to butterflies, but they're most often active at night instead of day. They use their large antennae to sense, smell, and guide themselves in the dark. Interestingly, the number of moth species is estimated at 160,000, so ""moth"" is a fairly broad descriptor.",I caught a moth! It finally saw the light!,-,ガ,polilla,polilla,papillon de nuit,Motte,falena,나방,228F,2297,int_ins_ga,,,,,moth
