#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,Hex ID [Wall] (1.4),Name (NH),Name (HHD),Name (PC)
001,academy uniform,,Long Sleeve Dress,Able Sisters,-,Yes,720,-,180,144,9,3,-,-,blue,blue,official,Female,-,,よそいきなふく,vestido serio,vestido serio,tenue académique,Sonntagskleid,vestito istitutrice,나들이 원피스,1.0,2613,2689,tops_onp_yosoiki,36C2,,,-
002,alpinist dress,,Short Sleeve Dress,Able Sisters,-,Yes,640,-,160,128,8,3,alpinist,-,green,white,iconic,Female,-,,チロリアンなふく,vestido tirolés,vestido tirolés,robe tyrolienne,Alpenkleid,vestito tirolese,알프스풍 옷,1.0,263B,26B1,tops_tirolean,36EA,,,alpinist dress
003,ballet outfit,,Sleeveless Dress,Able Sisters,Summer,Yes,"1,600",-,400,320,20,3,-,Fairy Tale,white,white,sporty,Female,-,,バレエのいしょう,vestido ballet,vestido ballet,robe d'été ballet,Ballett-Trägerkleid,tutù,발레 의상,1.0,265E,26D4,tops_vallet,370D,,,-
004,bathrobe,,Long Sleeve Dress,GracieGrace,-,No,"5,800",-,"1,450",-,72,251,spa patron,-,white,white,flashy,Female,-,,バスローブ,albornoz,albornoz,peignoir,Bademantel,accappatoio,목욕 가운,1.0,264E,26C4,tops_bathrobe,36FD,,,-
005,black-velvet dress,,Short Sleeve Dress,GracieGrace,-,No,"8,000",-,"2,000",-,100,299,-,Toy Shop,black,red,rock 'n' roll,Female,Manufactured,,マスカレードなワンピース,vestido de gala,vestido de gala,robe rouge & noire,Samtkleid,vestito velluto nero,갬블러 원피스,1.0,2651,26C7,tops_gambler_onp,3700,,,-
006,blossom dress,,Sleeveless Dress,Able Sisters,Spring,Yes,640,-,160,128,8,3,-,Rustic,pink,pink,cute,Female,Nature,,ピンクはながらワンピース,vestido rosáceo,vestido rosáceo,robe d'été fleurie,Blüten-Trägerkleid,scamiciato fioritura,핑크 꽃무늬 원피스,1.0,2626,269C,tops_flw_pnk,36D5,,,-
007,blossoming dress,,Long Sleeve Dress,Able Sisters,Spring,Yes,620,-,155,124,7,3,-,Harmonious / Rustic,green,orange,iconic,Female,Nature,,ウメがらのきもの,vestido crisantemo,vestido crisantemo,robe bourgeon,Wiesenkleid,vestito boccioli,매화무늬 기모노,1.0,262F,26A5,tops_jpn_ume,36DE,,,blossoming dress
008,blue ballet outfit,,Sleeveless Dress,Able Sisters,-,Yes,800,-,200,160,10,3,-,Fairy Tale,aqua,aqua,official,Female,-,,ブルーのバレエいしょう,vestido ballet azul,vestido ballet azul,tenue ballet bleue,Tänzerinnenkleid,tutù blu,블루 발레 의상,1.4,-,26E4,tops_vallet_blue,371D,,,-
009,blue dotted dress,,Short Sleeve Dress,GracieGrace,-,No,"7,200",-,"1,800",-,90,299,-,-,aqua,white,cute,Female,Dotted,,あおいみずたまワンピース,vestido aqua,vestido aqua,robe à pois bleue,Tüpfelkleid,vestito blu a pois,하늘색 물방울 원피스,1.0,260E,2684,tops_dotonp_blu,36BD,,,-
010,blue lace-up dress,,Long Sleeve Dress,Able Sisters,-,Yes,700,-,175,140,8,3,-,-,purple,purple,ornate,Female,-,,むらさきのコルセット,vestido celosía,vestido celosía,robe à lacets bleue,Schnürkleid,vestito viola lacci,퍼플 코르셋,1.0,2631,26A7,tops_corset_ppl,36E0,,,blue lace-up dress
011,blue party dress,,Short Sleeve Dress,GracieGrace,-,No,"8,000",-,"2,000",-,100,299,-,Fairy Tale,blue,blue,official,Female,-,,ブルーパーティードレス,vestido fiesta azul,vestido fiesta azul,robe de soirée bleue,Tanzkleid,vestito lusso blu,블루 파티드레스,1.0,2615,268B,tops_party_blu,36C4,,,blue party dress
012,blue retro dress,,Long Sleeve Dress,Able Sisters,-,Yes,720,-,180,144,9,3,-,-,aqua,white,modern,Female,Nature,,レトロボンダイワンピース,vestido retro azul,vestido retro azul,robe rétro turquoise,Retro-Kleid,vestito blu rétro,복고풍 물결무늬 원피스,1.0,262B,26A1,tops_retro_bondi,36DA,,,-
013,butterfly dress,,Sleeveless Dress,GracieGrace,Summer,No,"7,200",-,"1,800",-,90,251,-,Fairy Tale / Quirky,black,colorful,ornate,Female,Nature,,あげはのワンピース,vestido mariposa,vestido mariposa,robe d'été papillon,Falter-Trägerkleid,scamiciato farfalla,호랑나비무늬 원피스,1.0,261B,2691,tops_insc_ageha,36CA,,,-
014,cake dress,,Short Sleeve Dress,GracieGrace,-,No,"6,000",-,"1,500",-,75,251,bride,Fairy Tale,white,white,official,Female,-,,じゅんぱくのドレス,vestido nupcial,vestido nupcial,robe de mariée,Brautkleid,vestito da sposa,순백 드레스,1.0,263F,26B5,tops_dress_wht,36EE,,,-
015,cake tank dress,,Sleeveless Dress,Able Sisters,Summer,Yes,"6,000",-,"1,500","1,200",75,3,bride,Fairy Tale,white,white,official,Female,-,,そでなしじゅんぱくドレス,vestido nupcial sisa,vestido nupcial sisa,robe d'été de mariée,Braut-Trägerkleid,scamiciato da sposa,민소매 순백 드레스,1.0,266B,26E1,tops_dress_wht,371A,,,-
016,casual outfit,,Long Sleeve Dress,Able Sisters,Summer,Yes,720,-,180,144,9,3,-,Harmonious,blue,blue,iconic,Male,-,,きながし,vestido informal,vestido informal,tenue cool,Freizeitkleid,vestito giapp. blu,단정한 블루 슈트,1.0,264A,26C0,tops_jpn_haori,36F9,,,-
017,cat dress,,Long Sleeve Dress,Able Sisters,-,Yes,720,-,180,144,9,3,cat,-,blue,blue,cute,Unisex,Animal,,ネコなふく,vestido gato,vestido gato,robe chat,Katzenkleid,vestito gatto,고양이 옷,1.0,2647,26BD,tops_cstm_cat,36F6,,,-
018,cat tank dress,,Sleeveless Dress,Able Sisters,Summer,Yes,800,-,200,160,10,3,cat,-,blue,blue,cute,Unisex,Animal,,ネコなノースリーブ,vestido gato sisa,vestido gato sisa,robe d'été chat,Katzen-Trägerkleid,scamiciato gatto,고양이 민소매 원피스,1.0,266A,26E0,tops_cstm_cat,3719,,,-
019,caveman tank dress,,Sleeveless Dress,Able Sisters,Summer,Yes,800,-,200,160,10,3,-,-,brown,yellow,historical,Female,Nature,,げんしじんなワンピース,vestido cavernícola,vestido cavernícola,robe d'été caverne,Steinzeitkleid,scamiciato sapiens,원시인 원피스,1.0,2666,26DC,tops_caveman,3715,,,-
020,chima jeogori dress,,Long Sleeve Dress,Able Sisters,-,Yes,880,-,220,176,11,3,-,Harmonious,red,aqua,iconic,Female,-,,チマチョゴリ,vestido coreano,vestido coreano,robe chima chogori,Hanbok-Kleid,vestito coreano,한복,1.0,2664,26DA,tops_chogori,3713,,,-
021,citrus gingham dress,,Long Sleeve Dress,Able Sisters,Spring,Yes,640,-,160,128,8,3,-,-,yellow,orange,cute,Female,Plaid,,きいろいワンピース,vestido vichy,vestido vichy,robe vichy citron,Ausflugskleid,vestito raggiante,노란색 원피스,1.0,2621,2697,tops_onp_ylw,36D0,,,-
022,classic dress,,Short Sleeve Dress,Able Sisters,Fall,Yes,720,-,180,144,9,3,-,Fairy Tale,pink,brown,ornate,Female,Nature,,クラシックなドレス,vestido clásico,vestido clásico,robe classique,Klassik-Kleid,vestito classico,클래식 드레스,1.0,265F,26D5,tops_dress_classic,370E,,,-
023,cool dress,,Long Sleeve Dress,GracieGrace,-,No,"6,400",-,"1,600",-,80,251,-,Trendy,colorful,white,modern,Female,Nature,,ヌーボーなワンピース,vestido guay,vestido guay,robe sympa,Flammenkleid,vestito art nouveau,언밸런스 원피스,1.0,262D,26A3,tops_retro_nouveau,36DC,,,-
024,dapper dress,,Short Sleeve Dress,Able Sisters,Winter,Yes,800,-,200,160,10,3,-,-,yellow,green,basic,Female,Plaid,,きいろツイードワンピース,vestido paseo oro,vestido paseo oro,robe pimpante,Alpaka-Kleid,vestito festoso,노란색 트웨이드 원피스,1.0,2662,26D8,tops_tweed_ylw,3711,,,-
025,dazed dress,,Short Sleeve Dress,Able Sisters,-,Yes,720,-,180,144,9,3,-,-,pink,purple,cute,Female,Plaid,,ゆめいろこうしワンピース,vestido rombos,vestido rombos,robe losange,Wohlfühlkleid,vestito quadri rosa,꿈색 체크무늬 원피스,1.0,2652,26C8,tops_gridonp_dream,3701,,,-
026,dogtooth dress,,Long Sleeve Dress,GracieGrace,Winter,No,"7,200",-,"1,800",-,90,299,-,-,black,gray,iconic,Female,Plaid,,ちどりごうしのワンピース,vestido pata gallo,vestido pata gallo,robe pied de coq,Pepita-Kleid,vestito zigzag,바람개비무늬 원피스,1.0,2653,26C9,tops_houndonp,3702,,,-
027,dollhouse dress,,Sleeveless Dress,GracieGrace,-,No,"8,000",-,"2,000",-,100,299,-,Fairy Tale / Toy Shop,aqua,aqua,cute,Female,Manufactured,,アイドルなふく,vestido azulado,vestido azulado,robe d'été poupée,Püppchenkleid,scamiciato bambola,아이돌 옷,1.0,265C,26D2,tops_idol_80,370B,,,-
028,dreamy tank dress,,Sleeveless Dress,Able Sisters,Spring,Yes,640,-,160,128,8,3,-,Rustic,pink,aqua,cute,Female,Nature,,ゆめのはながらワンピース,vestido ensueño,vestido ensueño,robe d'été de rêve,Frottee-Trägerkleid,scamiciato da sogno,파스텔 꽃무늬 원피스,1.0,2623,2699,tops_flw_dream,36D2,,,-
029,embroidered dress,,Short Sleeve Dress,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,blue,blue,cute,Female,Nature,,ししゅうワンピース,vestido bordado,vestido bordado,robe brodée,Stickkleid,vestito ricamato,자수 원피스,1.0,2655,26CB,tops_onp_embroid,3704,,,-
030,fairy-tale dress,,Short Sleeve Dress,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,red,aqua,cute,Female,Nature,,アンデルセンなふく,vestido tarta,vestido tarta,robe fable,Märchenkleid,vestito favola,안데르센풍 옷,1.0,2642,26B8,tops_andersen,36F1,,,-
031,Festivale tank dress,,Sleeveless Dress,Able Sisters,-,Yes,680,-,170,136,8,33,-,-,green,red,iconic,Female,-,,サンバなワンピース,vestido de carnaval,vestido de carnaval,robe d'été carnaval,Karnevalskleid,scamiciato samba,삼바 원피스,1.0,2656,26CC,tops_onp_samba,3705,,,-
032,festive dress,,Short Sleeve Dress,Able Sisters,Winter,Yes,680,-,170,136,8,3,-,Toy Shop,red,white,cute,Female,Manufactured,,クリスマスなドレス,vestido festivo,vestido festivo,robe de mère Noël,Festtagskleid,vestito festivo,크리스마스 드레스,1.0,260C,2682,tops_xmas_dress,36BB,,,festive dress
033,festive-tree dress,,Sleeveless Dress,GracieGrace,Winter,No,"8,000",-,"2,000",-,100,251,-,Rustic / Toy Shop,green,white,flashy,Female,-,,もみのきワンピース,vestido abeto,vestido abeto,robe d'été sapin,Baumschmuck-Kleid,scamiciato addobbato,크리스마스트리 원피스,1.0,265D,26D3,tops_tree_xmas,370C,,,festive-tree dress
034,fleece dress,,Short Sleeve Dress,Able Sisters,-,Yes,720,-,180,144,9,3,-,Fairy Tale,blue,yellow,cute,Female,Nature,,メルヘンなドレス,vestido medieval,vestido medieval,robe en polaire,Fleece-Kleid,vestito fiabesco,신비한 옷,1.0,261F,2695,tops_dress_marchen,36CE,,,-
035,floral knit dress,,Sleeveless Dress,Able Sisters,Spring,Yes,640,-,160,128,8,3,-,Rustic,purple,white,cute,Female,Nature,,しろいはなのワンピース,vestido lila flores,vestido lila flores,robe d'été florale,Primel-Trägerkleid,scamiciato fioroni,하얀색 꽃그림 원피스,1.0,2622,2698,tops_flw_floral,36D1,,,floral knit dress
