Name,Image,Outdoor Image,Icon,Source,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,HHA Theme Challenge,Color 1,Color 2,When HHA Lucky,Fashion,Clothing Type,Consumable,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH)
rental axe,,,,Tortimer Island,-,-,-,-,-,0,-,-,-,-,-,Axe,No,Only ownable while at Tortimer Island,-,レンタルオノ,hacha de préstamo,hacha de préstamo,hache (prêt),hache (prêt),Leihaxt,ascia a nolo,렌탈 도끼,1.0,303B,334C,axe,Yes,,,,
axe,,,,Garden Shop,400,-,100,80,-,0,-,-,-,-,-,Axe,No,,-,オノ,hacha,hacha,hache,hache,Axt,ascia,도끼,1.0,303C,334D,axe,No,axe,axe,axe,axe
silver axe,,,,Souvenir Shop,400,8,100,-,5,199,-,-,-,-,-,Axe,No,,-,ぎんのオノ,hacha de plata,hacha de plata,hache d'argent,hache d'argent,Silberaxt,hache d'argent,은도끼,1.0,303D,334E,s_axe,No,,,,
golden axe,,,,Leif,-,-,100,-,-,0,-,-,-,-,-,Axe,No,,-,きんのオノ,hacha de oro,hacha de oro,hache dorée,hache dorée,Goldaxt,ascia d'oro,금도끼,1.0,303E,334F,g_axe,No,golden axe,golden axe,golden axe,golden axe
rental net,,,,Tortimer Island,-,-,-,-,-,0,-,-,-,-,-,Net,No,Only ownable while at Tortimer Island,-,レンタルあみ,red de préstamo,red de préstamo,filet (prêt),filet (prêt),Leihkescher,retino a nolo,렌탈 잠자리채,1.0,303F,3350,net,Yes,,,,
net,,,,Nooklings,500,-,125,100,-,0,-,-,-,-,-,Net,No,,-,あみ,red,red,filet,filet,Kescher,retino,잠자리채,1.0,3040,3351,net,No,net,net,net,net
silver net,,,,Museum Shop,500,-,125,-,-,0,-,-,-,-,-,Net,No,,-,ぎんのあみ,red de plata,red de plata,filet d'argent,filet d'argent,Silberkescher,retino d'argento,은잠자리채,1.0,3041,3352,s_net,No,,,silver net,
golden net,,,,Nat,-,-,125,-,-,0,-,-,-,-,-,Net,No,,-,きんのあみ,red de oro,red de oro,filet doré,filet doré,Goldkescher,retino d'oro,금잠자리채,1.0,3042,3353,g_net,No,golden net,golden net,golden net,golden net
rental rod,,,,Tortimer Island,-,-,-,-,-,0,-,-,-,-,-,Fishing Rod,No,Only ownable while at Tortimer Island,-,レンタルつりざお,caña de préstamo,caña de préstamo,canne à pêche (prêt),canne à pêche (prêt),Leihangel,canna pesca a nolo,렌탈 낚싯대,1.0,3043,3354,pole,Yes,,,,
fishing rod,,,,Nooklings,500,-,125,100,-,0,-,-,-,-,-,Fishing Rod,No,,-,つりざお,caña,caña,canne à pêche,canne à pêche,Angel,canna da pesca,낚싯대,1.0,3044,3355,pole,No,fishing rod,fishing rod,fishing rod,fishing rod
silver rod,,,,Museum Shop,500,-,125,-,-,0,-,-,-,-,-,Fishing Rod,No,,-,ぎんのつりざお,caña de plata,caña de plata,canne à pêche argent,canne à pêche argent,Silberangel,canna d'argento,은낚싯대,1.0,3045,3356,s_pole,No,,,silver rod,
golden rod,,,,Chip,-,-,125,-,-,0,-,-,-,-,-,Fishing Rod,No,,-,きんのつりざお,caña de oro,caña de oro,canne à pêche dorée,canne à pêche dorée,Goldangel,canna d'oro,금낚싯대,1.0,3046,3357,g_pole,No,golden rod,golden rod,golden rod,golden rod
rental shovel,,,,Tortimer Island,-,-,-,-,-,0,-,-,-,-,-,Shovel,No,Only ownable while at Tortimer Island,-,レンタルスコップ,pala de préstamo,pala de préstamo,pelle (prêt),pelle (prêt),Leihschaufel,pala a nolo,렌탈 삽,1.0,3047,3358,scoop,Yes,,,,
shovel,,,,Nooklings,500,-,125,100,-,0,-,-,-,-,-,Shovel,No,,-,スコップ,pala,pala,pelle,pelle,Schaufel,pala,삽,1.0,3048,3359,scoop,No,shovel,shovel,shovel,shovel
silver shovel,,,,Museum Shop,500,-,125,-,-,0,-,-,-,-,-,Shovel,No,,-,ぎんのスコップ,pala de plata,pala de plata,pelle d'argent,pelle d'argent,Silberschaufel,pala d'argento,은삽,1.0,3049,335A,s_scoop,No,,,silver shovel,
golden shovel,,,,Leif,-,-,125,-,-,0,-,-,-,-,-,Shovel,No,,-,きんのスコップ,pala de oro,pala de oro,pelle dorée,pelle dorée,Goldschaufel,pala d'oro,금삽,1.0,304A,335B,g_scoop,No,golden shovel,golden shovel,golden shovel,golden shovel
rental can,,,,Tortimer Island,-,-,-,-,-,0,-,-,-,-,-,Watering Can,No,Only ownable while at Tortimer Island,-,レンタルジョウロ,regadera de préstamo,regadera de préstamo,arrosoir (prêt),arrosoir (prêt),Leihgießkanne,annaffiatoio a nolo,렌탈 물뿌리개,1.0,304B,335C,jyoro,Yes,,,,
watering can,,,,Garden Shop,500,-,125,100,-,0,-,-,-,-,-,Watering Can,No,,-,ジョウロ,regadera,regadera,arrosoir,arrosoir,Gießkanne,annaffiatoio,물뿌리개,1.0,304C,335D,jyoro,No,,watering can,watering can,watering can
silver can,,,,Leif,500,-,125,-,-,0,-,-,-,-,-,Watering Can,No,,-,ぎんのジョウロ,regadera de plata,regadera de plata,arrosoir d'argent,arrosoir d'argent,Silberkanne,annaffiatoio d'arg.,은물뿌리개,1.0,304D,335E,s_jyoro,No,,,silver can,
golden can,,,,Isabelle,-,-,125,-,-,0,-,-,-,-,-,Watering Can,No,,-,きんのジョウロ,regadera de oro,regadera de oro,arrosoir doré,arrosoir doré,Goldkanne,annaffiatoio d'oro,금물뿌리개,1.0,304E,335F,g_jyoro,No,,golden can,golden can,golden can
rental slingshot,,,,Tortimer Island,-,-,-,-,-,0,-,-,-,-,-,Slingshot,No,Only ownable while at Tortimer Island,-,レンタルパチンコ,tirachinas préstamo,tirachinas préstamo,lance-pierre (prêt),lance-pierre (prêt),Leihschleuder,fionda a nolo,렌탈 새총,1.0,304F,3360,sling,Yes,,,,
slingshot,,,,Nooklings,500,-,125,100,-,0,-,-,-,-,-,Slingshot,No,,-,パチンコ,tirachinas,tirachinas,lance-pierre,lance-pierre,Schleuder,fionda,새총,1.0,3050,3361,sling,No,,slingshot,slingshot,slingshot
silver slingshot,,,,Balloon,500,-,125,-,-,0,-,-,-,-,-,Slingshot,No,,-,ぎんのパチンコ,tirachinas de plata,tirachinas de plata,lance-pierre argent,lance-pierre argent,Silberschleuder,fionda d'argento,은새총,1.0,3051,3362,s_sling,No,,,silver slingshot,
golden slingshot,,,,Balloon,-,-,125,-,-,0,-,-,-,-,-,Slingshot,No,,-,きんのパチンコ,tirachinas de oro,tirachinas de oro,lance-pierre doré,lance-pierre doré,Goldschleuder,fionda d'oro,금새총,1.0,3052,3363,g_sling,No,,golden slingshot,golden slingshot,golden slingshot
rental toy hammer,,,,Tortimer Island,-,-,-,-,-,0,-,-,-,-,-,Toy Hammer,No,Only ownable while at Tortimer Island,-,レンタルピコピコハンマー,mart. jug. préstamo,mart. jug. préstamo,marteau plas. (prêt),marteau plas. (prêt),Leihhammer,mart. gomma a nolo,렌탈 뿅망치,1.0,3053,3364,hammer,Yes,,,,
toy hammer,,,,Souvenir Shop,-,10,125,100,6,199,-,-,-,-,-,Toy Hammer,No,,-,ピコピコハンマー,martillo de juguete,martillo de juguete,marteau en plastique,marteau en plastique,Quietschehammer,martello di gomma,뿅망치,1.0,3054,3365,hammer,Yes,,,,
megaphone,,,,Nooklings,500,-,125,100,-,0,-,-,-,-,-,Megaphone,No,,-,メガホン,megáfono,megáfono,mégaphone,mégaphone,Megafon,megafono,메가폰,1.0,3055,3366,megaphone,Yes,,,,
sparkler,,,,Nooklings,120,-,30,24,-,0,-,-,-,Aug 1-31,-,Sparkler,No,Disappears when used,-,せんこうはなび,bengala,bengala,cierge magique,cierge magique,Wunderkerze,stella filante,조용한 폭죽,1.0,3057,3368,firework,No,,sparkler,sparkler,"red sparkler, blue sparkler"
roman candle,,,,Dud ticket,-,-,30,24,-,0,-,-,-,Aug 1-31,-,Sparkler,No,Disappears when used,-,ふきだしはなび,candela romana,candela romana,chandelle romaine,chandelle romaine,Römerkerze,candela romana,화려한 폭죽,1.0,3058,3369,firework,No,,roman candle,roman candle,
