#,Name,Image,Texture,Source,Rarity Group,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,HHA Series,HHA Theme Challenge,Color 1,Color 2,Fashion,Catalog Keyword,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
001,alpine rug,,,Nooklings,D,Yes,"1,400",-,350,280,-,151,alpine,Rustic,colorful,-,cute,,スカンジナビアなラグ,alfombra nórdica,alfombra nórdica,tapis nordique,tapis nordique,Nordteppich,tappeto nordico,스칸디나비아 러그,1.0,2439,245D,carpet_scandinavia,,,,,,,alpine rug
002,ancient tile,,,Saharah,-,No,"3,000",-,"2,400","1,920",-,951,-,Antique / Quirky,brown,brown,historical,,エジプトなゆか,losa egipcia,losa egipcia,sol hiéroglyphe,sol hiéroglyphe,Antikboden,pavimento egizio,이집트 바닥,1.0,2411,2435,carpet_egypt,,,,,,,-
003,arched brick floor,,,Olive's RV,-,No,840,-,210,168,-,151,-,Antique,brown,brown,iconic,,アーチレンガのゆか,suelo arco adoquines,suelo arco adoquines,sol arches briques,sol arches briques,Kopfsteinpflaster,p. sampietrini,아치 벽돌 바닥,1.4,-,2473,carpet_floor_archbrick,,,,,,,arched brick floor
004,astro floor,,,Nooklings,A,Yes,"2,120",-,530,424,-,151,astro,Trendy / Sci-Fi,orange,-,basic,,きんみらいなゆか,suelo futurista,suelo futurista,sol astro,sol astro,Astroboden,pavimento futuro,미래형 바닥,1.0,2432,2456,carpet_future,,,,,,,-
005,autumn floor,,,Saharah,-,No,"3,000",-,"1,700","1,360",-,951,-,Rustic,red,-,cute,,こうようのゆか,suelo otoñal,suelo otoñal,sol automne,sol automne,Herbstlaubboden,pavimento autunnale,단풍 바닥,1.0,2437,245B,carpet_autumun,,,,,,,autumn floor
006,backyard lawn,,,Nooklings,B,Yes,880,-,220,176,-,151,mossy garden,Rustic,green,-,basic,,しばふのゆか,suelo césped,suelo césped,gazon patio,gazon patio,Wiesenteppich,tappeto cortile,잔디밭 바닥,1.0,23E2,2406,carpet_backyard,,,,,backyard lawn,,backyard lawn
007,balloon floor,,,Balloons,-,No,-,-,450,360,-,351,balloon,Toy Shop,colorful,colorful,cute,,バルーンなゆか,suelo globos,suelo globos,sol ballons,sol ballons,Ballonboden,pavimento palloncini,풍선 바닥,1.0,2431,2455,carpet_balloon,,,,,,,balloon floor
008,bamboo flooring,,,Nooklings,D,Yes,"1,360",-,340,272,-,151,-,Harmonious / Rustic,green,-,basic,,バンブーなゆか,suelo bambú,suelo bambú,sol en bambou,sol en bambou,Bambusboden,pavimento bambù,대나무 바닥,1.0,240E,2432,carpet_bamboo,,,,,bamboo flooring,,-
009,basement floor,,,Saharah,-,No,"3,000",-,"2,125","1,700",-,951,-,Quirky,gray,gray,flashy,,ちかしつのゆか,suelo sótano,suelo sótano,sol de cave,sol de cave,Kellerboden,pavimento cantina,지하실 바닥,1.0,23FC,2420,carpet_basement,,,,,,,basement floor
010,bath tile,,,Saharah,-,No,"3,000",-,"1,700","1,360",-,951,spa,Harmonious,aqua,aqua,historical,,おふろばタイルのゆか,azulejo terma,azulejo terma,carrelage bain,carrelage bain,Badkachelboden,pavimento terme,목욕탕 타일 바닥,1.0,23E7,240B,carpet_publicbath,,,,,,,-
011,birch flooring,,,Nooklings,D,Yes,800,-,200,160,-,151,-,Rustic / Trendy,white,-,iconic,,しらきのフローリング,suelo abedul,suelo abedul,parquet bouleau,parquet bouleau,Birkenboden,pavimento betulla,가공한 나무 바닥,1.0,240C,2430,carpet_flooring_birch,,,,,birch flooring,,birch flooring
012,block floor,,,Fortune,-,No,-,-,210,-,-,151,Mario,Toy Shop,brown,brown,cute,,スーパーマリオのゆか,suelo bloques,suelo bloques,revêtement blocs,revêtement blocs,Bruchsteinboden,pavimento mattoni,슈퍼 마리오 바닥,1.0,241B,243F,carpet_mario,,,,,,,-
013,block flooring,,,Huck's RV,-,No,840,-,210,168,-,151,-,-,brown,brown,basic,,フローリングブロック,parqué cuadriculado,parqué cuadriculado,parquet mosaïque,parquet mosaïque,Quadratboden,pav. quadri parquet,나무 바닥,1.4,-,2481,carpet_floor_round,,,,,block flooring,,block flooring
014,blue flooring,,,Nooklings,A,Yes,"1,580",-,395,316,-,151,blue,-,blue,-,basic,,あおいゆか,suelo azul,suelo azul,moquette bleue,moquette bleue,Azurteppich,pavimento blu,블루 바닥,1.0,23CC,23F0,carpet_blue,,,,,,,blue flooring
015,boxing-ring mat,,,Saharah,-,No,"3,000",-,"2,500","2,000",-,951,boxing,-,white,aqua,sporty,,プロレスのゆか,alfombra boxeo,alfombra boxeo,tapis de ring,tapis de ring,Boxmatte,tappeto ring,프로 레슬링 바닥,1.0,23E1,2405,carpet_wrestling,,,,,boxing-ring mat,,-
016,cabana flooring,,,Souvenir Shop,-,No,-,40,500,400,25,199,cabana,Harmonious,green,green,basic,,リゾートなゆか,suelo mimbre,suelo mimbre,sol rotin,sol rotin,Korbteppich,pavimento vimini,리조트 바닥,1.0,23CB,23EF,carpet_resort,,,,,,,-
017,cabin rug,,,Nooklings,C,Yes,"1,540",-,385,308,-,151,cabin,Rustic,red,-,iconic,,ログハウスのゆか,alfombra cabaña,alfombra cabaña,carpette chalet,carpette chalet,Blockhausteppich,tappeto rustico,통나무집 바닥,1.0,23D0,23F4,carpet_log,,,,,,,-
018,card carpet,,,GracieGrace,-,No,"1,960",-,490,-,-,299,card,Toy Shop,green,green,cute,,トランプなゆか,suelo naipes,suelo naipes,tapis cartes,tapis cartes,Kartenboden,pavimento carte,트럼프 바닥,1.0,242D,2451,carpet_trump,,,,,,,-
019,ceramic tile,,,Nooklings,A,Yes,"1,390",-,347,277,-,151,-,Trendy,yellow,-,modern,,きいろいピータイル,losa cerámica,losa cerámica,sol céramique,sol céramique,Keramikfliesenboden,pavimento ceramica,옐로우 타일 바닥,1.0,23EA,240E,carpet_tile_ylw,,,,,,,-
020,charcoal tile,,,Nooklings,A,Yes,800,-,200,160,-,151,-,-,gray,-,historical,,あらいタイルのゆか,losa pizarra,losa pizarra,lino gris,lino gris,Kohleboden,pavimento carbone,까끌한 타일 바닥,1.0,23F5,2419,carpet_tile_coarse,,,,,,,charcoal tile
021,checkered tile,,,Nooklings,D,Yes,"1,680",-,420,336,-,151,-,Trendy / Toy Shop,black,-,cute,,あかくろタイルのゆか,losa rombos,losa rombos,carrelage pavés,carrelage pavés,Karokachelboden,pavimento a scacchi,빨강검정 타일 바닥,1.0,23E9,240D,carpet_tile_redblack,,,,,,,checkered tile
022,cheese floor,,,Nooklings,C,Yes,"1,360",-,340,272,-,151,-,-,yellow,-,modern,,チーズなゆか,suelo queso,suelo queso,sol fromage,sol fromage,Käseboden,pavimento formaggio,치즈 바닥,1.0,2435,2459,carpet_cheese,,,,,,,-
023,chessboard rug,,,Saharah,-,No,"3,000",-,"2,075","1,660",-,951,-,Toy Shop,black,white,sporty,,しょうぶのゆか,alfombra ajedrez,alfombra ajedrez,tapis échiquier,tapis échiquier,Schachbrettboden,tappeto a scacchi,승부사 바닥,1.0,23EF,2413,carpet_chessboard,,,,,,,-
024,Cinnamoroll floor,,,Chai's RV,-,No,-,-,"1,200",-,-,300,-,Fairy Tale,white,yellow,cute,,シナモロールなゆか,suelo Cinnamoroll,suelo Cinnamoroll,sol Cinnamoroll,sol Cinnamoroll,Cinnamoroll-Boden,pav. Cinnamoroll,시나모롤 바닥,1.4,-,248A,carpet_cinnamon,,,,,,,Cinnamoroll floor
025,citrus carpet,,,Nooklings,D,Yes,"1,330",-,332,265,-,151,-,Rustic,orange,-,cute,,フルーツじゅうたん,alfombra cítrica,alfombra cítrica,tapis agrume,tapis agrume,Zitrusteppich,tappeto agrumi,오렌지 카펫,1.0,240A,242E,carpet_citrus,,,,,,,-
026,classic carpet,,,Nooklings,C,Yes,"2,300",-,575,460,-,151,classic,Rustic,green,-,iconic,,シックなじゅうたん,alfombra clásica,alfombra clásica,tapis rustique,tapis rustique,Klassikteppich,tappeto antico,클래식 카펫,1.0,23C9,23ED,carpet_chic,,,,,,,classic carpet
027,classroom floor,,,Saharah,-,No,"3,000",-,"1,500","1,200",-,951,classroom,Sci-Fi,brown,brown,iconic,,きょうしつのゆか,suelo aula,suelo aula,marqueterie,marqueterie,Schulraumparkett,pavimento scuola,교실 바닥,1.0,23E6,240A,carpet_classroom,,,,,,,classroom floor
028,closed road,,,Saharah,-,No,"3,000",-,"1,625","1,300",-,951,construction,Quirky,gray,brown,flashy,,ひびわれたどうろ,suelo en obras,suelo en obras,sol route barrée,sol route barrée,Straßenbauboden,strada chiusa,끊긴 도로 바닥,1.0,23E0,2404,carpet_road,,,,,,,-
029,cloud flooring,,,Nooklings,A,Yes,"1,480",-,370,296,-,151,-,-,white,-,cute,,くものじゅうたん,suelo nube,suelo nube,sol nuages,sol nuages,Wolkenteppich,pavimento nuvole,구름 카펫,1.0,2418,243C,carpet_cloud,,,,,cloud flooring,,cloud flooring
030,common floor,,,Nooklings,B,Yes,"1,280",-,320,256,-,151,-,Rustic,brown,-,basic,,よくあるゆかいた,suelo básico,suelo básico,sol ordinaire,sol ordinaire,Normalboden,pavimento comune,평범한 바닥,1.0,2419,243D,carpet_common,,,,,,,-
031,concrete floor,,,Saharah,-,No,"3,000",-,"1,800","1,440",-,951,-,Sci-Fi / Quirky,gray,gray,modern,,コンクリートのゆか,suelo cemento,suelo cemento,sol en béton,sol en béton,Betonboden,pavimento cemento,콘크리트 바닥,1.0,23FB,241F,carpet_concrete,,,,,,,-
032,convenient floor,,,Filly's RV,-,No,-,-,210,-,-,0,-,-,-,-,-,,コンビニのゆか,suelo súper,suelo súper,sol supérette,sol supérette,Mini-Supermarktboden,pavimento negozio,편의점 바닥,1.0,243F,2463,carpet_shop_conveni,,,,,,,-
033,cowhide rug,,,Nooklings,C,Yes,"1,540",-,385,308,-,151,-,-,brown,-,rock 'n' roll,,ぎゅうがわのしきもの,alfombra vaca,alfombra vaca,peau de vache,peau de vache,Kuhfellteppich,tappeto cuoio,소가죽 카펫,1.0,240B,242F,carpet_cowhide,,,,,,,cowhide rug
034,creepy floor,,,Jack,-,No,-,-,500,-,-,651,-,Quirky,gray,red,flashy,,ホラーなじゅうたん,moqueta pavorosa,moqueta pavorosa,tapis lugubre,tapis lugubre,Gruselboden,tappeto horror,호러 카펫,1.0,241C,2440,carpet_horror,,,,,,,-
035,daisy meadow,,,Saharah,-,No,"3,000",-,"1,800","1,440",-,951,-,Rustic,green,green,basic,,そうげんのゆか,prado margaritas,prado margaritas,sol pâquerettes,sol pâquerettes,Alpengrund,prato fiorito,초원 바닥,1.0,2413,2437,carpet_highlands,,,,,daisy meadow,,daisy meadow
036,dig-site floor,,,Museum Shop,-,Yes,"1,600",-,400,320,-,199,-,-,brown,beige,sporty,,ちていのゆか,suelo yacimiento,suelo yacimiento,sol fossiles,sol fossiles,Fossilienboden,pav. archeologico,땅속 바닥,1.0,2424,2448,carpet_stratum,,,,,,,-
037,diner tile,,,Nooklings,C,Yes,"1,300",-,325,260,-,151,-,Trendy,green,-,modern,,みどりのピータイル,losa comedor,losa comedor,carrelage damier,carrelage damier,Imbisskachelboden,pavim. piastrellato,그린 타일 바닥,1.0,23EB,240F,carpet_tile_grn,,,,,,,-
038,dirt floor,,,Boots's RV,-,No,840,-,210,168,-,151,-,Rustic,brown,brown,iconic,,つちのゆか,suelo choza,suelo choza tierra,sol terre,sol terre,Matschboden,pavimento terroso,흙 바닥,1.4,-,2483,carpet_floor_straw,,,,,,,dirt floor
039,dotted rug,,,Nooklings,D,Yes,"1,600",-,400,320,-,151,polka-dot,Trendy,yellow,-,cute,,みずたまなじゅうたん,alfombra topos,alfombra topos,tapis à pois,tapis à pois,Pünktchenteppich,tappeto pois,물방울 카펫,1.0,243B,245F,carpet_dot_set,,,,,,,dotted rug
040,egg floor,,,Zipper,-,No,-,-,"8,888",-,-,651,egg,Toy Shop,colorful,colorful,cute,,たまごのじゅうたん,suelo huevo,suelo huevo,sol œuf,sol œuf,Eierteppich,pavimento uovo,달걀 카펫,1.0,23D6,23FA,carpet_egg,,,,,,,-
041,exhibit-room floor,,,Custom Museum Rooms,-,No,-,-,100,80,-,499,-,-,beige,beige,basic,,てんじしつのゆか,suelo exposición,suelo exposición,sol salle d'expo,sol salle d'expo,Ausstellungsboden,pav. esposizione,전시실 바닥,1.0,243C,2460,carpet_museum_2F,,,,,,,-
042,exotic rug,,,Nooklings,A,Yes,"1,820",-,455,364,-,151,exotic,Harmonious / Rustic,brown,-,iconic,,アジアなラグ,alfombra exótica,alfombra exótica,tapis teck,tapis teck,Orient-Teppich,tappeto esotico,아시아 러그,1.0,23C7,23EB,carpet_asia,,,,,,,exotic rug
043,exquisite rug,,,Nooklings,D,Yes,"1,960",-,490,392,-,151,-,Harmonious,colorful,-,official,,オリエンタルなラグ,tapiz exquisito,tapiz exquisito,tapis magnifique,tapis magnifique,Feudalteppich,tappeto raffinato,오리엔탈 러그,1.0,2406,242A,carpet_oriental,,,,,,,-
044,fancy carpet,,,Nooklings,B,Yes,"2,980",-,745,596,-,151,-,Antique,colorful,-,ornate,,ごうかなじゅうたん,alfombra rosas,alfombra rosas,tapis fantaisie,tapis fantaisie,Rosenteppich,tappeto lussuoso,호화로운 카펫,1.0,2405,2429,carpet_luxurious,,,,,,,fancy carpet
045,fancy tile floor,,,Weber's RV,-,No,840,-,210,168,-,151,-,Antique,black,black,ornate,,こうきゅうタイルのゆか,suelo Graciela gris,suelo Graciela gris,sol carreaux luxe,sol carreaux luxe,Dunkelfliesenboden,pav. sofisticato,고급 타일 바닥,1.4,-,2480,carpet_floor_grace_normal,,,,,,,-
046,field floor,,,Tad's RV,-,No,840,-,210,168,-,151,-,Rustic,brown,brown,iconic,,はたけのゆか,suelo huerto,suelo huerto,sol champ,sol champ,Feld,pavimento orto,들판 바닥,1.4,-,247C,carpet_floor_farm,,,,,,,field floor
047,flagstone floor,,,Maggie's RV,-,No,840,-,210,168,-,151,-,Antique,yellow,beige,iconic,,フラッグストーンなゆか,empedrado irregular,empedrado irregular,sol pierre naturelle,sol pierre naturelle,Sandsteinboden,pavimento lastricato,깃발 스톤 바닥,1.4,-,2474,carpet_floor_flagstone,,,,,,,flagstone floor
048,flower pop carpet,,,Nooklings,A,Yes,"1,480",-,370,296,-,151,-,Rustic / Fairy Tale,orange,-,sporty,,フラワーなラグ,alfombra flor,alfombra flor,tapis fleur pop,tapis fleur pop,Blumenteppich,pavimento fiori,플라워 러그,1.0,2433,2457,carpet_flower_pop,,,,,,,flower pop carpet
049,forest floor,,,Near trees,-,No,-,-,420,336,-,351,mush,Fairy Tale,beige,beige,cute,,きのこのもりのゆか,suelo bosque,suelo bosque,sol forêt,sol forêt,Waldteppich,pavimento fungo,버섯숲 바닥,1.0,23D4,23F8,carpet_mush,,,,,,,-
050,fruit-panel floor,,,Puzzle League,-,No,-,-,"1,200",-,-,551,-,Toy Shop,colorful,colorful,cute,,パネポンなタイル,suelo Puzzle League,suelo Puzzle League,sol Puzzle League,sol Puzzle League,Puzzleopolis-Boden,pav. Puzzle League,동물의 숲 패널로 퐁 타일,1.4,-,248F,carpet_panepon,,,,,,,-
051,Fueki floor,,,Holden's RV,-,No,-,-,"1,200",-,-,300,-,Toy Shop,red,beige,rock 'n' roll,,フエキくんなじゅうたん,suelo Fueki,suelo Fueki,sol Fueki,sol Fueki,Fueki-Boden,pavimento Fueki,후에키 카펫,1.4,-,2490,carpet_fueki,,,,,,,-
052,galaxy floor,,,Wisp's RV,-,No,840,-,210,-,-,151,-,Sci-Fi / Toy Shop,blue,blue,flashy,,ぎんがけいのゆか,suelo galaxia,suelo galaxia,sol galaxie,sol galaxie,Weltraumboden,pavimento galassia,은하계 바닥,1.4,-,247D,carpet_floor_galaxy,,,,,,,galaxy floor
053,gallery floor,,,Blathers's RV,-,No,"4,800",-,"1,200",-,-,151,-,Toy Shop,yellow,green,official,,はくぶつかんのゆか,parqué museo,parqué museo,carrelage musée,carrelage musée,Museumsfoyer-Boden,pav. atrio museo,박물관 바닥,1.4,-,2491,carpet_museum,,,,,,,-
054,golden carpet,,,Cyrus,-,No,-,-,"15,000","12,000",-,1351,golden,Antique,yellow,yellow,historical,,おうごんのゆか,suelo dorado,suelo dorado,tapis d'or,tapis d'or,Goldboden,pavimento d'oro,황금 바닥,1.0,241F,2443,carpet_gold,,,,,,,golden carpet
055,gorgeous floor,,,GracieGrace,-,No,"124,000",-,"31,000",-,-,251,gorgeous,Trendy,colorful,colorful,ornate,,ゴージャスなゆか,moqueta palacio,moqueta palacio,parquet somptueux,parquet somptueux,Luxusteppich,pavimento divino,화려한 바닥,1.0,23DD,2401,carpet_gorgeous,,,,,,,gorgeous floor
056,Gracie carpet,,,GracieGrace,-,No,"124,000",-,"31,000",-,-,251,Gracie,Trendy,colorful,colorful,modern,,グレースのじゅうたん,moqueta Graciela,moqueta Graciela,tapis Carla,tapis Carla,Graziateppich,tappeto Griffa,그레이스 카펫,1.0,23DB,23FF,carpet_grace,,,,,,,-
