#,Name,Name (Default Variant),Image,Icon,Source,Rarity Group,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Type,Size,Wall-Mounted,Surface,Placeable on Surfaces,Can Trash,Can Be Walked On,Interactivity,Animated,Sound,HHA Base Points,HHA Series,HHA Series Type,HHA Theme Challenge,Color 1,Color 2,When HHA Lucky,Fashion,Catalog Keyword,Consumable,Customizable,Customization Cost,Total Variant Count,Body Variant Count,Customizable Body Name,Pattern Variant Count,Customizable Pattern Name,Ore Variant Count,Customization Ores,Notes,Name (1.0),Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),# (EN-EU),# (JP),# (ES-NA),# (ES-EU),# (FR-NA),# (FR-EU),# (GER),# (ITA),# (KOR),Version Added,Buy Price (Internal),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
0001,? Block,? Block,,,Fortune,-,No,-,-,210,-,-,Table,1x1,No,Yes,No,,,Press,-,Press,151,Mario,Theme,Toy Shop,orange,brown,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,ハテナブロック,bloque ?,bloque ?,bloc?,bloc ?,?-Block,blocco ?,?블록,0001,1211,0205,0202,0152,0151,0001,0172,0001,1.0,840,2BE0,2C8A,int_smb_blocB,No,? block,? block,? block,? Block,? Block,? Block
0002,1-Up Mushroom,1-Up Mushroom,,,Fortune,-,No,-,-,210,-,-,-,1x1,No,No,Yes,,,Press,Press,Press,151,Mario,Theme,Toy Shop,orange,green,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,1UPキノコ,champiñón vida extra,champiñón vida extra,champignon 1UP,champignon 1UP,1-Up-Pilz,fungo 1-Up,1UP버섯,0002,0003,0421,0419,0399,0398,0012,0493,0004,1.0,840,2BDF,2C89,int_smb_1up,No,-,1-Up mushroom,1-up mushroom,1-Up Mushroom,1-Up Mushroom,1-Up Mushroom
0003,2017 cake,2017 cake,,,DLC,-,No,-,-,"2,017",-,-,-,1x1,No,No,Yes,,,Toggle,Toggle,Press,151,-,-,Toy Shop,colorful,pink,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,ニューイヤーケーキ'17,tarta 2017,tarta 2017,gâteau 2017,gâteau 2017,2017-Kuchen,torta 2017,2017년 케이크,0003,1109,1594,1595,0719,0717,0013,1615,0006,1.4,8068,-,30B4,int_oth_cake_2017,Yes,-,-,-,-,-,-
0004,24-hour-shop ABD,24-hour-shop ABD,,,Nintendo Zone,-,No,-,-,711,568,-,-,1x1,No,No,No,,,-,-,-,300,-,-,-,red,white,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,in-store Bellpoint,コンビニのATM,bayero súper,bayero súper,DAC d'épicerie,DAC d'épicerie,Geldautomat,bancomat,편의점 ATM,0719,0612,0178,0175,0559,0558,0466,0133,1523,1.0,2844,2E20,2ECA,int_cvn_ATM,Yes,-,-,-,-,24-hour-shop ABD,-
0005,24-hour-shop banner,24-hour-shop banner,,,Filly's RV,-,No,-,-,711,568,-,-,1x1,No,No,No,,,-,-,-,300,-,-,Toy Shop,yellow,red,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,セブンイレブンののぼり,banderola súper,banderola súper,drapeau d'épicerie,drapeau d'épicerie,Supermarktbanner,bandiera supermarket,어느 편의점 깃발,0004,0835,0152,0149,0580,0579,1493,0140,0976,1.4,2844,-,302B,int_cvn_flag,No,-,-,-,-,24-hour-shop banner,-
0006,24-hour-shop counter,24-hour-shop counter,,,Nintendo Zone,-,No,-,-,711,568,-,-,2x1,No,No,No,,,,,,300,-,-,-,white,brown,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,コンビニのレジカウンター,caja súper,caja súper,caisse d'épicerie,caisse d'épicerie,Supermarktkasse,cassa supermarket,편의점 계산대,0005,0617,0287,0285,0266,0264,1494,0266,1525,1.0,2844,2E24,2ECE,int_cvn_counter,Yes,-,-,-,-,24-hour-shop counter,-
0007,24-hour-shop model,24-hour-shop model,,,Nintendo Zone,-,No,-,-,711,568,-,Model,1x1,No,No,Yes,,,-,-,-,300,-,-,Toy Shop,brown,colorful,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,セブンイレブンのもけい,maqueta súper,maqueta súper,maquette d'épicerie,maquette d'épicerie,Supermarktmodell,modello supermarket,어느 편의점 모형,0006,0836,0906,0903,1048,1047,1495,0812,0977,1.0,2844,2E1F,2EC9,int_cvn_model,Yes,-,-,-,-,24-hour-shop model,-
0008,24-hour-shop sign,24-hour-shop sign,,,Nintendo Zone,-,No,-,-,711,568,-,-,1x1,No,No,No,,,Toggle,Toggle,Press,300,-,-,-,colorful,gray,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,コンビニのかんばん,cartel súper,cartel súper,enseigne d'épicerie,enseigne d'épicerie,Supermarktschild,cartello supermarket,편의점 간판,0007,0615,0398,0396,0593,0591,1496,0257,1524,1.0,2844,2E23,2ECD,int_cvn_sign,Yes,-,-,-,-,24-hour-shop sign,-
0009,24-hour-shop clock,24-hour-shop clock,,,Filly's RV,-,No,-,-,"3,000","2,400",-,Clock,1x1,Yes,No,No,,,-,Periodically,Always,300,-,-,Toy Shop,white,orange,-,official,,No,No,-,1,1,-,1,-,-,-,,-,-,セブンイレブンのとけい,reloj súper,reloj súper,horloge 7-Eleven,horloge 7-Eleven,Supermarktuhr,orologio 7-Eleven,어느 편의점 시계,0008,0834,1343,1343,0775,0773,1497,0856,0978,1.4,12000,-,3099,int_cvn_clock,Yes,-,-,-,-,-,-
0010,ABD,ABD,,,Post Office,-,No,-,-,250,200,-,-,1x1,No,No,No,,,-,-,-,500,-,-,-,gray,gray,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,Bellpoint,ATM,bayero,bayero,DAC,DAC,Bankautomat,Stellomat,ATM,0113,0017,0177,0174,0558,0557,0121,1408,0021,1.0,1000,2BFA,2CA4,int_oth_ATM,No,-,-,ABD,ABD,ABD,-
0011,accordion screen,accordion screen,,,Resetti's RV,-,No,-,-,700,560,-,-,2x1,No,No,No,,,,,,151,-,-,-,beige,gray,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,アコーディオンスクリーン,biombo acordeón,mampara acordeón,paravent accordéon,paravent accordéon,Papiertrennwand,separé fisarmonica,아코디언 스크린,0009,0080,0189,0887,1181,1179,1064,1269,0951,1.4,2800,-,2F1E,int_oth_accordionscreen,No,-,-,-,-,accordion screen,accordion screen
0012,afternoon-tea set,afternoon-tea set,,,Nintendo Zone,-,No,-,-,670,536,-,-,1x1,No,No,Yes,,,-,-,-,300,-,-,Fairy Tale,colorful,white,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,アフタヌーンティーセット,lote merienda,lote merienda,présentoir à gâteaux,présentoir à gâteaux,Kuchentablett,set da merenda,애프터눈 티 세트,0010,0101,0871,0867,1322,1320,0802,1287,0959,1.0,2680,2C3D,2CE7,int_oth_afternoon,Yes,-,-,-,afternoon-tea set,afternoon-tea set,afternoon-tea set
0013,air conditioner,air conditioner,,,Nooklings,-,Yes,"2,500",-,625,500,-,-,2x1,Yes,No,No,,,,,,151,-,-,Sci-Fi,-,-,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,エアコン,aire acondicionado,aire acondicionado,climatiseur,climatiseur,Klimaanlage,condizionatore aria,에어컨,0011,0169,0008,0007,0433,0432,0759,0360,0986,1.0,2500,2C2C,2CD6,int_oth_cooler,Yes,-,-,-,air conditioner,air conditioner,-
0014,air pump,air pump,,,Campground Shop,-,No,-,-,300,240,-,-,1x1,No,No,No,,,-,-,-,151,-,-,-,yellow,black,-,sporty,,No,No,-,1,1,-,1,-,-,-,,-,-,くうきいれ,bomba de aire,bomba de aire,pompe à vélo,pompe à vélo,Luftpumpe,pompa per bicicletta,공기 주입기,0012,0468,0219,0217,1279,1277,0871,1019,0107,1.4,1200,-,2EFE,int_oth_bicyclepump,No,-,-,-,-,air pump,air pump
0015,air purifier,air purifier,,,Campground Shop,-,No,-,-,300,240,-,-,1x1,No,Yes,No,,,Toggle,Toggle,Toggle,151,-,-,-,white,gray,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,しつがいき,aire acond. exterior,aire acond. exterior,ventilation,ventilation,Luftreiniger,purificatore d'aria,에어컨 실외기,0013,0659,0007,0006,1708,1708,0872,1052,0987,1.4,1200,-,2EE3,int_oth_shitsugaiki,No,,,,outdoor air conditioner,air purifier,-
0016,alarm clock,alarm clock (Bronze),,,Nooklings,B,Yes,"1,000",-,250,200,-,Clock,1x1,No,No,Yes,,,-,Periodically,Always,151,-,-,-,beige,beige,-,basic,,No,Yes,100,4,4,the coloring,1,-,-,-,,-,-,めざましどけい,despertador,despertador,réveil,réveil,Wecker,sveglia,자명종 시계,0014,1554,0534,0531,1363,1361,1667,1428,1130,1.0,1000,2BAE,2C58,rmk_oth_clockN_alarm,No,,,,old-fashioned alarm clock,alarm clock,alarm clock
0017,aloe,aloe,,,Garden Shop,-,Yes,"1,200",-,300,240,-,Plant,1x1,No,No,No,,,-,-,-,199,house plant,Set,Rustic,green,brown,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,アロエ,aloe,aloe,aloès,aloès,Aloe Vera,aloe,알로에,0015,0112,0018,0017,0009,0009,0037,0012,0955,1.0,1200,2B32,2BDC,int_plt_aloe,No,,,,,aloe,aloe
0018,alpine bed,alpine bed (Natural - Nature),,,Nooklings,D,Yes,"2,400",-,600,480,-,Bed,2x1,No,No,No,,,Sleep,-,Sleep,151,alpine,Series,Rustic,brown,gray,-,iconic,,No,Yes,240,24,3,the wood-grain color,8,the fabric,-,-,,-,-,スカンジナビアなベッド,cama nórdica,cama nórdica,lit nordique,lit nordique,Nordbett,letto nordico,스칸디나비아 침대,0016,0771,0334,0332,0985,0983,1007,0694,0821,1.0,2400,2D3A,2DE4,rmk_scd_bedS,Yes,,,,,alpine bed,alpine bed
0019,alpine chair,alpine chair (Natural - Nature),,,Nooklings,D,Yes,"2,000",-,500,400,-,Seat,1x1,No,No,No,,,Sit,-,Sit,151,alpine,Series,Rustic,brown,gray,-,iconic,,No,Yes,200,24,3,the wood-grain color,8,the fabric,-,-,,-,-,スカンジナビアなチェア,silla nórdica,silla nórdica,chaise nordique,chaise nordique,Nordstuhl,sedia nordica,스칸디나비아 체어,0017,0768,1456,1456,0378,0377,1017,1232,0820,1.0,2000,2D3C,2DE6,rmk_scd_chairS,Yes,,,,,alpine chair,-
0020,alpine closet,alpine closet (Natural - Nature),,,Nooklings,D,Yes,"2,380",-,595,476,-,Closet,1x1,No,No,No,,,Storage,Press,Press,151,alpine,Series,Rustic,brown,gray,-,iconic,,No,Yes,238,24,3,the wood-grain color,8,the fabric,-,-,,-,-,スカンジナビアクロゼット,armario nórdico,armario nórdico,armoire nordique,armoire nordique,Nordschrank,armadio nordico,스칸디나비아 옷장,0018,0763,0080,0080,0049,0049,1014,0073,0818,1.0,2380,2D3E,2DE8,rmk_scd_chestC,Yes,,,,,alpine closet,-
0021,alpine dresser,alpine dresser (Natural - Nature),,,Nooklings,D,Yes,"2,200",-,550,440,-,Dresser,2x1,No,No,No,,,Storage,Press,Press,151,alpine,Series,Rustic,brown,gray,-,iconic,,No,Yes,220,24,3,the wood-grain color,8,the fabric,-,-,,-,-,スカンジナビアなチェスト,cómoda nórdica,cómoda nórdica,commode nordique,commode nordique,Nordkommode,comò nordico,스칸디나비아 수납장,0019,0769,0486,0484,0495,0494,1010,0341,0817,1.0,2200,2D3D,2DE7,rmk_scd_chestA,Yes,,,,,alpine dresser,-
0022,alpine kitchen cart,alpine kitchen cart (Natural - Nature),,,Nooklings,D,Yes,"1,960",-,490,392,-,-,1x1,No,No,No,,,-,-,-,151,alpine,Series,Rustic,brown,gray,-,iconic,,No,Yes,196,24,3,the wood-grain color,8,the fabric,-,-,,-,-,スカンジナビアなワゴン,carrito nórdico,carrito nórdico,desserte nordique,desserte nordique,Nordwägelchen,carrello nordico,스칸디나비아 왜건,0020,0773,0385,0385,0563,0562,1018,0248,0819,1.0,1960,2D44,2DEE,rmk_scd_wagon,Yes,,,,,alpine kitchen cart,-
0023,alpine lamp,alpine lamp (Natural - Nature),,,Nooklings,D,Yes,"2,000",-,500,400,-,Light,1x1,No,No,No,,,Toggle,Light,Press,151,alpine,Series,Rustic,brown,gray,-,iconic,,No,Yes,200,24,3,the wood-grain color,8,the fabric,-,-,,-,-,スカンジナビアなランプ,lámpara nórdica,lámpara nórdica,lampe nordique,lampe nordique,Nordlampe,lampada nordica,스칸디나비아 램프,0021,0772,0805,0805,0905,0903,1011,0604,0814,1.0,2000,2D3F,2DE9,rmk_scd_lamp,Yes,,,,,alpine lamp,alpine lamp
0024,alpine low table,alpine low table (Natural - Nature),,,Nooklings,D,Yes,"2,000",-,500,400,-,Table,2x1,No,Yes,No,,,,,,151,alpine,Series,Rustic,brown,gray,-,iconic,,No,Yes,200,24,3,the wood-grain color,8,the fabric,-,-,,-,-,スカンジナビアテーブルM,mesita nórdica,mesita nórdica,table basse nordique,table basse nordique,Nord-Sofatisch,tavolino nordico,스칸디나비아 테이블 M,0022,0765,1051,1050,1487,1487,1016,1474,0823,1.0,2000,2D43,2DED,rmk_scd_tableM,Yes,,,,,alpine low table,alpine low table
0025,alpine panel,alpine panel (Nature),,,Nooklings,-,Yes,"1,800",-,450,360,-,-,1x1,Yes,No,No,,,-,-,-,151,alpine,Series,Rustic,brown,gray,-,iconic,,No,Yes,180,8,1,-,8,the fabric,-,-,,-,-,スカンジナビアなパネル,panel nórdico,panel nórdico,tableau nordique,tableau nordique,Nordfliese,piastrella nordica,스칸디나비아 패널,0023,0770,1162,1165,1579,1579,1009,0969,0824,1.0,1800,2D40,2DEA,rmk_scd_panel,Yes,,,,,alpine panel,-
0026,alpine shelf,alpine shelf (Natural - Nature),,,Nooklings,D,Yes,"2,100",-,525,420,-,-,1x1,No,No,No,,,-,-,-,151,alpine,Series,Rustic,brown,gray,-,iconic,,No,Yes,210,24,3,the wood-grain color,8,the fabric,-,-,,-,-,スカンジナビアなたな,aparador nórdico,aparador nórdico,étagère nordique,étagère nordique,Nordregal,credenza nordica,스칸디나비아 선반,0024,0767,0030,0030,0636,0633,1013,0384,0815,1.0,2100,2D41,2DEB,rmk_scd_shelf,Yes,,,,,alpine shelf,-
0027,alpine sofa,alpine sofa (Natural - Nature),,,Nooklings,D,Yes,"2,360",-,590,472,-,Seat,2x1,No,No,No,,,Sit,-,Sit,151,alpine,Series,Rustic,brown,gray,-,iconic,,No,Yes,236,24,3,the wood-grain color,8,the fabric,-,-,,-,-,スカンジナビアなソファ,sofá nórdico,sofá nórdico,canapé nordique,canapé nordique,Nordsofa,sofà nordico,스칸디나비아 소파,0025,0766,1512,1512,0297,0295,1015,1358,0816,1.0,2360,2D3B,2DE5,rmk_scd_chairL,Yes,,,,,alpine sofa,alpine sofa
0028,alto saxophone,alto saxophone,,,Weber's RV,-,No,-,-,600,480,-,Instrument,1x1,No,No,No,,,Press,-,Press,151,-,-,-,yellow,yellow,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,アルトサックス,saxofón,saxofón,saxophone alto,saxophone alto,Saxofon,sax contralto,알토 색소폰,0026,0109,1389,1388,1389,1387,1289,1115,0957,1.4,2400,-,2F86,int_oth_altosax,No,,,,alto saxophone,alto saxophone,-
