#,Name,Body Name,Pattern Name,Name (Variant),Image,Source,Reorderable,Buy Price (Bells),Sell Price (Re-Tail),Size,Interactivity,Animated,Sound,HHA Base Points,HHA Theme Challenge,Color 1,Color 2,Fashion,Customizable Body Name,Customizable Pattern Name,Customization Cost,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),# (JP),# (ES-NA),# (ES-EU),# (FR),# (GER),# (ITA),# (KOR),Version Added,Source Group,Hex ID,Body Flag,Pattern Flag,Flag,ID-Flag,Model Filename,New To Series,Name (NH),Name (HHD),Name (PC),Body Name (English EU),Pattern Name (English EU),Body Name (Japanese),Pattern Name (Japanese),Body Name (Spanish),Pattern Name (Spanish),Body Name (French NA),Pattern Name (French NA),Body Name (French EU),Pattern Name (French EU),Body Name (German),Pattern Name (German),Body Name (Italian),Pattern Name (Italian),Body Name (Korean),Pattern Name (Korean)
01,candy house,-,-,candy house,,HHD Save File,Yes,"6,000","1,500",3x3,-,-,-,777,Fairy Tale / Toy Shop,colorful,colorful,cute,-,-,-,おかしのいえ,casita de dulces,casita de chuches,maison bonbons,maison bonbons,Lebkuchenhaus,casa di dolci,과자집,04,04,03,07,09,04,03,1.4,B2,302F,00,00,0000,302F-0000,int_big_sweets,No,-,candy house,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02,carriage,White,-,carriage (White),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,white,white,cute,the body color,-,800,ばしゃ,carruaje,carruaje,calèche,calèche,Kutsche,carrozza,럭셔리 마차,14,03,02,02,08,03,04,1.4,B2,3037,00,00,0000,3037-0000,rmk_big_carriage,No,-,carriage,carriage,White,-,ホワイト,-,Blanco,-,Blanc.,-,Blanc.,-,Weiß,-,Bianco,-,화이트,-
02,carriage,Black,-,carriage (Black),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,black,yellow,cute,the body color,-,800,ばしゃ,carruaje,carruaje,calèche,calèche,Kutsche,carrozza,럭셔리 마차,14,03,02,02,08,03,04,1.4,B2,3037,04,00,0400,3037-0400,rmk_big_carriage,No,-,carriage,carriage,Black,-,ブラック,-,Negro,-,Noir.,-,Noir.,-,Schwarz,-,Nero,-,블랙,-
02,carriage,Brown,-,carriage (Brown),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,brown,brown,cute,the body color,-,800,ばしゃ,carruaje,carruaje,calèche,calèche,Kutsche,carrozza,럭셔리 마차,14,03,02,02,08,03,04,1.4,B2,3037,08,00,0800,3037-0800,rmk_big_carriage,No,-,carriage,carriage,Brown,-,ブラウン,-,Marrón,-,Brun.,-,Marron.,-,Braun,-,Marrone,-,브라운,-
02,carriage,Pink,-,carriage (Pink),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,pink,white,cute,the body color,-,800,ばしゃ,carruaje,carruaje,calèche,calèche,Kutsche,carrozza,럭셔리 마차,14,03,02,02,08,03,04,1.4,B2,3037,0C,00,0C00,3037-0C00,rmk_big_carriage,No,-,carriage,carriage,Pink,-,ピンク,-,Rosa,-,Rose.,-,Rose.,-,Pink,-,Rosa,-,핑크,-
02,carriage,Green,-,carriage (Green),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,green,yellow,cute,the body color,-,800,ばしゃ,carruaje,carruaje,calèche,calèche,Kutsche,carrozza,럭셔리 마차,14,03,02,02,08,03,04,1.4,B2,3037,10,00,1000,3037-1000,rmk_big_carriage,No,-,carriage,carriage,Green,-,グリーン,-,Verde,-,Vert.,-,Vert.,-,Grün,-,Verde,-,그린,-
03,giant ant,-,-,giant ant,,HHD Save File,Yes,"6,000","1,500",3x3,-,-,-,777,Rustic / Toy Shop,black,black,flashy,-,-,-,きょだいアリ,hormiga gigante,hormiga gigante,fourmi géante,fourmi géante,Riesenameise,formica gigante,거대 개미,05,05,05,04,13,06,02,1.4,B2,3031,00,00,0000,3031-0000,int_big_ant,No,-,giant ant,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
04,giant stew pot,Stew,-,giant stew pot (Stew),,HHD Save File,Yes,"8,000","2,000",3x3,-,Always,Always,777,Toy Shop,yellow,gray,rock 'n' roll,the menu,-,800,とくだいなべ,olla gigante,olla gigante,fait-tout géant,fait-tout géant,Riesenschmortopf,pentolone gigante,특대형 냄비,13,10,11,03,15,11,17,1.4,B2,3036,00,00,0000,3036-0000,rmk_big_pan,No,-,giant stew pot,-,Stew,-,シチュー,-,Cocido,-,Ragoût.,-,Ragoût.,-,Eintopf,-,Spezzatino,-,스튜,-
04,giant stew pot,Curry,-,giant stew pot (Curry),,HHD Save File,Yes,"8,000","2,000",3x3,-,Always,Always,777,Toy Shop,brown,gray,rock 'n' roll,the menu,-,800,とくだいなべ,olla gigante,olla gigante,fait-tout géant,fait-tout géant,Riesenschmortopf,pentolone gigante,특대형 냄비,13,10,11,03,15,11,17,1.4,B2,3036,04,00,0400,3036-0400,rmk_big_pan,No,-,giant stew pot,-,Curry,-,カレー,-,Curry,-,Curry.,-,Curry.,-,Curry,-,Zuppa al curry,-,카레,-
04,giant stew pot,Tomato soup,-,giant stew pot (Tomato soup),,HHD Save File,Yes,"8,000","2,000",3x3,-,Always,Always,777,Toy Shop,red,gray,rock 'n' roll,the menu,-,800,とくだいなべ,olla gigante,olla gigante,fait-tout géant,fait-tout géant,Riesenschmortopf,pentolone gigante,특대형 냄비,13,10,11,03,15,11,17,1.4,B2,3036,08,00,0800,3036-0800,rmk_big_pan,No,-,giant stew pot,-,Tomato soup,-,トマトスープ,-,Sopa de tomate,-,Soupe à la tomate.,-,Soupe à la tomate.,-,Tomatensuppe,-,Zuppa di pomodoro,-,토마토 수프,-
