#,Name,Image,Icon,Equip Type,Type,Source,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Prevents Tan,Catalog Keyword,DLC Exclusive,Name (English EU),Name (Japanese),Name (Spanish),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Notes,Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
001,1-Up cap,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,black,black,sporty,Unisex,Manufactured,Yes,,No,-,くろいキャップ,gorra 1UP,casquette 1UP,casquette 1UP,1-Up-Kappe,cappello 1-Up,검정 야구 모자,,1.0,277E,2810,cap_cap_blk,No,,1-Up cap,,,-
002,afro cap,,,Hat,Hood,Able Sisters,Yes,720,-,180,144,9,3,-,-,-,white,brown,flashy,Male,-,No,,No,-,ぼうしつきアフロ,gorra afro,coiffe afro,coiffe afro,Afromütze,parrucca con berr.,모자 쓴 뽀글파마 머리,,1.0,283A,28D6,hlmt_afro_cap,Yes,,-,,,-
003,afro wig,,,Hat,Wig,Able Sisters,Yes,600,-,150,120,7,3,-,-,-,brown,brown,flashy,Male,-,No,,No,-,アフロ,peluca afro,perruque afro,perruque afro,Afroperücke,parrucca afro,뽀글파마 머리,,1.0,27F8,2894,hlmt_wig_afro,No,,afro wig,,,-
004,alpinist hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,alpinist,-,-,green,green,iconic,Unisex,-,Yes,,No,-,チロリアンハット,sombrero tirolés,chapeau tyrolien,chapeau tyrolien,Gebirgshut,cappello tirolese,알프스풍 모자,,1.0,27AA,283C,cap_hat_tyrolean,Yes,,-,,,alpinist hat
005,baby's hat,,,Hat,Hood,Able Sisters,Yes,400,-,100,80,5,3,-,Fairy Tale,-,white,white,cute,Unisex,-,Yes,,No,-,あかちゃんのぼうし,gorro de bebé,chapeau de bébé,chapeau de bébé,Babyhütchen,cuffietta,아기 모자,,1.0,27EF,288B,hlmt_hat_babys,No,,baby's hat,,,-
006,badge hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,white,colorful,cute,Unisex,Manufactured,No,,No,-,カンバッジのニットぼう,gorro con chapas,chapeau badge,chapeau badge,Klecksmütze,berretto bianco,뱃지 달린 모자,,1.0,2787,2819,cap_knit_badge,No,,badge hat,,,-
007,balloon hat,,,Hat,Hat,Balloons,No,-,-,150,120,7,351,-,Toy Shop,-,colorful,colorful,cute,Unisex,-,Yes,,No,-,バルーンハット,sombrero de globos,chapeau ballons,chapeau ballons,Ballonhut,cappello palloncini,풍선 모자,,1.0,27DA,286C,cap_baloon,Yes,,-,,,-
008,banana-split hat,,,Hat,Hat,GracieGrace,No,"3,508",-,877,-,43,251,-,Fairy Tale,-,white,yellow,flashy,Unisex,-,No,,No,-,バナナスプリットのぼうし,sombrero postre,chapeau glacé,chapeau glacé,Bananensplit-Hut,capp. banana split,바나나 스플릿 모자,,1.0,27C5,2857,cap_hat_banana,Yes,,-,,,-
009,bandana,,,Hat,Hat,Able Sisters,Yes,200,-,50,40,2,3,-,-,-,red,red,sporty,Unisex,-,No,,No,-,バンダナ,bandana,bandana,bandana,Kopftuch,bandana,반다나,,1.0,2793,2825,cap_bandanna,No,,bandana,,,bandana
010,batter's helmet,,,Hat,Hood,Able Sisters,Yes,600,-,150,120,7,3,-,-,-,black,black,sporty,Unisex,-,Yes,,No,-,やきゅうのヘルメット,casco de bateador,casque de batteur,casque de batteur,Baseballhelm,elmetto da battitore,야구 헬멧,,1.0,2841,28DD,hlmt_baseball,Yes,,-,,,-
