Name,Image,Outdoor Image,Icon,Source,Droppable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Placeable in House,HHA Base Points,Color 1,Color 2,When HHA Lucky,Fashion,Equip Type,Clothing Type,Consumable,Plant,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
apple,,,,Fruit Tree,Yes,-,-,500,400,25,No,0,red,-,-,-,-,-,Yes,No,,-,リンゴ,manzana,manzana,pomme,pomme,Apfel,mela,사과,1.0,2001,2001,int_fru_apple,No,apple,apple,apple,apple,apple,apple
orange,,,,Fruit Tree,Yes,-,-,500,400,25,No,0,orange,-,-,-,-,-,Yes,No,,-,オレンジ,naranja,naranja,orange,orange,Orange,arancia,오렌지,1.0,2002,2002,int_fru_orange,No,orange,orange,orange,orange,orange,orange
pear,,,,Fruit Tree,Yes,-,-,500,400,25,No,0,green,-,-,-,-,-,Yes,No,,-,ナシ,pera,pera,poire,poire,Birne,pera,배,1.0,2003,2003,int_fru_pear,No,pear,pear,pear,pear,pear,pear
peach,,,,Fruit Tree,Yes,-,-,500,400,25,No,0,pink,-,-,-,-,-,Yes,No,,-,モモ,melocotón,melocotón,pêche,pêche,Pfirsich,pesca,복숭아,1.0,2004,2004,int_fru_peach,No,peach,peach,peach,peach,peach,peach
cherry,,,,Fruit Tree,Yes,-,-,500,400,25,No,0,red,-,-,-,-,-,Yes,No,,-,さくらんぼ,cereza,cereza,cerise,cerise,Kirsche,ciliegia,체리,1.0,2005,2005,int_fru_cherry,No,cherry,cherry,cherry,cherry,cherry,cherry
coconut,,,,Tortimer Island,Yes,-,-,250,200,12,No,0,-,-,-,-,-,-,Yes,No,Can only grow on beach sand,-,ヤシのみ,coco,coco,noix de coco,noix de coco,Kokosnuss,noce di cocco,야자열매,1.0,2006,2006,int_fru_coconut,No,coconut,coconut,coconut,coconut,coconut,coconut
durian,,,,Tortimer Island,Yes,-,-,250,200,12,No,0,green,-,-,-,-,-,Yes,No,,-,ドリアン,durián,durián,durian,durian,Durianfrucht,durian,두리안,1.0,2007,2007,int_fru_durian,,,,,-,,-
lemon,,,,Tortimer Island,Yes,-,-,250,200,12,No,0,yellow,-,-,-,-,-,Yes,No,,-,レモン,limón,limón,citron,citron,Zitrone,limone,레몬,1.0,2008,2008,int_fru_lemon,,,,,-,,lemon
lychee,,,,Tortimer Island,Yes,-,-,250,200,12,No,0,black,-,-,-,-,-,Yes,No,,-,ライチ,lichi,lichi,litchi,litchi,Litschi,litchi,리치,1.0,2009,2009,int_fru_lychee,,,,,-,,lychee
mango,,,,Tortimer Island,Yes,-,-,250,200,12,No,0,orange,-,-,-,-,-,Yes,No,,-,マンゴー,mango,mango,mangue,mangue,Mango,mango,망고,1.0,200A,200A,int_fru_mango,,,,,-,,-
persimmon,,,,Garden Shop,Yes,1000,-,250,200,12,No,0,orange,-,-,-,-,-,Yes,No,,-,かき,caqui,caqui,kaki,kaki,Persimone,cachi,감,1.0,200B,200B,int_fru_persimmon,,,,,-,,-
banana,,,,Tortimer Island,Yes,-,-,250,200,12,No,0,yellow,-,-,-,-,-,Yes,No,Can only grow on beach sand,-,バナナ,plátano,plátano,banane,banane,Banane,banana,바나나,1.0,200C,200C,int_fru_banana,,,,,-,,-
bamboo shoot,,,,Garden Shop,Yes,3000,-,750,600,-,No,0,-,-,-,-,-,-,Yes,No,,-,たけのこ,brote de bambú,brote de bambú,pousse de bambou,pousse de bambou,Bambussprosse,germoglio di bambù,죽순,1.0,200D,200D,int_fru_banbooshoot,,,,,bamboo shoot,,-
perfect apple,,,,Perfect apple tree / Leif Weeding Minigame,Yes,-,-,3000,2400,150,No,0,-,-,-,-,-,-,Yes,No,Player blushes in pleasure after eating,-,おいしいリンゴ,manzana deliciosa,manzana deliciosa,pomme parfaite,pomme parfaite,1a-Apfel,mela perfetta,맛있는 사과,1.0,200E,200E,int_fru_apple_d,,,,,-,,perfect apple
perfect orange,,,,Perfect orange tree / Leif Weeding Minigame,Yes,-,-,3000,2400,150,No,0,-,-,-,-,-,-,Yes,No,Player blushes in pleasure after eating,-,おいしいオレンジ,naranja deliciosa,naranja deliciosa,orange parfaite,orange parfaite,1a-Orange,arancia perfetta,맛있는 오렌지,1.0,200F,200F,int_fru_orange_d,,,,,-,,perfect orange
perfect pear,,,,Perfect pear tree / Leif Weeding Minigame,Yes,-,-,3000,2400,150,No,0,-,-,-,-,-,-,Yes,No,Player blushes in pleasure after eating,-,おいしいナシ,pera deliciosa,pera deliciosa,poire parfaite,poire parfaite,1a-Birne,pera perfetta,맛있는 배,1.0,2010,2010,int_fru_pear_d,,,,,-,,perfect pear
perfect peach,,,,Perfect peach tree / Leif Weeding Minigame,Yes,-,-,3000,2400,150,No,0,-,-,-,-,-,-,Yes,No,Player blushes in pleasure after eating,-,おいしいモモ,melocotón delicioso,melocotón delicioso,pêche parfaite,pêche parfaite,1a-Pfirsich,pesca perfetta,맛있는 복숭아,1.0,2011,2011,int_fru_peach_d,,,,,-,,perfect peach
perfect cherry,,,,Perfect cherry tree / Leif Weeding Minigame,Yes,-,-,3000,2400,150,No,0,-,-,-,-,-,-,Yes,No,Player blushes in pleasure after eating,-,おいしいさくらんぼ,cereza deliciosa,cereza deliciosa,cerise parfaite,cerise parfaite,1a-Kirsche,ciliegia perfetta,맛있는 체리,1.0,2012,2012,int_fru_cherry_d,,,,,-,,perfect cherry
rotten apple,,,,Perfect apple tree (Final harvest),Yes,-,-,-400,-,-,No,0,-,-,-,-,-,-,No,No,Can spawn ants,-,むしくいリンゴ,manzana podrida,manzana pocha,pomme pourrie,pomme pourrie,Wurm-Apfel,mela bacata,벌레 먹은 사과,1.0,2013,2013,-,,,,,-,,-
rotten orange,,,,Perfect orange tree (Final harvest),Yes,-,-,-400,-,-,No,0,-,-,-,-,-,-,No,No,Can spawn ants,-,むしくいオレンジ,naranja podrida,naranja pocha,orange pourrie,orange pourrie,Wurm-Orange,arancia bacata,벌레 먹은 오렌지,1.0,2014,2014,-,,,,,-,,-
rotten pear,,,,Perfect pear tree (Final harvest),Yes,-,-,-400,-,-,No,0,-,-,-,-,-,-,No,No,Can spawn ants,-,むしくいナシ,pera podrida,pera pocha,poire pourrie,poire pourrie,Wurm-Birne,pera bacata,벌레 먹은 배,1.0,2015,2015,-,,,,,-,,-
rotten peach,,,,Perfect peach tree (Final harvest),Yes,-,-,-400,-,-,No,0,-,-,-,-,-,-,No,No,Can spawn ants,-,むしくいモモ,melocotón podrido,melocotón pocho,pêche pourrie,pêche pourrie,Wurm-Pfirsich,pesca bacata,벌레 먹은 복숭아,1.0,2016,2016,-,,,,,-,,-
rotten cherry,,,,Perfect cherry tree (Final harvest),Yes,-,-,-400,-,-,No,0,-,-,-,-,-,-,No,No,Can spawn ants,-,むしくいさくらんぼ,cereza podrida,cereza pocha,cerise pourrie,cerise pourrie,Wurm-Kirsche,ciliegia bacata,벌레 먹은 체리,1.0,2017,2017,-,,,,,-,,-
apples,,,,Fruit,Yes,-,-,500,400,25,Yes,0,-,-,-,-,-,-,No,No,,-,リンゴのやま,cesta de manzanas,cesta de manzanas,lot de pommes,lot de pommes,Apfelkorb,cesto mele,사과 더미,1.0,2018,2018,int_fru_apple,,,,,-,,
oranges,,,,Fruit,Yes,-,-,500,400,25,Yes,0,-,-,-,-,-,-,No,No,,-,オレンジのやま,cesta de naranjas,cesta de naranjas,lot d'oranges,lot d'oranges,Orangenkorb,cesto arance,오렌지 더미,1.0,2019,2019,int_fru_orange,,,,,-,,
pears,,,,Fruit,Yes,-,-,500,400,25,Yes,0,-,-,-,-,-,-,No,No,,-,ナシのやま,cesta de peras,cesta de peras,lot de poires,lot de poires,Birnenkorb,cesto pere,배 더미,1.0,201A,201A,int_fru_pear,,,,,-,,
peaches,,,,Fruit,Yes,-,-,500,400,25,Yes,0,-,-,-,-,-,-,No,No,,-,モモのやま,cesta de melocotones,cesta de melocotones,lot de pêches,lot de pêches,Pfirsichkorb,cesto pesche,복숭아 더미,1.0,201B,201B,int_fru_peach,,,,,-,,
cherries,,,,Fruit,Yes,-,-,500,400,25,Yes,0,-,-,-,-,-,-,No,No,,-,さくらんぼのやま,cesta de cerezas,cesta de cerezas,lot de cerises,lot de cerises,Kirschenkorb,cesto ciliegie,체리 더미,1.0,201C,201C,int_fru_cherry,,,,,-,,
coconuts,,,,Fruit,Yes,-,-,250,200,12,Yes,0,-,-,-,-,-,-,No,No,,-,ヤシのみのやま,cesta de cocos,cesta de cocos,lot de noix de coco,lot de noix de coco,Kokosnusskorb,cesto noci di cocco,야자열매 더미,1.0,201D,201D,int_fru_coconut,,,,,-,,
durians,,,,Fruit,Yes,-,-,250,200,12,Yes,0,-,-,-,-,-,-,No,No,,-,ドリアンのやま,cesta de durianes,cesta de durianes,lot de durians,lot de durians,Durianfruchtkorb,cesto durian,두리안 더미,1.0,201E,201E,int_fru_durian,,,,,-,,
lemons,,,,Fruit,Yes,-,-,250,200,12,Yes,0,-,-,-,-,-,-,No,No,,-,レモンのやま,cesta de limones,cesta de limones,lot de citrons,lot de citrons,Zitronenkorb,cesto limoni,레몬 더미,1.0,201F,201F,int_fru_lemon,,,,,-,,
lychees,,,,Fruit,Yes,-,-,250,200,12,Yes,0,-,-,-,-,-,-,No,No,,-,ライチのやま,cesta de lichis,cesta de lichis,lot de litchis,lot de litchis,Litschikorb,cesto litchi,리치 더미,1.0,2020,2020,int_fru_lychee,,,,,-,,
mangoes,,,,Fruit,Yes,-,-,250,200,12,Yes,0,-,-,-,-,-,-,No,No,,-,マンゴーのやま,cesta de mangos,cesta de mangos,lot de mangues,lot de mangues,Mangokorb,cesto manghi,망고 더미,1.0,2021,2021,int_fru_mango,,,,,-,,
persimmons,,,,Fruit,Yes,-,-,250,200,12,Yes,0,-,-,-,-,-,-,No,No,,-,かきのやま,cesta de caquis,cesta de caquis,lot de kakis,lot de kakis,Persimonenkorb,cesto cachi,감 더미,1.0,2022,2022,int_fru_persimmon,,,,,-,,
bananas,,,,Fruit,Yes,-,-,250,200,12,Yes,0,-,-,-,-,-,-,No,No,,-,バナナのやま,cesta de plátanos,cesta de plátanos,lot de bananes,lot de bananes,Bananenkorb,cesto banane,바나나 더미,1.0,2023,2023,int_fru_banana,,,,,-,,
bamboo shoots,,,,Fruit,Yes,-,-,750,600,-,Yes,0,-,-,-,-,-,-,No,No,,-,たけのこのやま,cesta brotes bambú,cesta brotes bambú,lot pousses bambou,lot pousses bambou,Bambussprossenkorb,cesto bambù,죽순 더미,1.0,2024,2024,int_fru_banbooshoot,,,,,-,,
perfect apples,,,,Fruit,Yes,-,-,3000,2400,150,Yes,0,-,-,-,-,-,-,No,No,,-,おいしいリンゴのやま,cesta manz. delic.,cesta manz. delic.,lot pommes parfaites,lot pommes parfaites,1a-Apfelkorb,cesto mele perfette,맛있는 사과 더미,1.0,2025,2025,int_fru_apple_d,,,,,-,,
perfect oranges,,,,Fruit,Yes,-,-,3000,2400,150,Yes,0,-,-,-,-,-,-,No,No,,-,おいしいオレンジのやま,cesta naranj. delic.,cesta naranj. delic.,lot orang. parfaites,lot orang. parfaites,1a-Orangenkorb,cesto arance perf.,맛있는 오렌지 더미,1.0,2026,2026,int_fru_orange_d,,,,,-,,
perfect pears,,,,Fruit,Yes,-,-,3000,2400,150,Yes,0,-,-,-,-,-,-,No,No,,-,おいしいナシのやま,cesta peras delic.,cesta peras delic.,lot poires parfaites,lot poires parfaites,1a-Birnenkorb,cesto pere perfette,맛있는 배 더미,1.0,2027,2027,int_fru_pear_d,,,,,-,,
perfect peaches,,,,Fruit,Yes,-,-,3000,2400,150,Yes,0,-,-,-,-,-,-,No,No,,-,おいしいモモのやま,cesta meloc. delic.,cesta meloc. delic.,lot pêches parfaites,lot pêches parfaites,1a-Pfirsichkorb,cesto pesche perf.,맛있는 복숭아 더미,1.0,2028,2028,int_fru_peach_d,,,,,-,,
perfect cherries,,,,Fruit,Yes,-,-,3000,2400,150,Yes,0,-,-,-,-,-,-,No,No,,-,おいしいさくらんぼのやま,cesta cerezas delic.,cesta cerezas delic.,lot ceris. parfaites,lot ceris. parfaites,1a-Kirschenkorb,cesto ciliegie perf.,맛있는 체리 더미,1.0,2029,2029,int_fru_cherry_d,,,,,-,,
fossil,,,,Buried,Yes,-,-,100,-,-,No,0,-,-,-,-,-,-,No,No,,-,かせき,fósil,fósil,fossile,fossile,Fossil,fossile,화석,1.0,202A,202A,-,,,,,fossil,,-
fertilizer,,,,Garden Shop,Yes,1600,-,400,320,-,No,0,-,-,-,-,-,-,No,No,,-,ひりょう,fertilizante,fertilizante,engrais,engrais,Dünger,fertilizzante,비료,1.0,202B,202B,-,,,,,fertilizer,,fertilizer
sapling,,,,Garden Shop,Yes,60,-,15,12,-,No,0,-,-,-,-,-,-,No,No,Spawns sapling when planted,-,きのなえ,árbol joven,árbol joven,arbrisseau,arbrisseau,Bäumchen,germoglio,나무 묘목,1.0,202C,202C,-,,,,,sapling,,-
cedar sapling,,,,Garden Shop,Yes,60,-,15,12,-,No,0,-,-,-,-,-,-,No,No,Spawns sapling when planted,-,しんようじゅのなえ,cedro joven,cedro joven,jeune cèdre,jeune cèdre,Zedernbäumchen,germoglio di cedro,침엽수 묘목,1.0,202D,202D,-,,,,,cedar sapling,,-
holly start,,,,Garden Shop,Yes,120,-,30,24,-,No,0,-,-,-,-,-,-,No,No,Spawns bush start when planted,holly shoot,ヒイラギのなえ,acebo joven,acebo joven,pousse de houx,pousse de houx,Stechpalme,giovane agrifoglio,호랑가시나무 묘목,1.0,202E,202E,-,,,,,holly start,,-
pink-azalea start,,,,Garden Shop,Yes,120,-,30,24,-,No,0,-,-,-,-,-,-,No,No,Spawns bush start when planted,pink azalea shoot,ピンクのツツジのなえ,azalea rosa joven,azalea rosa joven,pousse d'azalée rose,pousse d'azalée rose,Heckenazalee,azalea rosa,핑크색 진달래 묘목,1.0,202F,202F,-,,,,,pink-azalea start,,-
white-azalea start,,,,Garden Shop,Yes,120,-,30,24,-,No,0,-,-,-,-,-,-,No,No,Spawns bush start when planted,white azalea shoot,しろいツツジのなえ,azalea blanca joven,azalea blanca joven,pous. azalée blanche,pous. azalée blanche,Gartenazalee,azalea bianca,하얀 진달래 묘목,1.0,2030,2030,-,,,,,white-azalea start,,-
blue-hydrangea start,,,,Garden Shop,Yes,120,-,30,24,-,No,0,-,-,-,-,-,-,No,No,Spawns bush start when planted,blue hydrangea shoot,あおいアジサイのなえ,hortensia azul joven,hortensia azul joven,pous. hortensia bleu,pous. hortensia bleu,Seehortensie,ortensia blu,파란 수국 묘목,1.0,2031,2031,-,,,,,blue-hydrangea start,,-
pink-hydrangea start,,,,Garden Shop,Yes,120,-,30,24,-,No,0,-,-,-,-,-,-,No,No,Spawns bush start when planted,pink hydrangea shoot,ピンクのアジサイのなえ,hortensia rosa joven,hortensia rosa joven,pous. hortensia rose,pous. hortensia rose,Abendhortensie,ortensia rosa,핑크색 수국 묘목,1.0,2032,2032,-,,,,,pink-hydrangea start,,-
red-hibiscus start,,,,Souvenir Shop,Yes,250,5,62,49,3,No,99,-,-,-,-,-,-,No,No,Spawns bush start when planted,red hibiscus shoot,あかいハイビスカスのなえ,hibisco rojo joven,hibisco rojo joven,pous. hibiscus rouge,pous. hibiscus rouge,Bluthibiskus,ibisco rosso,빨간 히비스커스 묘목,1.0,2033,2033,-,,,,,red-hibiscus start,,-
y.-hibiscus start,,,,Souvenir Shop,Yes,250,5,62,49,3,No,99,-,-,-,-,-,-,No,No,Spawns bush start when planted,y. hibiscus shoot,きいろハイビスカスのなえ,hibisco amar. joven,hibisco amar. joven,pous. hibiscus jaune,pous. hibiscus jaune,Sommerhibiskus,ibisco giallo,노란 히비스커스 묘목,1.0,2034,2034,-,,,,,yellow-hibiscus start,,-
sweet-olive start,,,,Garden Shop,Yes,120,-,30,24,-,No,0,-,-,-,-,-,-,No,No,Spawns bush start when planted,sweet olive shoot,キンモクセイのなえ,olivo oloroso joven,olivo oloroso joven,pousse d'osmanthus,pousse d'osmanthus,Duftblütenbusch,osmanto odoroso,금목서 묘목,1.0,2035,2035,-,,,,,-,,-
present,,,,Mail,No,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,プレゼント,regalo,regalo,cadeau,cadeau,Geschenk,regalo,선물,1.0,2036,2036,-,,,,,present,,present
To <Villager>,,,,Villager Favor,No,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,-,-,-,-,-,-,-,-,1.0,2037,2037,-,,,,,-,,-
red-tulip bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,あかいチューリップ,tulipán rojo,tulipán rojo,sac tulipes rouges,sac tulipes rouges,Papageitulpe,tulipano rosso,빨간 튤립,1.0,2038,2038,-,,,,,red-tulip bag,,-
white-tulip bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,しろいチューリップ,tulipán blanco,tulipán blanco,sac tulipes blanches,sac tulipes blanches,Triumphtulpe,tulipano bianco,하얀 튤립,1.0,2039,2039,-,,,,,white-tulip bag,,-
yellow-tulip bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,きいろいチューリップ,tulipán amarillo,tulipán amarillo,sac tulipes jaunes,sac tulipes jaunes,Viridifloratulpe,tulipano giallo,노란 튤립,1.0,203A,203A,-,,,,,yellow-tulip bag,,-
pink-tulip bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,ピンクのチューリップ,tulipán rosa,tulipán rosa,sac de tulipes roses,sac de tulipes roses,Grengjer-Tulpe,tulipano rosa,핑크색 튤립,1.0,203B,203B,-,,,,,-,,-
purple-tulip bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,むらさきチューリップ,tulipán violeta,tulipán violeta,sac tulipes mauves,sac tulipes mauves,Wildtulpe,tulipano viola,보라색 튤립,1.0,203C,203C,-,,,,,-,,-
