Name,Image,Texture,Source,Sell Price (Re-Tail),HHA Base Points,When HHA Lucky,Favorite Saying,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (WW),Name (NH),Name (HHD),Name (PC)
Admiral's pic,,,Villagers,10,451,While Admiral Living in Town,,pic of Admiral,イッテツのしゃしん,foto de Avutardo,foto de Avutardo,photo de Maréchal,photo de Maréchal,Foto von Ansgar,foto di Adolfo,일섭 사진,1.4,-,31A2,brm_brd06,,,Admiral's photo,,Admiral's pic
Agent S's pic,,,Villagers,10,451,While Agent S Living in Town,,pic of Agent S,2ごうのしゃしん,foto de Fardilia,foto de Fardilia,photo de Ninjette,photo de Ninjette,Foto von Karin,foto di Agente S,2호 사진,1.0,301B,32F5,brm_squ05,,,Agent S's photo,,Agent S's pic
Agnes's pic,,,Villagers,10,451,While Agnes Living in Town,,pic of Agnes,アグネスのしゃしん,foto de Nerea,foto de Negrea,photo de Pansy,photo de Pansy,Foto von Nora,foto di Maia,아그네스 사진,1.0,2FF5,32C6,brm_pig17,,,Agnes's photo,,Agnes's pic
Al's pic,,,Villagers,10,451,While Al Living in Town,,pic of Al,たもつのしゃしん,foto de Álex,foto de Álex,photo de Gustave,photo de Gustave,Foto von Kokong,foto di Gregorio,우락 사진,1.0,2F83,3241,brm_gor08,,,Al's photo,,Al's pic
Alfonso's pic,,,Villagers,10,451,While Alfonso Living in Town,,pic of Alfonso,アルベルトのしゃしん,foto de Kaimán,foto de Kaimán,photo d'Alphonse,photo d'Alphonse,Foto von Markus,foto di Alfonso,알베르트 사진,1.0,2F35,31E4,brm_crd00,,,Alfonso's photo,,Alfonso's pic
Alice's pic,,,Villagers,10,451,While Alice Living in Town,,pic of Alice,メルボルンのしゃしん,foto de Zelanda,foto de Zelanda,photo d'Alice,photo d'Alice,Foto von Konny,foto di Alice,멜버른 사진,1.0,2FA2,3266,brm_kal01,,,Alice's photo,,Alice's pic
Alli's pic,,,Villagers,10,451,While Alli Living in Town,,pic of Alli,クロコのしゃしん,foto de Codrila,foto de Codrila,photo d'Allie,photo d'Allie,Foto von Ali,foto di Alli,크로크 사진,1.0,2F36,31E5,brm_crd01,,,Alli's photo,,Alli's pic
Amelia's pic,,,Villagers,10,451,While Amelia Living in Town,,pic of Amelia,アンデスのしゃしん,foto de Amelia,foto de Amelia,photo d'Aurélie,photo d'Aurélie,Foto von Adelheid,foto di Amelia,안데스 사진,1.0,2FD6,32A3,brm_pbr01,,,Amelia's photo,,Amelia's pic
Anabelle's pic,,,Villagers,10,451,While Anabelle Living in Town,,pic of Anabelle,あるみのしゃしん,foto de Anabel,foto de Anabel,photo d'Anabelle,photo d'Anabelle,Foto von Annabell,foto di Annalisa,아롱이 사진,1.0,2EEA,318A,brm_ant03,,,Anabelle's photo,,Anabelle's pic
Anchovy's pic,,,Villagers,10,451,While Anchovy Living in Town,,pic of Anchovy,アンチョビのしゃしん,foto de Boquerón,foto de Boquerón,photo de Miguel,photo de Miguel,Foto von Armin,foto di Acciuga,안쵸비 사진,1.0,2EFB,319E,brm_brd02,,,Anchovy's photo,,Anchovy's pic
Angus's pic,,,Villagers,10,451,While Angus Living in Town,,pic of Angus,セルバンテスのしゃしん,foto de Aliste,foto de Aliste,photo d'Angus,photo d'Angus,Foto von Angus,foto di Angus,반데스 사진,1.0,2F03,31AA,brm_bul00,,,Angus's photo,,Angus's pic
Anicotti's pic,,,Villagers,10,451,While Anicotti Living in Town,,pic of Anicotti,ラザニアのしゃしん,foto de Clorinda,foto de Clorinda,photo d'Annie,photo d'Annie,Foto von Eva,foto di Squitta,라자냐 사진,1.0,2FC4,328D,brm_mus10,,,Anicotti's photo,,Anicotti's pic
Ankha's pic,,,Villagers,10,451,While Ankha Living in Town,,pic of Ankha,ナイルのしゃしん,foto de Patri,foto de Patri,photo de Neferti,photo de Neferti,Foto von Kleo,foto di Cleo,클레오 사진,1.0,2F1B,31C3,brm_cat19,,,Ankha's photo,,Ankha's pic
Annalisa's pic,,,Villagers,10,451,While Annalisa Living in Town,,pic of Annalisa,みやびのしゃしん,foto de Alba,foto de Alba,photo de Roberta,photo de Roberta,Foto von Annalena,foto di Anita,설백 사진,1.0,2EEB,318C,brm_ant08,,,Annalisa's photo,,Annalisa's pic
Annalise's pic,,,Villagers,10,451,While Annalise Living in Town,,pic of Annalise,シルブプレのしゃしん,foto de Isadora,foto de Isadora,photo d'Âne-lise,photo d'Âne-lise,Foto von Annerose,foto di Lisa,실부플레 사진,1.0,2F9C,325E,brm_hrs09,,,Annalise's photo,,Annalise's pic
Antonio's pic,,,Villagers,10,451,While Antonio Living in Town,,pic of Antonio,マコトのしゃしん,foto de Antonio,foto de Antonio,photo d'Antonio,photo d'Antonio,Foto von Siggi,foto di Antonio,퍼머거 사진,1.0,2EE8,3188,brm_ant01,,,Antonio's photo,,Antonio's pic
Apollo's pic,,,Villagers,10,451,While Apollo Living in Town,,pic of Apollo,アポロのしゃしん,foto de Apolo,foto de Apolo,photo d'Apollon,photo d'Apollon,Foto von Apollo,foto di Apollo,아폴로 사진,1.0,2FD5,32A2,brm_pbr00,,,Apollo's photo,,Apollo's pic
Apple's pic,,,Villagers,10,451,While Apple Living in Town,,pic of Apple,アップルのしゃしん,foto de Rosi,foto de Rosi,photo d'Esther,photo d'Esther,Foto von Jessi,foto di Cicci,애플 사진,1.0,2F87,3246,brm_ham01,,,Apple's photo,,Apple's pic
Astrid's pic,,,Villagers,10,451,While Astrid Living in Town,,pic of Astrid,キッズのしゃしん,foto de Astrid,foto de Astrid,photo de Rhona,photo de Rhona,Foto von Astrid,foto di Stella,펑키맘 사진,1.0,2FAB,3271,brm_kgr05,,,Astrid's photo,,Astrid's pic
Aurora's pic,,,Villagers,10,451,While Aurora Living in Town,,pic of Aurora,オーロラのしゃしん,foto de Aurora,foto de Aurora,photo d'Aurore,photo d'Aurore,Foto von Sonja,foto di Aurora,오로라 사진,1.0,2FDD,32AB,brm_pgn00,,,Aurora's photo,,Aurora's pic
Ava's pic,,,Villagers,10,451,While Ava Living in Town,,pic of Ava,ドミグラのしゃしん,foto de Ava,foto de Ava,photo d'Eva,photo d'Eva,Foto von Gisela,foto di Ava,에바 사진,1.0,2F2D,31DA,brm_chn05,,,Ava's photo,,Ava's pic
Avery's pic,,,Villagers,10,451,While Avery Living in Town,,pic of Avery,クスケチャのしゃしん,foto de Cuzco,foto de Cuzco,photo de Faust,photo de Faust,Foto von Quetzal,foto di Falco,쿠스케처 사진,1.0,2FD8,32A6,brm_pbr05,,,Avery's photo,,Avery's pic
Axel's pic,,,Villagers,10,451,While Axel Living in Town,,pic of Axel,エックスエルのしゃしん,foto de Eustakio,foto de Eustakio,photo d'Axel,photo d'Axel,Foto von Axel,foto di Sandro,엑스엘리 사진,1.0,2F67,321D,brm_elp06,,,Axel's photo,,Axel's pic
Baabara's pic,,,Villagers,10,451,While Baabara Living in Town,,pic of Baabara,トロワのしゃしん,foto de Beelén,foto de Beelén,photo de Bêêtty,photo de Bêêtty,Foto von Babsi,foto di Bea,트로와 사진,1.0,300D,32E4,brm_shp01,,,Baabara's photo,,Baabara's pic
Bam's pic,,,Villagers,10,451,While Bam Living in Town,,pic of Bam,タケルのしゃしん,foto de Cornelio,foto de Cornelio,photo de Nacer,photo de Nacer,Foto von Benjamin,foto di Cornelio,록키 사진,1.0,2F3C,31EC,brm_der01,,,Bam's photo,,Bam's pic
Bangle's pic,,,Villagers,10,451,While Bangle Living in Town,,pic of Bangle,ルーズのしゃしん,foto de Felina,foto de Felina,photo de Bengale,photo de Bengale,Foto von Tamara,foto di Tigrizia,루주 사진,1.0,3028,3307,brm_tig03,,,Bangle's photo,,Bangle's pic
Barold's pic,,,Villagers,10,451,While Barold Living in Town,,pic of Barold,ニッシーのしゃしん,foto de Plácido,foto de Plácido,photo de Manu,photo de Manu,Foto von Hubert,foto di Placido,곰시 사진,1.0,2F28,31D4,brm_cbr16,,,Barold's photo,,Barold's pic
Bea's pic,,,Villagers,10,451,While Bea Living in Town,,pic of Bea,ベーグルのしゃしん,foto de Bea,foto de Bea,photo de Béa,photo de Béa,Foto von Bea,foto di Cucciola,베이글 사진,1.4,-,3200,brm_dog10,,,Bea's photo,,Bea's pic
