#,Name,Image,Icon,Availability,Time,Shadow Size,Shadow Movement Type,Spawns on Tortimer Island,Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Season (Encyclopedia),Time (Encyclopedia),Size Range (Encyclopedia),Furniture Size,HHA Base Points,Furniture Image,Museum Description,Catch Quote,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH)
1,seaweed,,,Nov - Jul,All day,Large,Stationary,Yes,200,160,10,Spring-Winter,Always,,1x1,3,,"Seaweed can be over three feet long. When its spores attach to rocks, they take root and grow. Seaweed is naturally brown but turns to the dark-green color we associate it with when cooked. It tends to spoil easily when picked, so various preservation methods have been developed as a necessity. Such methods of preservation are sprinkling ash and drying it out, or boiling it and adding salt.",I got some seaweed! I just couldn't kelp myself!,ワカメ,alga wakame,alga wakame,wakame,wakame,Wakame-Alge,alga wakame,미역,2323,232D,int_sea_wakame,Yes,-,-,-,Seaweed
2,sea grapes,,,Jun - Sep 15,All day,Small,Stationary,Yes,600,480,30,Summer,Always,,1x1,3,,"Sea grapes are small spheres attached to slender stems on branches, similar to normal grapes. However, despite looking like and being called ""grapes,"" they aren't much like the land-based variety. They grow in warm oceans and are very susceptible to cold conditions, meaning refrigeration is difficult.",I got some sea grapes! See? Grapes!,ウミブドウ,uva de mar,uva de mar,algue raisin de mer,algue raisin de mer,Kriechspross-Alge,vite di mare,바다포도,2324,232E,int_sea_umibudou,Yes,-,-,-,Sea Grapes
3,sea urchin,,,May - Sep 15,All day,Small,Stationary,Yes,800,640,40,Summer,Always,,1x1,3,,"Sea urchins are a close relative of both starfish and sea cucumbers and are assumed to be stationary. In actuality, they are capable of walking thanks to the many skinny legs they have between their spikes. They feed on seaweed on the ocean floor using their strong mouths located on their undersides. They are rich in nutrients but also have a lot of cholesterol, so take care not to eat too much.","I got a sea urchin! And I didn't poke myself, either!",ウニ,erizo de mar,erizo de mar,oursin,oursin,Seeigel,riccio di mare,성게,2325,232F,int_sea_uni,Yes,-,-,-,Sea Urchin
4,acorn barnacle,,,All year,All day,Tiny,Stationary,Yes,200,160,10,Year-round,Always,,1x1,3,,"They attach to hard places, and though they look like bivalves, they are related to shrimp and crab. Some species are even edible and have a very crab-like taste to them, making them a fine delicacy. Young acorn barnacles come from eggs, do not have shells, and float around the ocean like shrimp. They gradually develop their shells as they grow into the image we usually see.",I got an acorn barnacle! Maybe I can grow a barnacle tree?,フジツボ,bellota de mar,bellota de mar,balane,balane,Seepocke,dente di cane,따개비,2326,2330,int_sea_fuji,Yes,-,-,-,Acorn Barnacle
5,oyster,,,Sep - Feb,All day,Small,Stationary,No,400,320,-,Fall-Winter,Always,,1x1,3,,"Oysters are sometimes referred to as ""the milk of the sea"" because of their high nutritional value. Young oysters come from eggs, attach themselves to hard places in the ocean, and then grow. They can change gender, allowing them to reproduce regardless of their neighbors' genders.",I got an oyster! He was being a bit too shellfish.,オイスター,ostra,ostra,huître,huître,Auster,ostrica,굴,2327,2331,int_sea_kaki,Yes,-,-,-,Oyster
6,turban shell,,,Aug - May,4 PM - 9 AM,Small,Uniform,No,300,240,-,Fall-Spring,Night-Morning,,1x1,3,,"They are related to spiral shells. Also, they have lids that cover the openings of their shells. When they walk, they remove the lid and move in the shell by shuffling their feet, much like snails. They become active at night and eat seaweed. They are delicious when cooked in the shell.",I got a turban shell! It's like a little fancy hat!,サザエ,caracola espinosa,caracola espinosa,turbo,turbo,Turbanschnecke,lumaca di mare,소라,2328,2332,int_sea_sazae,Yes,-,-,-,Turban Shell
7,abalone,,,All year,4 PM - 9 AM,Medium,Uniform,Yes,400,320,20,Year-round,Night-Morning,,1x1,3,,"Abalones grow less than an inch a year, so it takes several years for them to grow to full size. They are related to ear shells and have been used in celebrations and offerings since ancient times.",I got an abalone! And that's no bologna!,アワビ,abulón,abulón,ormeau,ormeau,Seeohr,abalone,전복,2329,2333,int_sea_awabi,Yes,-,-,-,Abalone
8,ear shell,,,All year,4 PM - 9 AM,Small,Uniform,Yes,300,240,15,Year-round,Night-Morning,,1x1,3,,"They resemble young abalone, as they are directly related to them, though they act more like snails. They live in various habitats, but being snaillike, they actually have feelers to get around the ocean.",I got an ear shell! And yet it couldn't hear me coming!,トコブシ,oreja de mar,oreja de mar,oreille de mer,oreille de mer,Ohrschnecke,orecchia di mare,오분자기,232A,2334,int_sea_tokobushi,Yes,-,-,-,-
9,clam,,,Sep - Apr,All day,Small,Erratic,No,300,240,-,Fall-Spring,Always,,1x1,3,,"Bivalves shaped like chestnuts, they live in shallow waters and hide in sand when predators approach. They secrete a viscous liquid that gets pulled along by the current and enables long-distance travel. They are popular both roasted in the shell and cooked in a variety of soups and chowders.",I got a clam! Anyone for chowder?,ハマグリ,almeja oriental,almeja oriental,palourde,palourde,Venusmuschel,vongola,백합,232B,2335,int_sea_hamaguri,Yes,-,-,-,-
10,pearl oyster,,,All year,All day,Small,Stationary,No,"1,600","1,280",-,Year-round,Always,,1x1,3,,Pearls are formed when mostly calcium carbonate and protein envelop foreign substances. Pearl oysters have numerous threadlike feet sticking out from their shell opening. These allow them to latch on to surrounding rocks and are actually surprisingly strong. Their adductor muscles are edible and are considered a delicious ingredient in some foods.,I got a pearl oyster! Mostly I just wanted the pearl!,アコヤガイ,ostra perlera,ostra perlera,huître perlière,huître perlière,Perlmuschel,ostrica pinctada,진주조개,232C,2336,int_sea_akoya,Yes,-,-,-,Pearl Oyster
11,scallop,,,All year,All day,Medium,Erratic,Yes,"1,000",800,50,Year-round,Always,,1x1,3,,"Scallops inhabit the cool ocean bed. They swim by rapidly clapping together their shell valves. The black dots on scallops, known as wavy ""strings,"" are actually their eyes. These eyes number over 80 but only really function as a means to sense light rather than motion. Often grilled and buttered, scallops have become a tasty seafood enjoyed all over the world.","I got a scallop! Hey, this isn't a potato at all!",ホタテ,vieira,vieira,pétoncle,pétoncle,Kammmuschel,capasanta,가리비,232D,2337,int_sea_hotate,Yes,-,-,-,Scallop
12,sea anemone,,,All year,All day,Medium,Stationary,Yes,100,80,5,Year-round,Always,,1x1,3,,Sea anemones make their homes by attaching to rocks and coral on the bottom of the sea. They use their venomous tentacles to stun fish and shrimp to the point of paralysis and then devour them. The only species of fish with a natural resistance to the venom is the clown fish. Sea anemones and the clown fish nesting in their tentacles make for a rather striking ocean-floor sight.,I got a sea anemone! More like a sea ENEMY! Look out!,イソギンチャク,anémona,anémona,anémone de mer,anémone de mer,Seeanemone,anemone di mare,말미잘,232E,2338,int_sea_isogin,Yes,-,-,-,Sea Anemone
13,sea star,,,All year,All day,Small,Uniform,Yes,100,80,5,Year-round,Always,,1x1,3,,"These star-shaped creatures have hundreds of tiny feet attached to their mobile arms. This allows them to slowly walk and open shellfish for food, making them effective predators. If an arm gets caught and ripped off by another predator, the sea star's arm will just grow back. Some sea stars eat by extending their stomachs out of their mouths to trap and then digest prey.",I got a sea star! Is a group called a constellation?,ヒトデ,estrella de mar,estrella de mar,étoile de mer,étoile de mer,Seestern,stella marina,불가사리,232F,2339,int_sea_hitode,Yes,-,-,-,Sea Star
14,sea cucumber,,,Nov - Apr,All day,Medium,Uniform,No,150,120,-,Winter-Spring,Always,,1x1,3,,"Sea cucumbers are similar to sea urchins and sea stars but are far more slender and softer. When threatened by a predator, they expel part of their internal organs as a natural defense. This is to blind and entangle the enemy so the sea cucumber has a window of escape. Some types of sea cucumbers allow predators to feed on their internal organs while they escape. Don't shed a tear for them, though, as the internal organs grow back after a while.",I got a sea cucumber! Now to find a sea pickle!,ナマコ,pepino de mar,pepino de mar,concombre de mer,concombre de mer,Seegurke,cetriolo di mare,해삼,2330,233A,int_sea_namako,Yes,-,-,-,Sea Cucumber
15,sea slug,,,All year,All day,Small,Uniform,Yes,200,160,10,Year-round,Always,,1x1,3,,"Although they have no shells, sea slugs are more closely related to spiral shells than anything else. Their vivid colors and patterns and variety of shapes and sizes make them popular with divers. Sea slugs are hermaphrodites, so they are all capable of mating with one another, regardless of gender.","I got a sea slug! What, it thought it could outrun me?",ウミウシ,babosa de mar,babosa de mar,limace de mer,limace de mer,Nacktkiemer,nudibranchi,갯민숭달팽이,2331,233B,int_sea_umiushi,Yes,-,-,-,Sea Slug
16,flatworm,,,Aug - Sep 15,4 PM - 9 AM,Small,Uniform,Yes,200,160,10,Summer,Night-Morning,,1x1,3,,"Flatworms are flat creatures, and while some types look like sea slugs, they have little else in common. Some types are venomous and produce a poison similar to the kind blowfish are famous for. Flatworms are hermaphrodites and mate by fighting to determine the loser, who then bears the eggs.",I got a flatworm! Why's it so flat? Steamroller?,ヒラムシ,gusano políclado,gusano políclado,ver plat,ver plat,Meerstrudelwurm,verme piatto,납작벌레,2332,233C,int_sea_hiramushi,Yes,-,-,-,Flatworm
17,mantis shrimp,,,All year,4 PM - 9 AM,Small,Erratic,Yes,"1,250","1,000",62,Year-round,Night-Morning,,1x1,3,,"Mantis shrimp have long, sickle- shaped legs and thick carapaces covering both their bodies and tails. They strike captured prey with claws powerful enough to crack the shells of even the toughest crabs. They are a popular dish with fans of seafood, though females with eggs are worth more than males.","I got a mantis shrimp! Pray on someone else, ya shrimp!",シャコ,langosta mantis,langosta mantis,crevette-mante,crevette-mante,Fangschreckenkrebs,cicala di mare,갯가재,2333,233D,int_sea_syako,Yes,-,-,-,Mantis Shrimp
18,sweet shrimp,,,Sep 16 - Feb,4 PM - 9 AM,Small,Erratic,No,650,520,-,Fall-Spring,Night-Morning,,1x1,3,,"Also called ""northern shrimp,"" they have a life span of about 5 years, in which they are male for half. After that time, the shrimps change genders and become females, a rather unique feature of the species. The females are a popular sashimi dish, but they don't instantly have their characteristic sweetness. That sweetness actually comes out after they're left to sit for a day, making them a dish of patience.",I got a sweet shrimp! Blech. Not sweet until cooked.,アマエビ,camarón boreal,camarón boreal,crevette nordique,crevette nordique,Eismeergarnele,gamberetto boreale,북쪽분홍새우,2334,233E,int_sea_ama,Yes,-,-,-,Sweet Shrimp
19,tiger prawn,,,Jun - Sep,4 PM - 9 AM,Small,Uniform,Yes,"1,600","1,280",80,Summer-Fall,Night-Morning,,1x1,3,,"These shrimp inhabit shallow areas of the sea and are nocturnal, hiding under sand during the day. By night, they go out and hunt shellfish before returning to the safety of their sand. Unlike other shrimp, they don't carry their eggs around with them in their abdomen. They are famous for being a tasty variety of shrimp and are perfect for tempura and sushi.",I got a tiger prawn! I can sell it at a prawn shop!,クルマエビ,langostino tigre,langostino tigre,crevette tigrée,crevette tigrée,Kuruma-Garnele,gambero black tiger,보리새우,2335,233F,int_sea_kuruma,Yes,-,-,-,Tiger Prawn
20,spiny lobster,,,Sep 16 - Dec,9 PM - 4 AM,Large,Erratic,No,"3,000","2,400",-,Fall-Winter,Night,,1x1,3,,"The representative species for all large lobsters, they've become a lasting symbol of longevity. They live between rocks in shallow waters with octopuses as their natural enemies. Only octopuses are capable of reaching in between the rocks with their long arms to catch them.",I got a spiny lobster! Who would give lobsters SPINES?,イセエビ,langosta espinosa,langosta espinosa,langouste,langouste,Languste,aragosta mediterr.,닭새우,2336,2340,int_sea_ise,Yes,-,-,-,Spiny Lobster
21,lobster,,,All year,All day,Large,Uniform,Yes,"2,500","2,000",125,Year-round,Always,,1x1,3,,"Lobsters live in the ocean, have large, powerful claws, and are closely related to crawfish. They are a delicacy, also known by the names ""crawfish of the sea"" or ""homard,"" their French name. However, unlike crawfish, they are much bigger and can live for more than a hundred years. Lobsters are aggressive and will pinch with their claws if you don't properly bind them while handling.",I got a lobster! More like a sobster now!,ロブスター,bogavante,bogavante,homard,homard,Hummer,astice,바닷가재,2337,2341,int_sea_lobster,No,-,-,lobster,Lobster
22,snow crab,,,Nov - Apr,All day,Large,Uniform,No,"4,000","3,200",-,Winter-Spring,Always,,1x1,3,,"Snow crabs live in the deep sea and are known mostly as a highly prized winter delicacy. When cooked, the typically dark-red shell turns to the beautiful bright- red color most commonly seen. They have a life span of 20 years and gradually grow bigger while periodically molting. If a leg is lost, it will grow back when molting occurs. The female is about half the size of the male.","I got a snow crab! 'Sno problem, really!",ズワイガニ,cangrejo de nieve,cangrejo de nieve,crabe des neiges,crabe des neiges,Schneekrabbe,granchio della neve,대게,2338,2342,int_sea_zuwai,Yes,-,-,-,Snow Crab
23,horsehair crab,,,Nov - Apr,All day,Medium,Uniform,No,"4,000","3,200",-,Winter-Spring,Always,,1x1,3,,"Horsehair crabs get their name from their spiky hairs, which can hurt, though they have soft shells. They inhabit the bottom of fairly shallow waters, with their biggest predator being the octopus. They camouflage themselves by putting dirt on their hair so they don't stand out in the sand. Their shells house a tasty portion of innards, so this species is a favorite of those who enjoy crab.",I got a horsehair crab! Because I combed the ocean floor!,ケガニ,cangrejo peludo,cangrejo peludo,crabe velu,crabe velu,Kegani-Krabbe,granchio horsehair,털게,2339,2343,int_sea_kegani,Yes,-,-,-,-
