#,Name,Image,Icon,Equip Type,Type,Source,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,Name (NH),Name (HHD),Name (PC)
001,argyle socks,,,Socks,Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,black,red,iconic,Unisex,Argyle,,,-,アーガイルハイソックス,calcetín rombos alto,calcetín pijo alto,paire chauss. écos,paire chauss. écos,Argyle-Socke,paio calzini a rombi,아가일 니삭스,1.0,2701,2785,sock_high_argyle,,,-
002,argyle tights,,,Socks,Tights,Kicks,Yes,200,-,50,40,2,3,-,-,-,orange,brown,iconic,Female,Argyle,,,-,アーガイルタイツ,media rombos,media pija,collant écossais,collant écossais,Argyle-Strumpfhose,paio calze a rombi,아가일 타이츠,1.0,270C,2790,sock_tights_argyle,,,argyle tights
003,armor shoes,,,Shoes,Shoes,Kicks,Yes,960,-,240,192,12,3,knight,Antique / Quirky,-,gray,gray,historical,Male,V-Striped,,,-,てつのかっちゅうぐつ,escarpe,escarpe,paire de solerets,paire de solerets,Silberrüstungsschuh,paio scarpe armatura,철갑 신발,1.0,273F,27C7,nml_armor,,,armor shoes
004,ballet slippers,,,Shoes,Boots,Kicks,Yes,400,-,100,80,5,3,-,Fairy Tale,-,pink,pink,sporty,Female,-,,,-,バレエシューズ,zapatilla de ballet,zapatilla de ballet,p. chaussons danse,p. chaussons danse,Ballettschuh,p. scarpe da punta,발레 슈즈,1.0,273B,27C3,botL_ballet,,,-
005,basketball shoes,,,Shoes,Boots,Kicks,Yes,640,-,160,128,8,3,-,-,-,white,yellow,sporty,Male,-,,,-,バスケットシューズ,zapatilla básquet,zapatilla básquet,paire de baskets,paire de baskets,Basketballschuh,paio scarpe basket,농구화,1.0,271B,27A3,botL_basket_ylw,,,-
006,beige tights,,,Socks,Tights,Kicks,Yes,200,-,50,40,2,3,-,-,-,beige,beige,basic,Female,-,,,-,ベージュのタイツ,media rayas marrón,media rayas marrón,collant brun,collant brun,Braunstrumpfhose,paio calze ocra,베이지색 타이츠,1.0,2708,278C,sock_tights_crm,,,beige tights
007,black ankle socks,,,Socks,Ankle Socks,Kicks,Yes,120,-,30,24,1,3,-,-,-,black,black,basic,Unisex,-,,,-,くろのくるぶしソックス,calcetín tobillero,calcetín tobillero,paire socq. noires,paire socq. noires,Schwarzsöckchen,paio calzini neri,검정 발목 양말,1.0,26F8,277C,sock_anklet_blk,,,black ankle socks
008,black leggings,,,Socks,Tights,Kicks,Yes,240,-,60,48,3,3,-,-,-,black,black,cute,Female,-,,,-,くろのレギンス,legging negro,legging negro,legging noir,legging noir,Nylongamasche,paio leggings neri,검정 레깅스,1.0,2711,2795,sock_leggins_blk,,,black leggings
009,black loafers,,,Shoes,Shoes,Kicks,Yes,420,-,105,84,5,3,-,-,-,black,black,basic,Female,-,,,-,くろいローファー,mocasín negro,mocasín negro,p. mocassins noirs,p. mocassins noirs,Lederslipper,paio mocassini neri,검정 로퍼,1.0,2745,27CD,nml_loafer_blk,,,black loafers
010,black pumps,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,-,-,-,black,black,official,Female,-,,,-,くろいパンプス,manoletina negra,manoletina negra,p. ballerines noires,p. ballerines noires,Kostüm-Damenschuh,paio ballerine nere,검정 펌프스,1.0,274F,27D7,nml_pumps_blk,,,-
011,black rain boots,,,Shoes,Tall Boots,Kicks,Yes,600,-,150,120,7,3,-,-,-,black,black,official,Male,-,,,-,くろいながぐつ,katiuska negra,katiuska negra,p. bottes pluie N,p. bottes pluie N,Regenstiefel,paio stivali neri,검정 장화,1.0,2739,27C1,botH_rain_blk,,,black rain boots
012,black stockings,,,Socks,Tights,Kicks,Yes,240,-,60,48,3,3,-,-,-,black,black,official,Female,-,,,-,くろストッキング,media negra,media negra,paire de bas noirs,paire de bas noirs,Schwarzstrumpf,paio collant neri,검정 스타킹,1.0,26F5,2779,sock_stocking_blk,,,black stockings
013,black tights,,,Socks,Tights,Kicks,Yes,160,-,40,32,2,3,-,-,-,black,black,official,Female,-,,,-,くろいタイツ,media rayas negra,media rayas negra,collant noir,collant noir,Schwarzstrumpfhose,paio calze nere,검정 타이츠,1.0,2707,278B,sock_tights_blk,,,black tights
014,blue pumps,,,Shoes,Shoes,Kicks,Yes,460,-,115,92,5,3,-,-,-,blue,blue,official,Female,-,,,-,あおいパンプス,manoletina azul,manoletina azul,p. ballerines bleues,p. ballerines bleues,Azur-Damenschuh,paio ballerine blu,파란 펌프스,1.0,2747,27CF,nml_pumps_blu,,,blue pumps
015,blue sneakers,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,-,-,-,blue,white,basic,Male,Manufactured,,,-,あおいスニーカー,zapatilla azul,zapatilla azul,paire tennis bleues,paire tennis bleues,Leinenturnschuh,p. scarpe tennis blu,파란 스니커,1.0,2717,279F,nml_doek_blu,,,blue sneakers
016,blue wrestling shoes,,,Shoes,Tall Boots,Kicks,Yes,900,-,225,180,11,3,pro wrestler,-,-,blue,white,sporty,Unisex,-,,,-,あおいリングシューズ,bota lucha azul,bota lucha azul,paire bottes catch B,paire bottes catch B,Blau-Wrestlingschuh,p. scarpe wrest. blu,파란 복싱화,1.0,2741,27C9,botH_ring_blu,,,blue wrestling shoes
017,blue-stripe tights,,,Socks,Tights,Kicks,Yes,240,-,60,48,3,3,-,-,-,black,black,sporty,Female,H-Striped,,,-,マリンボーダーのタイツ,media rayas bicolor,media rayas bicolor,collant ray. bleues,collant ray. bleues,Blauringelstrumpf,p. calze strisce blu,마린 줄무늬 타이츠,1.0,2715,2799,sock_tights_marine,,,-
018,bobby socks,,,Socks,Ankle Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,white,white,basic,Female,-,,,-,3つおりソックス,calcetín sencillo,calcetín sencillo,paire socq. simples,paire socq. simples,Bündchensocke,p. calzini con trina,접는 양말,1.0,2702,2786,sock_three_fold,,,bobby socks
019,brown loafers,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,-,-,-,brown,brown,official,Unisex,-,,,-,ちゃいろのローファー,mocasín marrón,mocasín marrón,p. mocassins bruns,p. mocassins bruns,Wildlederslipper,p. mocassini marroni,갈색 로퍼,1.0,272B,27B3,nml_loafer_bwn,,,brown loafers
020,brown pumps,,,Shoes,Shoes,Kicks,Yes,460,-,115,92,5,3,-,-,-,brown,brown,basic,Female,-,,,-,ちゃいろいパンプス,manoletina marrón,manoletina marrón,p. ballerines brunes,p. ballerines brunes,Wildleder-Damenschuh,p. ballerine marroni,갈색 펌프스,1.0,2752,27DA,nml_pumps_brw,,,brown pumps
021,brown slip-ons,,,Shoes,Shoes,Kicks,Yes,420,-,105,84,5,3,-,-,-,brown,brown,basic,Unisex,-,,,-,ちゃいろいスニーカー,pantufla marrón,pantufla marrón,p. pantoufles brunes,p. pantoufles brunes,Hauspantoffel,p. pantofole marroni,갈색 스니커,1.0,274C,27D4,nml_doek_brw,,,brown slip-ons
022,brown socks,,,Socks,Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,beige,beige,basic,Unisex,-,,,-,メランジソックス,calcetín marrón,calcetín marrón,paire chauss. brunes,paire chauss. brunes,Braunsocke,paio calzini beige,멜란지 양말,1.0,270B,278F,sock_melange_crm,,,-
023,brown-stripe socks,,,Socks,Socks,Kicks,Yes,200,-,50,40,2,3,-,-,-,black,white,basic,Unisex,H-Striped,,,-,ボーダーソックス,calcetín a rayas,calcetín a rayas,paire chaus. rayées,paire chaus. rayées,Braunringelsocke,p. calzini a strisce,줄무늬 양말,1.0,26F4,2778,sock_border_brw,,,brown-stripe socks
024,Callie shoes,,,Shoes,Boots,Cece's RV,No,-,-,150,-,7,300,-,Toy Shop,-,black,pink,rock 'n' roll,Female,-,,,-,アオリのクツ,zapato de Mar,zapato de Mar,p. de baskets Ayo,p. de baskets Ayo,Aioli-Schuh,p. scarpe Stella,아오리 신발,1.4,-,27DD,botL_aori,,,-
025,Callie tights,,,Socks,Tights,Cece's RV,No,-,-,200,-,10,300,-,Toy Shop,-,pink,pink,rock 'n' roll,Unisex,-,,,-,アオリのタイツ,media de Mar,media de Mar,collant Ayo,collant Ayo,Aioli-Strumpfhose,paio calze Stella,아오리 타이츠,1.4,-,279B,sock_tights_aori,,,-
026,checkered socks,,,Socks,Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,red,black,basic,Unisex,Plaid,,,-,チェックのソックス,calcetín cuadros,calcetín cuadros,paire chauss. damier,paire chauss. damier,Karosocke,p. calzini quadretti,체크무늬 양말,1.0,270A,278E,sock_check_red,,,checkered socks
027,Cinnamoroll shoes,,,Shoes,Shoes,Chai's RV,No,-,-,150,-,7,300,-,Fairy Tale / Toy Shop,-,aqua,white,cute,Female,-,,,-,シナモロールなくつ,zapato Cinnamoroll,zapato Cinnamoroll,p. tenn. Cinnamoroll,p. tenn. Cinnamoroll,Cinnamoroll-Schuh,p. scar. Cinnamoroll,시나모롤 신발,1.4,-,27E3,nml_cinnamo,,,-
028,cleats,,,Shoes,Shoes,Kicks,Yes,720,-,180,144,9,3,-,-,-,black,black,sporty,Male,-,,,-,スパイクシューズ,zapatilla de tacos,zapatilla de tacos,p. souliers crampons,p. souliers crampons,Fußballschuh,p. scarpe da calcio,스파이크 슈즈,1.0,2729,27B1,nml_spike,,,-
029,climbing shoes,,,Shoes,Shoes,Kicks,Yes,600,-,150,120,7,3,-,-,-,yellow,black,sporty,Unisex,Manufactured,,,-,スポーツシューズ,zapatilla pies gato,zapatilla pies gato,p. souliers escalade,p. souliers escalade,Kletterschuh,p. scarpe scalata,운동화,1.0,2734,27BC,nml_sports,,,climbing shoes
030,clogs,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,-,-,-,orange,orange,modern,Unisex,-,,,-,サボ,zueco de madera,zueco de madera,paire de sabots,paire de sabots,Holzschuh,paio zoccoli,사보 슈즈,1.0,2733,27BB,nml_sabot,,,-
031,colorful sneakers,,,Shoes,Shoes,Kicks,Yes,460,-,115,92,5,3,-,-,-,red,blue,sporty,Unisex,-,,,-,カラフルなスニーカー,zapatilla colorida,zapatilla colorida,p. tennis colorées,p. tennis colorées,Vielfarbturnschuh,p. scarpe rossoblu,컬러풀 스니커,1.0,2748,27D0,nml_doek_blured,,,colorful sneakers
032,colorful socks,,,Socks,Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,colorful,colorful,flashy,Unisex,-,,,-,はでなソックス,calcetín colorido,calcetín colorido,p. chauss. colorées,p. chauss. colorées,Buntsocke,p. calzini colorati,화려한 양말,1.0,2709,278D,sock_gaudy,,,-
033,cowboy boots,,,Shoes,Tall Boots,GracieGrace,No,"4,000",-,"1,000",-,50,251,cowboy,-,-,brown,brown,iconic,Male,-,,,-,ウェスタンブーツ,bota del Oeste,bota del Oeste,p. bottes cowboy,p. bottes cowboy,Cowboystiefel,paio stivali west,웨스턴 부츠,1.0,273C,27C4,botH_western,,,cowboy boots
034,dress socks,,,Socks,Socks,Kicks,Yes,120,-,30,24,1,3,-,-,-,black,black,official,Unisex,-,,,-,つうきんソックス,calcetín ejecutivo,calcetín ejecutivo,p. chausset. costume,p. chausset. costume,Schwarzsocke,paio calzini formali,정장 양말,1.0,26FB,277F,sock_business_blk,,,dress socks
035,fishnet tights,,,Socks,Tights,Kicks,Yes,240,-,60,48,3,3,-,-,-,black,black,ornate,Female,-,,,crocheted tights,あみタイツ,media de rejilla,media de rejilla,collant filet,collant filet,Modestrumpfhose,paio calze a rete,망사 타이츠,1.0,26F3,2777,sock_tights_net,,,-
036,flip-flops,,,Shoes,Shoes,Souvenir Shop,No,-,20,250,200,12,199,-,-,-,green,yellow,sporty,Unisex,Manufactured,,,-,ビーチサンダル,chancla,chancla,paire de sandales,paire de tongs,Badesandale,paio infradito,비치 샌들,1.0,2723,27AB,nml_sandal_beach,,,-
