#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Name (1.0),Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Hex ID [Wall] (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
001,24-hour-shop uniform,,T-Shirt,DLC,-,No,-,-,711,568,35,300,-,-,-,purple,purple,official,Unisex,Manufactured,,-,-,セブンイレブンのせいふく,uniforme tienda,uniforme tienda,t-shirt épicerie,t-shirt épicerie,Supermarktkittel,maglietta bottega,어느 편의점 유니폼,1.0,259F,25EC,3625,tops_seven,Yes,,,-,,,-
002,A tee,,T-Shirt,Able Sisters,-,Yes,370,-,92,73,4,3,-,Toy Shop,-,blue,white,basic,Unisex,Manufactured,,-,-,エースのふく,camiseta A,camiseta A,t-shirt A,t-shirt A,A-Shirt,maglietta A,에이스 옷,1.0,2466,24B3,34EC,tops_mark_a,Yes,,,-,,,A tee
003,acid-washed jacket,,Shirt,GracieGrace,-,No,"5,600",-,"1,400",-,70,251,-,-,-,gray,blue,rock 'n' roll,Unisex,-,,-,-,ケミカルデニムジャケット,chaqueta desteñida,chaqueta desteñida,veste délavée,veste délavée,Bleichjeansjacke,giacca sbiadita,물빠진 데님 재킷,1.0,256A,25B7,35F0,tops_denim_chemi,Yes,,,-,,,acid-washed jacket
004,after-school jacket,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,black,red,rock 'n' roll,Male,-,,-,-,ヤンチャながくせいふく,chaqueta abierta,chaqueta abierta,veste décontractée,veste décontractée,Rowdy-Schuljacke,giacca aperta,불량한 학생복,1.0,2561,25AE,35E7,tops_gakuran_open,Yes,,,-,,,after-school jacket
005,airy tee,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,pink,pink,modern,Female,Plaid,,-,-,くみおびのふく,camiseta parches,camiseta parches,t-shirt aéré,t-shirt aéré,Edelshirt,maglietta treccia,화사한 옷,1.0,24E5,2532,356B,tops_kimiobi,Yes,,,-,,,-
006,amethyst shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,blue,pink,ornate,Unisex,Nature,,-,-,アメジストなふくL,jersey amatista,jersey amatista,pull nébuleux,pull nébuleux,Amethyst-Pulli,maglia ametista,자수정 옷 L,1.0,25C9,2616,364F,tops_amethyst,No,,,amethyst shirt,,,-
007,amethyst tank,,Tank Top,Able Sisters,Fall,Yes,360,-,90,72,4,3,-,-,-,blue,pink,ornate,Unisex,Nature,,amethyst tee,-,アメジストなふく,top amatista,top amatista,débardeur nébuleux,débardeur nébuleux,Amethyst-Top,canotta ametista,자수정 옷 N,1.0,24E1,252E,3567,tops_amethyst,Yes,,,-,,,amethyst tank
008,aqua polka tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,aqua,white,basic,Unisex,Dotted,,-,-,あおみずたまのふくN,top aqua,top aqua,débardeur pois cyan,débardeur pois cyan,Tüpfeltop,canotta blu a pois,하늘색 물방울 옷 N,1.0,25E6,2633,366C,tops_dot_blu,Yes,,,-,,,-
009,aqua polka tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,Trendy,-,aqua,white,basic,Unisex,Dotted,,-,-,あおいみずたまのふく,camiseta aqua,camiseta aqua,t-shirt pois cyan,t-shirt pois cyan,Tüpfelshirt,maglietta blu a pois,하늘색 물방울 옷,1.0,24A0,24ED,3526,tops_dot_blu,Yes,,,-,,,aqua polka tee
010,arctic-camo shirt,,Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,-,-,gray,gray,rock 'n' roll,Unisex,Nature,,-,-,かんれいめいさいふくL,jersey polar,jersey polar,pull motif glace,pull motif glace,Arktik-Pulli,maglia mimetica blu,흐릿한 밀리터리 상의 L,1.0,25B1,25FE,3637,tops_camo_cold,Yes,,,-,,,arctic-camo shirt
011,arctic-camo tee,,T-Shirt,Able Sisters,Winter,Yes,320,-,80,64,4,3,-,-,-,gray,gray,rock 'n' roll,Unisex,Nature,,-,-,かんれいめいさいふく,camiseta polar,camiseta polar,t-shirt motif glace,t-shirt motif glace,Arktik-Shirt,maglietta mimet. blu,흐릿한 밀리터리 상의,1.0,24ED,253A,3573,tops_camo_cold,Yes,,,-,,,arctic-camo tee
012,argyle knit shirt,,Shirt,Able Sisters,Spring,Yes,460,-,115,92,5,3,-,-,-,green,colorful,iconic,Unisex,Nature,,-,-,トラッドなニット,jersey rombos,jersey pijo,pull écossais vert,pull écossais vert,Argyle-Pulli,maglione a rombi,전통적인 니트,1.0,24C4,2511,354A,tops_knit_trad,Yes,,,-,,,argyle knit shirt
