#,Name,Image,Source,Reorderable,Buy Price (Bells),Sell Price (Re-Tail),Sell Price (Nooklings),HHA Base Points,HHA Theme Challenge,Color 1,Color 2,Prevents Tan,Catalog Keyword,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
01,bat umbrella,,Able Sisters,Yes,320,80,64,3,Antique / Quirky,black,black,Yes,,こうもりがさ,paraguas negro,paraguas negro,parapluie noir,Flederschirm,ombrello tetro,박쥐 우산,1.0,2756,27E7,umb_bat,No,,,bat umbrella,,,-
02,beach umbrella,,Able Sisters,Yes,320,80,64,3,-,blue,white,Yes,,ビーチなかさ,paraguas playa,paraguas playa,parasol,Strandschirm,ombrello da mare,해변가 우산,1.0,276C,27FD,umb_beach,No,,,beach umbrella,,,-
03,blue dot parasol,,Able Sisters,Yes,320,80,64,3,Trendy,aqua,white,Yes,,あおいみずたまのかさ,parasol mar,parasol mar,ombrelle pois bleue,Wolkenschirm,parasole blu,파란 물방울 우산,1.0,2766,27F7,umb_dot_blu,No,,,blue dot parasol,,,-
04,blue umbrella,,Able Sisters,Yes,320,80,64,3,-,blue,blue,Yes,,あおいむじのかさ,paraguas azul,paraguas azul,parapluie bleu,Aquaschirm,ombrello blu,파란 우산,1.0,275C,27ED,umb_blu,No,,,blue umbrella,,,-
05,busted umbrella,,Able Sisters,Yes,160,40,32,3,Quirky,black,black,Yes,,こわれたかさ,paraguas roto,paraguas roto,parapluie cassé,Antikschirm,ombrello rotto,부러진 우산,1.0,276A,27FB,umb_busted,No,,,busted umbrella,,,-
06,camo umbrella,,Able Sisters,Yes,320,80,64,3,-,green,brown,Yes,,めいさいなかさ,paraguas militar,paraguas militar,parapluie kaki,Tarnschirm,ombrello mimetico,군복무늬 우산,1.0,2773,2804,umb_camo,No,,,camo umbrella,,,-
07,candy umbrella,,Able Sisters,Yes,320,80,64,3,-,pink,white,Yes,,いちごギンガムのかさ,paraguas rosa,paraguas rosa,parapluie vichy,Karoschirm,ombrello caramella,딸기 깅엄 우산,1.0,275F,27F0,umb_ging_candy,No,,,candy umbrella,,,-
08,daisy umbrella,,Able Sisters,Yes,320,80,64,3,Rustic / Fairy Tale,pink,white,Yes,,フラワーなかさ,parasol florido,parasol florido,parapluie à fleurs,Blümchenschirm,ombrello margherita,플라워 우산,1.0,2767,27F8,umb_daisy,No,,,daisy umbrella,,,-
09,eggy parasol,,Able Sisters,Yes,320,80,64,3,Trendy,yellow,white,Yes,,きいろみずたまのかさ,parasol sol,parasol sol,ombrelle pois jaune,Eigelbschirm,parasole giallo,노란 물방울 우산,1.0,2765,27F6,umb_dot_eggy,No,,,eggy parasol,,,-
10,elegant umbrella,,GracieGrace,No,"3,200",800,-,299,Trendy,pink,white,Yes,,ゴージャスなかさ,parasol elegante,parasol elegante,parapluie sélect,Sonntagsschirm,ombrello chic,럭셔리 우산,1.0,276D,27FE,umb_elegant,No,,,elegant umbrella,,,-
11,flame umbrella,,Able Sisters,Yes,320,80,64,3,-,black,red,Yes,,ファイアーなかさ,paraguas fuego,paraguas fuego,parapluie flammes,Feuerschirm,ombrello fiamma,파이어 우산,1.0,2772,2803,umb_flame,No,,,flame umbrella,,,-
12,forest umbrella,,Able Sisters,Yes,320,80,64,3,Rustic,green,green,Yes,,くさのかさ,paraguas bosque,paraguas bosque,parapluie herbe,Waldschirm,ombrello albero,잔디 우산,1.0,2771,2802,umb_forest,No,,,forest umbrella,,,-
13,fruit-panel umbrella,,Puzzle League,No,-,400,-,551,-,colorful,colorful,Yes,,パネポンのかさ,parag. Puzzle League,parag. Puzzle League,parap. Puzzle League,Puzzleopolis-Schirm,ombr. Puzzle League,동물의 숲 패널로 퐁 우산,1.4,-,280A,umb_panepon,Yes,,,-,,,-
14,gelato umbrella,,Able Sisters,Yes,320,80,64,3,Trendy / Toy Shop,colorful,colorful,Yes,,トリコロールなかさ,parasol tricolor,parasol tricolor,parapluie Rome,3-Farben-Schirm,ombrello spicchi,3색 우산,1.0,2755,27E6,umb_gelato,No,,,gelato umbrella,,,-
15,ghost umbrella,,Able Sisters,Yes,352,88,70,3,Toy Shop,white,white,Yes,,てるてるぼうずのかさ,paraguas amuleto,paraguas amuleto,parapluie bonze,Geisterschirm,ombrello fantasma,해나와라 우산,1.0,2777,2808,umb_talisman,No,,,ghost umbrella,,,-
16,Gracie umbrella,,GracieGrace,No,"3,200",800,-,299,Trendy,blue,colorful,Yes,,グレースのかさ,parasol Graciela,parasol Graciela,parapluie Carla,Graziaschirm,ombrello Griffa,그레이스 우산,1.0,2775,2806,umb_grace,No,,,Gracie umbrella,,,-
17,green umbrella,,Able Sisters,Yes,320,80,64,3,-,green,green,Yes,,みどりのむじのかさ,paraguas verde,paraguas verde,parapluie vert,Smaragdschirm,ombrello verde,초록 우산,1.0,275E,27EF,umb_grn,No,,,green umbrella,,,-
18,lacy parasol,,Able Sisters,Yes,320,80,64,3,Fairy Tale,white,white,Yes,,レースのかさ,parasol encaje,parasol encaje,ombrelle crochet,Damenschirmchen,parasole ricami,레이스 우산,1.0,2757,27E8,umb_lacy,No,,,lacy parasol,,,-
19,leaf umbrella,,Able Sisters,Yes,320,80,64,3,Rustic,green,green,Yes,,はっぱのかさ,parasol hoja,parasol hoja,feuillapluie,Blättchenschirm,ombrello foglia,연꽃잎 우산,1.0,2758,27E9,umb_leaf,No,,,leaf umbrella,,,leaf umbrella
20,lemon umbrella,,Able Sisters,Yes,320,80,64,3,-,yellow,white,Yes,,レモンギンガムのかさ,paraguas limón,paraguas limón,parapluie citron,Zitrusschirm,ombrello limone,레몬 깅엄 우산,1.0,2763,27F4,umb_ging_lemon,No,,,lemon umbrella,,,-
21,leopard umbrella,,Able Sisters,Yes,320,80,64,3,-,yellow,brown,Yes,,ひょうがらのかさ,paraguas leopardo,paraguas leopardo,parapluie léopard,Leopardenschirm,ombrello leopardo,표범무늬 우산,1.0,276F,2800,umb_leopard,No,,,leopard umbrella,,,-
22,maple umbrella,,Able Sisters,Yes,320,80,64,3,Rustic,orange,orange,Yes,,もみじのかさ,paraguas arce,paraguas arce,parapluie érable,Ahornschirm,ombrello fogl. acero,단풍잎 우산,1.0,2778,2809,umb_redleaves,No,,,maple umbrella,,,-
23,melon umbrella,,Able Sisters,Yes,320,80,64,3,-,green,white,Yes,,わかばギンガムのかさ,paraguas melón,paraguas melón,parapluie melon,Melonenschirm,ombrello melone,새싹 깅엄 우산,1.0,2760,27F1,umb_ging_melon,No,,,melon umbrella,,,-
24,mint umbrella,,Able Sisters,Yes,320,80,64,3,-,green,brown,Yes,,ミントギンガムのかさ,paraguas menta,paraguas menta,parapluie menthe,Minzschirm,ombrello menta,민트 깅엄 우산,1.0,2761,27F2,umb_ging_mint,No,,,mint umbrella,,,-
25,modern umbrella,,GracieGrace,No,"3,200",800,-,299,Trendy,colorful,gray,Yes,,アバンギャルドなかさ,paraguas retro,paraguas retro,parapluie psyché,Retroschirm,ombrello rétro,아방가르드 우산,1.0,276E,27FF,umb_modern,No,,,modern umbrella,,,-
26,paper parasol,,Able Sisters,Yes,320,80,64,3,Harmonious,brown,brown,Yes,,ばんがさ,parasol papel,parasol cóctel,ombrelle papier,Papierschirmchen,parasole cinese,대나무 우산,1.0,2759,27EA,umb_paper,No,,,paper parasol,,,-
27,paw umbrella,,Able Sisters,Yes,320,80,64,3,-,pink,purple,Yes,,あしあとのかさ,parasol huella,parasol huella,parapluie pattes,Tatzenschirm,ombrello zampa,발자국 우산,1.0,2768,27F9,umb_paw,No,,,paw umbrella,,,-
28,Peach's parasol,,Fortune,No,-,210,-,151,Antique / Fairy Tale,pink,pink,Yes,,ピーチひめのかさ,parasol Peach,parasol Peach,parapluie Peach,Peach-Schirm,parasole Peach,피치공주 양산,1.0,2776,2807,umb_peach,No,,,Peach's parasol,,,-
29,petal parasol,,GracieGrace,No,"3,200",800,-,299,Rustic / Fairy Tale,white,yellow,Yes,,マーガレットのかさ,parasol flor,parasol flor,ombrelle pétale,Margeritenschirm,parasole petalo,국화꽃 우산,1.0,2769,27FA,umb_petal,No,,,petal parasol,,,-
30,picnic umbrella,,Able Sisters,Yes,320,80,64,3,-,pink,purple,Yes,,ベリーギンガムのかさ,paraguas pícnic,paraguas pícnic,parapluie sorbet,Picknickschirm,ombrello picnic,베리 깅엄 우산,1.0,2762,27F3,umb_ging_picnic,No,,,picnic umbrella,,,-
31,red umbrella,,Able Sisters,Yes,320,80,64,3,-,red,red,Yes,,あかいむじのかさ,paraguas rojo,paraguas rojo,parapluie rouge,Rubinschirm,ombrello rosso,빨간 우산,1.0,275B,27EC,umb_red,No,,,red umbrella,,,-
32,ribbon umbrella,,Able Sisters,Yes,320,80,64,3,Fairy Tale,white,red,Yes,,リボンのかさ,parasol lacitos,parasol lacitos,ombrelle ruban,Bänderschirm,parasole fiocco,리본 우산,1.0,275A,27EB,umb_ribbon,No,,,ribbon umbrella,,,-
33,spider umbrella,,Able Sisters,Yes,320,80,64,3,Quirky,black,white,Yes,,スパイダーなかさ,parasol telaraña,parasol telaraña,parapluie arachnide,Spinnwebenschirm,ombrello ragnatela,스파이더 우산,1.0,2774,2805,umb_spider,No,,,spider umbrella,,,-
34,sunny parasol,,Able Sisters,Yes,320,80,64,3,Rustic / Fairy Tale,aqua,yellow,Yes,,ひまわりのかさ,paraguas girasol,paraguas girasol,ombrelle soleil,Sommerschirm,parasole gioioso,해바라기 우산,1.0,276B,27FC,umb_sunny,No,,,sunny parasol,,,-
35,Toad parasol,,Able Sisters,Yes,320,80,64,3,Trendy,red,white,Yes,,あかいみずたまのかさ,parasol de lunares,parasol de lunares,ombrelle à pois,Punkteschirm,parasole a pois,빨간 물방울 우산,1.0,2764,27F5,umb_dot_toad,No,,,Toad parasol,,,-
36,yellow umbrella,,Able Sisters,Yes,320,80,64,3,-,yellow,yellow,Yes,,きいろいむじのかさ,paraguas ocre,paraguas ocre,parapluie jaune,Bernsteinschirm,ombrello giallo,노란 우산,1.0,275D,27EE,umb_ylw,No,,,yellow umbrella,,,-
