#,Name,Image,Texture,Source,Rarity Group,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,HHA Series,HHA Theme Challenge,Color 1,Color 2,Fashion,Catalog Keyword,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC),Notes
001,alpine wall,,,Nooklings,D,Yes,"1,320",-,330,264,-,151,alpine,Rustic,gray,-,modern,,スカンジナビアなかべ,pared nórdica,pared nórdica,mur nordique,mur nordique,Nordtapete,muro nordico,스칸디나비아 벽지,1.0,23AD,23B7,wall_scandinavia,Yes,,,,,,alpine wall,
002,ancient wall,,,Saharah,-,No,"3,000",-,"2,300","1,840",-,951,-,Antique / Quirky,beige,beige,historical,,エジプトなかべ,pared egipcia,pared egipcia,mur hiéroglyphe,mur hiéroglyphe,Antikwand,muro egizio,이집트 벽지,1.0,2388,2392,wall_egypt,No,,,,ancient wall,,-,
003,arched window,,,Nooklings,B,Yes,"2,150",-,537,429,-,151,-,Antique,brown,-,iconic,,きれいなガラスのかべ,pared vidrieras,pared vidrieras,fenêtre cintrée,fenêtre cintrée,Bogenfensterwand,muro a volta,예쁜 창문 벽지,1.0,2385,238F,wall_glass,No,,,,,,arched window,
004,astro wall,,,Nooklings,A,Yes,"2,120",-,530,424,-,151,astro,Trendy / Sci-Fi / Toy Shop,orange,-,modern,,きんみらいなかべがみ,pared futurista,pared futurista,mur astro,mur astro,Astrotapete,muro futuro,미래형 벽지,1.0,23B1,23BB,wall_future,Yes,,,,,,-,
005,autumn wall,,,Saharah,-,No,"3,000",-,"1,700","1,360",-,951,-,Rustic,red,-,basic,,こうようのかべ,pared otoñal,pared otoñal,mur automne,mur automne,Herbstlaubtapete,muro autunnale,단풍 벽지,1.0,23B6,23C0,wall_autumun,Yes,,,,autumn wall,,autumn wall,
006,backgammon wall,,,Saharah,-,No,"3,000",-,"1,800","1,440",-,951,-,Toy Shop,green,green,sporty,,しょうぶのかべ,pared backgammon,pared backgammon,mur backgammon,mur backgammon,Backgammonwand,muro backgammon,승부사 벽지,1.0,2368,2372,wall_backgammon,No,,,,,,backgammon wall,
007,backyard fence,,,Nooklings,B,Yes,800,-,200,160,-,151,mossy garden,-,aqua,-,basic,,うらにわのかべ,valla jardín,valla jardín,clôture patio,clôture patio,Gartenzaun,muro steccato,뒷마당 벽지,1.0,235D,2367,wall_backyard,No,,,,backyard-fence wall,,backyard fence,
008,balloon wall,,,Balloons,-,No,-,-,450,360,-,351,balloon,Toy Shop,colorful,colorful,cute,,バルーンなかべがみ,pared globos,pared globos,mur ballons,mur ballons,Ballontapete,muro palloncini,풍선 벽지,1.0,23B0,23BA,wall_balloon,Yes,,,,,,balloon wall,
009,bamboo wall,,,Nooklings,A,Yes,"1,150",-,287,229,-,151,-,Harmonious / Rustic,green,-,basic,,バンブーなかべ,pared bambú,pared bambú,mur en bambou,mur en bambou,Bambuswand,muro bambù,대나무 벽지,1.0,2386,2390,wall_bamboo,No,,,,bamboo wall,,-,
010,bamboo-grove wall,,,Boots's RV,-,No,"2,400",-,600,480,-,151,-,Harmonious / Rustic,green,yellow,historical,,ちくりんのかべ,pared bosque bambú,pared bosque bambú,mur forêt de bambou,mur forêt de bambou,Bambuswaldtapete,muro canneto bambù,대나무 숲 벽지,1.4,-,23DA,wall_chikurin,,,,,bamboo-grove wall,,bamboo-grove wall,
011,basement wall,,,Saharah,-,No,"3,000",-,"1,875","1,500",-,951,-,Quirky,gray,gray,flashy,,ちかしつのかべ,pared sótano,pared sótano,mur de cave,mur de cave,Kellerwand,muro cantina,지하실 벽지,1.0,2379,2383,wall_basement,No,,,,,,basement wall,
012,basic wall,,,Louie's RV,-,No,"2,400",-,600,480,-,151,-,-,white,white,basic,,シンプルパネルのかべ,panel minimalista,panel minimalista,mur blanc,mur pans blancs,Minimalwand,muro pannelli bianco,심플 패널 벽지,1.4,-,23D1,wall_panel,,,,,basic wall,,basic wall,
013,bathhouse wall,,,Saharah,-,No,"3,000",-,"1,500","1,200",-,951,spa,Harmonious,blue,gray,historical,,せんとうのかべ,pared terma,pared terma,mur de bain,mur de bain,Badwand,muro terme,목욕탕 벽지,1.0,2362,236C,wall_publicbath,No,,,,bathhouse wall,,-,
014,blue tarp,,,Saharah,-,No,"3,000",-,"1,400","1,120",-,951,construction,Quirky,blue,blue,flashy,,ブルーシートかべ,pared lona azul,pared lona azul,bâche bleue,bâche bleue,Plane,muro telo blu,블루 시트 벽지,1.0,235B,2365,wall_bluesheet,No,,,,construction-site wall,,-,
015,blue wall,,,Nooklings,B,Yes,"1,260",-,315,252,-,151,blue,-,blue,-,basic,,あおいかべ,pared azul,pared azul,mur bleu,mur bleu,Azurtapete,muro blu,블루 벽지,1.0,2347,2351,wall_blue,No,,,,,,blue wall,
016,blue-trim wall,,,Nooklings,B,Yes,"1,420",-,355,284,-,151,-,-,blue,-,basic,,あおいタイルのかべ,pared cenefa,pared cenefa,mur frise bleue,mur frise bleue,Bortentapete,muro banda blu,블루 타일 벽지,1.0,236A,2374,wall_bluetile,No,,,,,,blue-trim wall,
017,butterfly wall,,,Nat,-,No,-,-,370,-,-,651,-,Toy Shop,colorful,colorful,cute,,バタフライのかべがみ,pared mariposa,pared mariposa,mur papillons,mur papillons,Schmetterlingstapete,muro farfalle,나비 벽지,1.0,23A7,23B1,wall_insect,Yes,,,,,,-,
018,cabana wall,,,Souvenir Shop,-,No,-,40,500,400,25,199,cabana,Harmonious,beige,beige,basic,,リゾートなかべ,pared mimbre,pared mimbre,mur rotin,mur rotin,Korbtapete,muro vimini,리조트 벽지,1.0,2346,2350,wall_resort,No,,,,,,cabana wall,
019,cabin wall,,,Nooklings,C,Yes,"1,200",-,300,240,-,151,cabin,Rustic,brown,-,iconic,,ログハウスのかべ,pared cabaña,pared cabaña,mur chalet,mur chalet,Blockhauswand,muro rustico,통나무집 벽지,1.0,234B,2355,wall_log,No,,,,cabin wall,,cabin wall,
020,café-curtain wall,,,Ellie's RV,-,No,"2,400",-,600,480,-,151,-,-,gray,aqua,cute,,カフェカーテンのかべ,pared cafetería,pared cafetería,mur rideaux de café,mur rideaux de café,Ladentapete,muro caffetteria,카페 커튼 벽지,1.4,-,23D8,wall_cafe,,,,,café-curtain wall,,café-curtain wall,
021,card wall,,,GracieGrace,-,No,"1,960",-,490,-,-,299,card,Toy Shop,red,white,cute,,トランプなかべがみ,pared naipes,pared naipes,mur cartes,mur cartes,Kartentapete,muro carte,트럼프 벽지,1.0,23AB,23B5,wall_trump,Yes,,,,,,-,
022,chain-link fence,,,Saharah,-,No,"3,000",-,"1,600","1,280",-,951,-,-,aqua,gray,historical,,あきちのかべ,cancha urbana,cancha urbana,mur grillagé,mur grillagé,Sandplatzmauer,muro con recinto,공터 벽지,1.0,2391,239B,wall_empty_lot,,,,,chain-link fence,,-,
023,cheese wall,,,Nooklings,D,Yes,"1,360",-,340,272,-,151,-,-,yellow,-,cute,,チーズなかべ,pared queso,pared queso,mur fromage,mur fromage,Käsetapete,muro formaggio,치즈 벽지,1.0,23B3,23BD,wall_cheese,,,,,,,-,
024,chic wall,,,Nooklings,D,Yes,"1,960",-,490,392,-,151,-,Antique,beige,-,historical,,クラシックなかべがみ,pared lujo,pared lujo,mur rustique,mur rustique,Omatapete,muro classico,차분한 벽지,1.0,236C,2376,wall_classic,,,,,chic wall,,chic wall,
025,Cinnamoroll wall,,,Chai's RV,-,No,-,-,"1,200",-,-,300,-,Fairy Tale,white,white,cute,,シナモロールなかべ,pared Cinnamoroll,pared Cinnamoroll,mur Cinnamoroll,mur Cinnamoroll,Cinnamoroll-Tapete,muro Cinnamoroll,시나모롤 벽지,1.4,-,23E2,wall_cinnamon,,,,,Cinnamoroll wall,,Cinnamoroll wall,
026,citrus wall,,,Nooklings,C,Yes,"1,120",-,280,224,-,151,-,Rustic,colorful,-,cute,,フルーツかべがみ,pared cítrica,pared cítrica,mur agrume,mur agrume,Zitrustapete,muro agrumi,오렌지 벽지,1.0,236E,2378,wall_citrus,,,,,,,-,
027,cityscape wall,,,Nooklings,B,Yes,"1,600",-,400,320,-,151,-,Trendy,purple,-,basic,,やけいのかべ,pared urbe,pared urbe,mur ville,mur ville,Großstadttapete,muro città,야경 벽지,1.0,2394,239E,wall_night_view,,,,,cityscape wall,,cityscape wall,
028,classic wall,,,Nooklings,C,Yes,"2,100",-,525,420,-,151,classic,Rustic,green,-,iconic,,シックなかべ,pared clásica,pared clásica,mur chic,mur chic,Klassiktapete,muro antico,클래식 벽지,1.0,2344,234E,wall_chic,,,,,,,classic wall,
